method,mean_rank_4datasets_top100,mean_dataset_position_top100,datasets_won_top100,top100_position
scouter,4.973262044372326,3.0,0,1.0
WitnessCell,5.550367527467638,3.25,2,2.0
linearModel,5.587696632073032,2.75,1,3.0
baseReg,6.455008340010782,5.0,0,4.0
scGPT,6.767955486129323,7.5,1,5.0
trainMean,6.852586443212011,6.25,0,6.0
GEARS,7.81816856895287,7.25,0,7.0
scELMo,7.9836272090130205,8.0,0,8.0
GenePert,8.150409920085565,10.0,0,9.0
AttentionPert,8.512859230624361,9.75,0,10.0
GeneCompass,8.543462445042117,9.5,0,11.0
CPA,9.275745821828005,10.0,0,12.0
biolord,9.934258360095548,10.25,0,13.0
scFoundation,11.999785972733733,13.75,0,14.0
baseMLP,12.810608139117248,14.75,0,15.0
baseControl,13.073648255505356,15.0,0,16.0
