method,mean_operation_rank,mean_metric_rank,mean_composite_score,operation_panel_units,robustness_position
WitnessCell,4.472477064220183,5.383983180428134,0.6567915479555966,1308,1.0
linearModel,5.002293577981652,5.631562181447502,0.6600884276996954,1308,2.0
baseReg,5.349388379204893,5.859645769622834,0.6479850574972181,1308,3.0
trainMean,5.636085626911315,6.081230886850153,0.6478834699340534,1308,4.0
GenePert,6.589449541284404,6.684696738022427,0.6242846993504851,1308,5.0
scGPT,7.0389908256880735,7.1592125382263,0.615878989071066,1308,6.0
scouter,7.090214067278287,7.343144750254843,0.5658988530646705,1308,7.0
CPA,8.724006116207951,8.191768603465851,0.575035670502138,1308,8.0
GEARS,8.740061162079511,8.350407747196739,0.6007630500794717,1308,9.0
scELMo,8.805045871559633,8.39895514780836,0.5994030683079031,1308,10.0
GeneCompass,9.07262996941896,8.538927115188583,0.5914729906280598,1308,11.0
biolord,9.43960244648318,8.686990316004078,0.5081596979944754,1308,12.0
AttentionPert,9.586391437308869,8.833460754332313,0.5884968707643939,1308,13.0
baseControl,11.980886850152904,10.221393985728849,0.45031712065335455,1308,14.0
baseMLP,12.98165137614679,10.906027013251784,0.3870832649405238,1308,15.0
scFoundation,13.470183486238533,11.468081039755353,0.3902368228656899,1308,16.0
