method,mean_rank_4datasets_x_2panels,mean_dataset_panel_position,cells_won,cells,overall_position
WitnessCell,4.814599649543765,3.5,2,8,1.0
linearModel,5.025001460896434,2.75,2,8,2.0
baseReg,5.324853070146554,4.375,1,8,3.0
trainMean,5.7685905050856725,5.125,0,8,4.0
GenePert,6.368519385395341,7.0,1,8,5.0
scGPT,6.374355913410608,6.375,2,8,6.0
scouter,6.652332360680201,5.75,0,8,7.0
CPA,8.832753549531917,9.25,0,8,8.0
scELMo,8.883296529965095,9.375,0,8,9.0
GEARS,8.89202766228491,9.125,0,8,10.0
GeneCompass,9.340218493792268,10.125,0,8,11.0
biolord,9.614040223479556,10.0,0,8,12.0
AttentionPert,10.082393175624013,10.875,0,8,13.0
baseControl,11.4369940166564,12.875,0,8,14.0
baseMLP,12.939401937054473,14.625,0,8,15.0
scFoundation,13.616777154792343,14.875,0,8,16.0
