method,mean_operation_rank,mean_metric_rank,mean_composite_score,operation_seed_units,official_position
WitnessCell,5.143730886850153,5.680428134556575,0.6069962067813994,654,1.0
scouter,5.3577981651376145,5.742099898063201,0.6291329370202258,654,2.0
linearModel,5.558103975535168,5.8460754332313964,0.613906715770437,654,3.0
baseReg,6.564220183486238,6.44138634046891,0.5963842292967181,654,4.0
trainMean,6.607033639143731,6.47782874617737,0.5983239079517145,654,5.0
GEARS,7.5244648318042815,6.985219164118246,0.5820349265374433,654,6.0
scGPT,7.72782874617737,7.06039755351682,0.5726838856184867,654,7.0
scELMo,7.82874617737003,7.172528032619775,0.5784124619025605,654,8.0
AttentionPert,7.974006116207951,7.255606523955148,0.5751086782817967,654,9.0
GeneCompass,8.2782874617737,7.439092762487259,0.568513171887025,654,10.0
GenePert,8.451070336391437,7.566258919469928,0.5674925214464644,654,11.0
CPA,9.229357798165138,7.954638124362894,0.5309227458841003,654,12.0
biolord,9.741590214067278,8.41946992864424,0.45794860796876175,654,13.0
scFoundation,11.65749235474006,9.41131498470948,0.47211053397269415,654,14.0
baseMLP,13.003058103975535,10.206167176350663,0.39539871905997653,654,15.0
baseControl,13.65290519877676,10.682466870540265,0.37420958138021704,654,16.0
