metric,method,mean_metric_rank,position
PCC-delta,scouter,4.691131498470948,1
PCC-delta,WitnessCell,5.444954128440367,2
PCC-delta,linearModel,5.45565749235474,3
PCC-delta,baseReg,6.420489296636085,4
PCC-delta,trainMean,6.496941896024465,5
PCC-delta,scGPT,7.782874617737003,6
PCC-delta,GenePert,7.922018348623853,7
PCC-delta,AttentionPert,8.140672782874617,8
PCC-delta,GEARS,8.35474006116208,9
PCC-delta,scELMo,8.515290519877675,10
PCC-delta,biolord,8.802752293577981,11
PCC-delta,GeneCompass,9.071865443425077,12
PCC-delta,CPA,10.212538226299694,13
PCC-delta,scFoundation,11.581039755351682,14
PCC-delta,baseMLP,12.194189602446484,15
PCC-delta,baseControl,14.850152905198776,16
MSE,scouter,4.977064220183486,1
MSE,WitnessCell,5.31039755351682,2
MSE,linearModel,5.703363914373089,3
MSE,trainMean,6.648318042813456,4
MSE,baseReg,6.672782874617737,5
MSE,GEARS,7.522935779816514,6
MSE,scGPT,7.60091743119266,7
MSE,scELMo,8.08868501529052,8
MSE,AttentionPert,8.125382262996942,9
MSE,GeneCompass,8.448012232415902,10
MSE,GenePert,8.483180428134556,11
MSE,biolord,9.830275229357799,12
MSE,CPA,10.308868501529052,13
MSE,scFoundation,11.49388379204893,14
MSE,baseControl,13.172782874617736,15
MSE,baseMLP,13.269113149847096,16
E-distance,WitnessCell,4.347094801223242,1
E-distance,linearModel,4.6880733944954125,2
E-distance,baseReg,5.324159021406728,3
E-distance,trainMean,5.458715596330276,4
E-distance,GEARS,6.126911314984709,5
E-distance,scELMo,6.562691131498471,6
E-distance,AttentionPert,6.59480122324159,7
E-distance,GenePert,6.709480122324159,8
E-distance,GeneCompass,6.7110091743119265,9
E-distance,biolord,8.65290519877676,10
E-distance,baseControl,10.58868501529052,11
E-distance,baseMLP,11.654434250764526,12
E-distance,scouter,12.73394495412844,13
E-distance,CPA,12.80428134556575,14
E-distance,scFoundation,13.313455657492355,15
E-distance,scGPT,13.715596330275229,16
symmetric KL,WitnessCell,6.51223241590214,1
symmetric KL,linearModel,6.798165137614679,2
symmetric KL,baseReg,7.0244648318042815,3
symmetric KL,trainMean,7.08256880733945,4
symmetric KL,CPA,7.264525993883792,5
symmetric KL,scouter,7.63302752293578,6
symmetric KL,GenePert,7.859327217125382,7
symmetric KL,scGPT,7.86085626911315,8
symmetric KL,biolord,8.417431192660551,9
symmetric KL,baseMLP,8.776758409785932,10
symmetric KL,baseControl,9.229357798165138,11
symmetric KL,scELMo,9.415902140672783,12
symmetric KL,GeneCompass,9.655963302752294,13
symmetric KL,GEARS,9.779816513761467,14
symmetric KL,AttentionPert,10.030581039755353,15
symmetric KL,scFoundation,12.649847094801224,16
Wasserstein,scouter,1.889908256880734,1
Wasserstein,scGPT,2.6192660550458715,2
Wasserstein,CPA,4.45565749235474,3
Wasserstein,scFoundation,4.562691131498471,4
Wasserstein,GEARS,7.273700305810397,5
Wasserstein,scELMo,7.585626911314985,6
Wasserstein,AttentionPert,7.782874617737003,7
Wasserstein,GeneCompass,7.896024464831804,8
Wasserstein,WitnessCell,9.622324159021407,9
Wasserstein,linearModel,9.735474006116208,10
Wasserstein,baseReg,10.34250764525994,11
Wasserstein,trainMean,10.359327217125383,12
Wasserstein,GenePert,11.561162079510703,13
Wasserstein,biolord,12.079510703363914,14
Wasserstein,baseControl,14.013761467889909,15
Wasserstein,baseMLP,14.217125382262997,16
Common-DEGs,baseMLP,1.1253822629969419,1
Common-DEGs,baseControl,2.2400611620795106,2
Common-DEGs,scouter,2.5275229357798166,3
Common-DEGs,CPA,2.6819571865443423,4
Common-DEGs,linearModel,2.6957186544342506,5
Common-DEGs,biolord,2.7339449541284404,6
Common-DEGs,scGPT,2.782874617737003,7
Common-DEGs,trainMean,2.8211009174311927,8
Common-DEGs,WitnessCell,2.845565749235474,9
Common-DEGs,GeneCompass,2.8516819571865444,10
Common-DEGs,GEARS,2.853211009174312,11
Common-DEGs,AttentionPert,2.859327217125382,12
Common-DEGs,GenePert,2.8623853211009176,13
Common-DEGs,baseReg,2.863914373088685,14
Common-DEGs,scELMo,2.86697247706422,15
Common-DEGs,scFoundation,2.86697247706422,16
