DataSet,op,method,edistance,mse,sym_kldiv,wasserstein,cor,common_degs,edistance_score,mse_score,sym_score,Rank_pcc,Rank_edistance,Rank_mse,Rank_sym,DEG_score,was_score,Rank_deg,Rank_was,ac_score,ac_rank,Rank,DEG
Norman,AHR+FEV_1,AttentionPert,2.4636,0.1892,2.41897248883199,71.4943,0.8114,0.0,0.874955127438076,0.784,0.9965063929892098,6.0,6.0,7.0,6.0,0.0,0.5528186486320732,3.0,10.0,0.6699466948432264,6.333333333333333,6.0,100
Norman,AHR+FEV_1,CPA,4.0013,0.1972,10.203495691172,60.0875,0.809,0.0,0.5069522555941128,0.7463529411764707,0.8082233367626118,7.0,11.0,9.0,13.0,0.0,0.8708065945951974,3.0,2.0,0.6235558546880654,7.5,7.0,100
Norman,AHR+FEV_1,GEARS,2.381,0.1805,43.619318887335,70.7163,0.7816,0.0,0.8947229867177219,0.8249411764705883,0.0,10.0,5.0,6.0,16.0,0.0,0.5745069943521093,3.0,9.0,0.5126285262567366,8.166666666666666,10.0,100
Norman,AHR+FEV_1,GeneCompass,2.5976,0.2012,43.6077113797693,73.0046,0.7636,0.0,0.8428862031829605,0.727529411764706,0.00028074898652576244,12.0,9.0,11.0,15.0,0.0,0.5107159384251697,3.0,12.0,0.47416871705989366,10.333333333333334,13.0,100
Norman,AHR+FEV_1,GenePert,3.1097,0.2571,2.52879633174487,80.7304,0.7656,0.0,0.7203302620557617,0.4644705882352942,0.9938501007214995,11.0,10.0,14.0,8.0,0.0,0.29534341739193454,3.0,14.0,0.5399323947340816,10.0,12.0,100
Norman,AHR+FEV_1,baseControl,4.0519,0.3535,2.71626662234656,90.9338,0.1165,0.01,0.4948426468828528,0.01082352941176482,0.9893157858574159,16.0,12.0,15.0,9.0,0.01,0.010902714667231486,2.0,15.0,0.27206411280321086,11.5,15.0,100
Norman,AHR+FEV_1,baseMLP,4.2974,0.3558,2.86643326425886,91.3249,0.6162,0.07,0.4360895058035182,0.0,0.9856837285627528,14.0,13.0,16.0,10.0,0.07,0.0,1.0,16.0,0.35132887239437843,11.666666666666666,16.0,100
Norman,AHR+FEV_1,baseReg,2.509,0.1978,2.43215768731055,74.4882,0.8457,0.0,0.8640899844441786,0.7435294117647059,0.99618748463709,5.0,7.0,10.0,7.0,0.0,0.4693575454814086,3.0,13.0,0.6531440710545638,7.5,7.0,100
Norman,AHR+FEV_1,biolord,2.0865,0.1563,2.27599036802474,70.6989,0.8073,0.0,0.9652028239798972,0.9388235294117648,0.9999646793853832,8.0,4.0,5.0,2.0,0.0,0.5749920550404497,3.0,8.0,0.7143805146362493,5.0,4.0,100
Norman,AHR+FEV_1,linearModel,1.9411,0.1433,2.27857955045842,69.0671,0.8538,0.0,1.0,1.0,0.9999020552311392,2.0,1.0,1.0,3.0,0.0,0.620481826950418,3.0,5.0,0.7456973136969262,2.5,1.0,100
Norman,AHR+FEV_1,scELMo,2.5165,0.1926,2.30564956222223,72.6901,0.7423,0.0,0.8622950819672132,0.7680000000000001,0.9992473170519982,13.0,8.0,8.0,5.0,0.0,0.5194832709816625,3.0,11.0,0.648554278333479,8.0,9.0,100
Norman,AHR+FEV_1,scFoundation,5.3108,0.2395,9.63926346134503,66.273,0.5982,0.0,0.19356228311595067,0.5472941176470589,0.8218703342590591,15.0,15.0,13.0,12.0,0.0,0.6983730953004869,3.0,4.0,0.47654997172042596,10.333333333333334,13.0,100
Norman,AHR+FEV_1,scGPT,6.1196,0.2182,14.8047514412872,63.1982,0.787,0.0,0.0,0.6475294117647059,0.6969334770507828,9.0,16.0,12.0,14.0,0.0,0.7840894518814222,3.0,3.0,0.4859253901161518,9.5,11.0,100
Norman,AHR+FEV_1,scouter,4.8632,0.1435,7.82735477295888,55.4531,0.8538,0.0,0.30068206294124694,0.9990588235294119,0.8656946888900945,2.0,14.0,2.0,11.0,0.0,1.0,3.0,1.0,0.6698725958934588,5.5,5.0,100
