DataSet,seed,perturb,subgroup,DEG,method,cor,mse
Norman,1,AHR+FEV,combo_seen1,100,WitnessCell,0.8539147846994606,0.1552723089393514
Norman,1,AHR+FEV,combo_seen1,100,factorized_only,0.8539147846994606,0.1552723089393514
Norman,1,AHR+FEV,combo_seen1,5000,WitnessCell,0.7409248866387702,0.0063562641765501655
Norman,1,AHR+FEV,combo_seen1,5000,factorized_only,0.7409248866387702,0.0063562641765501655
Norman,1,AHR+KLF1,combo_seen1,100,WitnessCell,0.45497759869625265,0.09338237616639333
Norman,1,AHR+KLF1,combo_seen1,100,factorized_only,0.45497759869625265,0.09338237616639333
Norman,1,AHR+KLF1,combo_seen1,5000,WitnessCell,0.2636767273298445,0.005832383200831394
Norman,1,AHR+KLF1,combo_seen1,5000,factorized_only,0.2636767273298445,0.005832383200831394
Norman,1,BAK1+BCL2L11,combo_seen1,100,WitnessCell,0.2528255461408855,0.0034667652385403126
Norman,1,BAK1+BCL2L11,combo_seen1,100,factorized_only,0.2528255461408855,0.0034667652385403126
Norman,1,BAK1+BCL2L11,combo_seen1,5000,WitnessCell,-0.026966631558260432,0.0014225496933667617
Norman,1,BAK1+BCL2L11,combo_seen1,5000,factorized_only,-0.026966631558260432,0.0014225496933667617
Norman,1,BAK1+KLF1,combo_seen1,100,WitnessCell,0.20306783807594977,0.09182929215961291
Norman,1,BAK1+KLF1,combo_seen1,100,factorized_only,0.20306783807594977,0.09182929215961291
Norman,1,BAK1+KLF1,combo_seen1,5000,WitnessCell,0.05537126503157836,0.0032817352504329535
Norman,1,BAK1+KLF1,combo_seen1,5000,factorized_only,0.05537126503157836,0.0032817352504329535
Norman,1,BCL2L11+TGFBR2,combo_seen1,100,WitnessCell,0.8279914271032096,0.005680988087523506
Norman,1,BCL2L11+TGFBR2,combo_seen1,100,factorized_only,0.8274483517438327,0.005581711213061049
Norman,1,BCL2L11+TGFBR2,combo_seen1,5000,WitnessCell,0.4455109039699837,0.0011013577543985634
Norman,1,BCL2L11+TGFBR2,combo_seen1,5000,factorized_only,0.46319200786761905,0.0009395723674402398
Norman,1,CBFA2T3+FEV,combo_seen1,100,WitnessCell,0.6963592504293736,0.313753127920474
Norman,1,CBFA2T3+FEV,combo_seen1,100,factorized_only,0.6963592504293736,0.313753127920474
Norman,1,CBFA2T3+FEV,combo_seen1,5000,WitnessCell,0.5796303604007599,0.013324481497156947
Norman,1,CBFA2T3+FEV,combo_seen1,5000,factorized_only,0.5796303604007599,0.013324481497156947
Norman,1,CBL+PTPN9,combo_seen1,100,WitnessCell,0.9462003582598316,0.020207568486653726
Norman,1,CBL+PTPN9,combo_seen1,100,factorized_only,0.9211883775178551,0.03153970472474942
Norman,1,CBL+PTPN9,combo_seen1,5000,WitnessCell,0.8751392389974174,0.0011373012955127623
Norman,1,CBL+PTPN9,combo_seen1,5000,factorized_only,0.8418685060306638,0.001419358299739106
Norman,1,CBL+TGFBR2,combo_seen1,100,WitnessCell,0.846438894878693,0.04616000245650353
Norman,1,CBL+TGFBR2,combo_seen1,100,factorized_only,0.8563928919774474,0.04858860629965628
Norman,1,CBL+TGFBR2,combo_seen1,5000,WitnessCell,0.6979126144908863,0.0017803697768080063
Norman,1,CBL+TGFBR2,combo_seen1,5000,factorized_only,0.6900366853910427,0.001835009692114462
Norman,1,CBL+UBASH3A,combo_seen1,100,WitnessCell,0.9652985434350875,0.031730009689156645
Norman,1,CBL+UBASH3A,combo_seen1,100,factorized_only,0.9652985434350875,0.031730009689156645
Norman,1,CBL+UBASH3A,combo_seen1,5000,WitnessCell,0.6280248792570577,0.0028564387019678226
Norman,1,CBL+UBASH3A,combo_seen1,5000,factorized_only,0.6280248792570577,0.0028564387019678226
Norman,1,CBL+UBASH3B,combo_seen1,100,WitnessCell,0.9670457554838853,0.07925159016809541
Norman,1,CBL+UBASH3B,combo_seen1,100,factorized_only,0.9435011557444335,0.08951237151322804
Norman,1,CBL+UBASH3B,combo_seen1,5000,WitnessCell,0.9133481377028937,0.0024836060455464375
Norman,1,CBL+UBASH3B,combo_seen1,5000,factorized_only,0.8662593324917104,0.002779743527154714
Norman,1,CDKN1A+CDKN1B,combo_seen1,100,WitnessCell,0.9805504876442821,0.004619160244226789
Norman,1,CDKN1A+CDKN1B,combo_seen1,100,factorized_only,0.9805504876442821,0.004619160244226789
Norman,1,CDKN1A+CDKN1B,combo_seen1,5000,WitnessCell,0.9164357586257404,0.0008660206892529861
Norman,1,CDKN1A+CDKN1B,combo_seen1,5000,factorized_only,0.9164357586257404,0.0008660206892529861
Norman,1,CDKN1A+CDKN1C,combo_seen1,100,WitnessCell,0.9794015910894265,0.006268404658721896
Norman,1,CDKN1A+CDKN1C,combo_seen1,100,factorized_only,0.9794015910894265,0.006268404658721896
