performance,metric,DataSet,method,perturb,DEG,Ncontrol,Nimputed,Nstimulated,seed
0.8581,pearson_distance,Norman,WitnessCell,AHR+FEV,100,2000,276,276,1
0.1545,mse,Norman,WitnessCell,AHR+FEV,100,2000,276,276,1
2.0464,edistance,Norman,WitnessCell,AHR+FEV,100,2000,276,276,1
2.2894,sym_kldiv,Norman,WitnessCell,AHR+FEV,100,2000,276,276,1
70.3626,wasserstein,Norman,WitnessCell,AHR+FEV,100,2000,276,276,1
0.0,common_degs,Norman,WitnessCell,AHR+FEV,100,2000,276,276,1
0.7273,pearson_distance,Norman,WitnessCell,AHR+FEV,5000,2000,276,276,1
0.0065,mse,Norman,WitnessCell,AHR+FEV,5000,2000,276,276,1
1.7564,edistance,Norman,WitnessCell,AHR+FEV,5000,2000,276,276,1
39.8399,sym_kldiv,Norman,WitnessCell,AHR+FEV,5000,2000,276,276,1
0.4554,pearson_distance,Norman,WitnessCell,AHR+KLF1,100,2000,481,481,1
0.0932,mse,Norman,WitnessCell,AHR+KLF1,100,2000,481,481,1
1.4701,edistance,Norman,WitnessCell,AHR+KLF1,100,2000,481,481,1
1.6102,sym_kldiv,Norman,WitnessCell,AHR+KLF1,100,2000,481,481,1
45.2512,wasserstein,Norman,WitnessCell,AHR+KLF1,100,2000,481,481,1
0.0,common_degs,Norman,WitnessCell,AHR+KLF1,100,2000,481,481,1
0.2641,pearson_distance,Norman,WitnessCell,AHR+KLF1,5000,2000,481,481,1
0.0059,mse,Norman,WitnessCell,AHR+KLF1,5000,2000,481,481,1
1.324,edistance,Norman,WitnessCell,AHR+KLF1,5000,2000,481,481,1
38.4718,sym_kldiv,Norman,WitnessCell,AHR+KLF1,5000,2000,481,481,1
0.3333,pearson_distance,Norman,WitnessCell,BAK1+BCL2L11,100,2000,175,175,1
0.0033,mse,Norman,WitnessCell,BAK1+BCL2L11,100,2000,175,175,1
0.1962,edistance,Norman,WitnessCell,BAK1+BCL2L11,100,2000,175,175,1
43.6722,sym_kldiv,Norman,WitnessCell,BAK1+BCL2L11,100,2000,175,175,1
3.2979,wasserstein,Norman,WitnessCell,BAK1+BCL2L11,100,2000,175,175,1
0.0,common_degs,Norman,WitnessCell,BAK1+BCL2L11,100,2000,175,175,1
-0.0179,pearson_distance,Norman,WitnessCell,BAK1+BCL2L11,5000,2000,175,175,1
0.0017,mse,Norman,WitnessCell,BAK1+BCL2L11,5000,2000,175,175,1
0.5178,edistance,Norman,WitnessCell,BAK1+BCL2L11,5000,2000,175,175,1
39.5941,sym_kldiv,Norman,WitnessCell,BAK1+BCL2L11,5000,2000,175,175,1
0.1928,pearson_distance,Norman,WitnessCell,BAK1+KLF1,100,2000,395,395,1
0.0927,mse,Norman,WitnessCell,BAK1+KLF1,100,2000,395,395,1
1.4524,edistance,Norman,WitnessCell,BAK1+KLF1,100,2000,395,395,1
0.7788,sym_kldiv,Norman,WitnessCell,BAK1+KLF1,100,2000,395,395,1
43.3625,wasserstein,Norman,WitnessCell,BAK1+KLF1,100,2000,395,395,1
0.0,common_degs,Norman,WitnessCell,BAK1+KLF1,100,2000,395,395,1
0.0493,pearson_distance,Norman,WitnessCell,BAK1+KLF1,5000,2000,395,395,1
0.0035,mse,Norman,WitnessCell,BAK1+KLF1,5000,2000,395,395,1
0.8228,edistance,Norman,WitnessCell,BAK1+KLF1,5000,2000,395,395,1
38.657,sym_kldiv,Norman,WitnessCell,BAK1+KLF1,5000,2000,395,395,1
0.8194,pearson_distance,Norman,WitnessCell,BCL2L11+TGFBR2,100,2000,463,463,1
0.0059,mse,Norman,WitnessCell,BCL2L11+TGFBR2,100,2000,463,463,1
0.1368,edistance,Norman,WitnessCell,BCL2L11+TGFBR2,100,2000,463,463,1
41.1178,sym_kldiv,Norman,WitnessCell,BCL2L11+TGFBR2,100,2000,463,463,1
22.5889,wasserstein,Norman,WitnessCell,BCL2L11+TGFBR2,100,2000,463,463,1
0.0,common_degs,Norman,WitnessCell,BCL2L11+TGFBR2,100,2000,463,463,1
0.4158,pearson_distance,Norman,WitnessCell,BCL2L11+TGFBR2,5000,2000,463,463,1
0.0012,mse,Norman,WitnessCell,BCL2L11+TGFBR2,5000,2000,463,463,1
0.332,edistance,Norman,WitnessCell,BCL2L11+TGFBR2,5000,2000,463,463,1
38.7136,sym_kldiv,Norman,WitnessCell,BCL2L11+TGFBR2,5000,2000,463,463,1
0.6828,pearson_distance,Norman,WitnessCell,CBFA2T3+FEV,100,2000,159,159,1
0.3138,mse,Norman,WitnessCell,CBFA2T3+FEV,100,2000,159,159,1
3.8537,edistance,Norman,WitnessCell,CBFA2T3+FEV,100,2000,159,159,1
41.1704,sym_kldiv,Norman,WitnessCell,CBFA2T3+FEV,100,2000,159,159,1
82.6409,wasserstein,Norman,WitnessCell,CBFA2T3+FEV,100,2000,159,159,1
0.0,common_degs,Norman,WitnessCell,CBFA2T3+FEV,100,2000,159,159,1
0.5505,pearson_distance,Norman,WitnessCell,CBFA2T3+FEV,5000,2000,159,159,1
0.0136,mse,Norman,WitnessCell,CBFA2T3+FEV,5000,2000,159,159,1
3.3005,edistance,Norman,WitnessCell,CBFA2T3+FEV,5000,2000,159,159,1
40.3086,sym_kldiv,Norman,WitnessCell,CBFA2T3+FEV,5000,2000,159,159,1
0.9468,pearson_distance,Norman,WitnessCell,CBL+PTPN9,100,2000,306,306,1
0.0199,mse,Norman,WitnessCell,CBL+PTPN9,100,2000,306,306,1
0.3626,edistance,Norman,WitnessCell,CBL+PTPN9,100,2000,306,306,1
0.2997,sym_kldiv,Norman,WitnessCell,CBL+PTPN9,100,2000,306,306,1
48.9446,wasserstein,Norman,WitnessCell,CBL+PTPN9,100,2000,306,306,1
0.0,common_degs,Norman,WitnessCell,CBL+PTPN9,100,2000,306,306,1
0.8562,pearson_distance,Norman,WitnessCell,CBL+PTPN9,5000,2000,306,306,1
0.0013,mse,Norman,WitnessCell,CBL+PTPN9,5000,2000,306,306,1
0.3911,edistance,Norman,WitnessCell,CBL+PTPN9,5000,2000,306,306,1
39.1121,sym_kldiv,Norman,WitnessCell,CBL+PTPN9,5000,2000,306,306,1
0.819,pearson_distance,Norman,WitnessCell,CBL+TGFBR2,100,2000,188,188,1
0.0479,mse,Norman,WitnessCell,CBL+TGFBR2,100,2000,188,188,1
0.8067,edistance,Norman,WitnessCell,CBL+TGFBR2,100,2000,188,188,1
42.6252,sym_kldiv,Norman,WitnessCell,CBL+TGFBR2,100,2000,188,188,1
36.6355,wasserstein,Norman,WitnessCell,CBL+TGFBR2,100,2000,188,188,1
0.0,common_degs,Norman,WitnessCell,CBL+TGFBR2,100,2000,188,188,1
0.6304,pearson_distance,Norman,WitnessCell,CBL+TGFBR2,5000,2000,188,188,1
0.0021,mse,Norman,WitnessCell,CBL+TGFBR2,5000,2000,188,188,1
0.5706,edistance,Norman,WitnessCell,CBL+TGFBR2,5000,2000,188,188,1
39.7542,sym_kldiv,Norman,WitnessCell,CBL+TGFBR2,5000,2000,188,188,1
0.8402,pearson_distance,Norman,WitnessCell,CBL+UBASH3A,100,2000,64,64,1
0.0346,mse,Norman,WitnessCell,CBL+UBASH3A,100,2000,64,64,1
1.0309,edistance,Norman,WitnessCell,CBL+UBASH3A,100,2000,64,64,1
45.5162,sym_kldiv,Norman,WitnessCell,CBL+UBASH3A,100,2000,64,64,1
9.8005,wasserstein,Norman,WitnessCell,CBL+UBASH3A,100,2000,64,64,1
0.0,common_degs,Norman,WitnessCell,CBL+UBASH3A,100,2000,64,64,1
0.4866,pearson_distance,Norman,WitnessCell,CBL+UBASH3A,5000,2000,64,64,1
0.0039,mse,Norman,WitnessCell,CBL+UBASH3A,5000,2000,64,64,1
1.2448,edistance,Norman,WitnessCell,CBL+UBASH3A,5000,2000,64,64,1
41.1947,sym_kldiv,Norman,WitnessCell,CBL+UBASH3A,5000,2000,64,64,1
