performance,metric,DataSet,method,perturb,DEG,Ncontrol,Nimputed,Nstimulated,seed
0.6104,pearson_distance,Schmidt,WitnessCell,ARHGDIB+TNFRSF1A,100,2000,20,20,2
0.0402,mse,Schmidt,WitnessCell,ARHGDIB+TNFRSF1A,100,2000,20,20,2
2.4852,edistance,Schmidt,WitnessCell,ARHGDIB+TNFRSF1A,100,2000,20,20,2
49.1716,sym_kldiv,Schmidt,WitnessCell,ARHGDIB+TNFRSF1A,100,2000,20,20,2
16.4581,wasserstein,Schmidt,WitnessCell,ARHGDIB+TNFRSF1A,100,2000,20,20,2
0.0,common_degs,Schmidt,WitnessCell,ARHGDIB+TNFRSF1A,100,2000,20,20,2
0.011,pearson_distance,Schmidt,WitnessCell,ARHGDIB+TNFRSF1A,5000,2000,20,20,2
0.0282,mse,Schmidt,WitnessCell,ARHGDIB+TNFRSF1A,5000,2000,20,20,2
5.5998,edistance,Schmidt,WitnessCell,ARHGDIB+TNFRSF1A,5000,2000,20,20,2
44.7844,sym_kldiv,Schmidt,WitnessCell,ARHGDIB+TNFRSF1A,5000,2000,20,20,2
0.0467,pearson_distance,Schmidt,WitnessCell,CBY1+EMP3,100,2000,29,29,2
0.0323,mse,Schmidt,WitnessCell,CBY1+EMP3,100,2000,29,29,2
2.0007,edistance,Schmidt,WitnessCell,CBY1+EMP3,100,2000,29,29,2
48.3861,sym_kldiv,Schmidt,WitnessCell,CBY1+EMP3,100,2000,29,29,2
10.6251,wasserstein,Schmidt,WitnessCell,CBY1+EMP3,100,2000,29,29,2
0.0,common_degs,Schmidt,WitnessCell,CBY1+EMP3,100,2000,29,29,2
0.0734,pearson_distance,Schmidt,WitnessCell,CBY1+EMP3,5000,2000,29,29,2
0.0126,mse,Schmidt,WitnessCell,CBY1+EMP3,5000,2000,29,29,2
3.0925,edistance,Schmidt,WitnessCell,CBY1+EMP3,5000,2000,29,29,2
44.0094,sym_kldiv,Schmidt,WitnessCell,CBY1+EMP3,5000,2000,29,29,2
0.6147,pearson_distance,Schmidt,WitnessCell,EMP3+LCP2,100,2000,22,22,2
0.0344,mse,Schmidt,WitnessCell,EMP3+LCP2,100,2000,22,22,2
1.8897,edistance,Schmidt,WitnessCell,EMP3+LCP2,100,2000,22,22,2
48.6521,sym_kldiv,Schmidt,WitnessCell,EMP3+LCP2,100,2000,22,22,2
12.9112,wasserstein,Schmidt,WitnessCell,EMP3+LCP2,100,2000,22,22,2
0.0,common_degs,Schmidt,WitnessCell,EMP3+LCP2,100,2000,22,22,2
0.0561,pearson_distance,Schmidt,WitnessCell,EMP3+LCP2,5000,2000,22,22,2
0.0198,mse,Schmidt,WitnessCell,EMP3+LCP2,5000,2000,22,22,2
4.3938,edistance,Schmidt,WitnessCell,EMP3+LCP2,5000,2000,22,22,2
44.1908,sym_kldiv,Schmidt,WitnessCell,EMP3+LCP2,5000,2000,22,22,2
0.199,pearson_distance,Schmidt,WitnessCell,EMP3+MAP4K1,100,2000,20,20,2
0.0163,mse,Schmidt,WitnessCell,EMP3+MAP4K1,100,2000,20,20,2
2.4779,edistance,Schmidt,WitnessCell,EMP3+MAP4K1,100,2000,20,20,2
49.0895,sym_kldiv,Schmidt,WitnessCell,EMP3+MAP4K1,100,2000,20,20,2
12.5281,wasserstein,Schmidt,WitnessCell,EMP3+MAP4K1,100,2000,20,20,2
0.0,common_degs,Schmidt,WitnessCell,EMP3+MAP4K1,100,2000,20,20,2
0.102,pearson_distance,Schmidt,WitnessCell,EMP3+MAP4K1,5000,2000,20,20,2
0.0211,mse,Schmidt,WitnessCell,EMP3+MAP4K1,5000,2000,20,20,2
4.6365,edistance,Schmidt,WitnessCell,EMP3+MAP4K1,5000,2000,20,20,2
44.9374,sym_kldiv,Schmidt,WitnessCell,EMP3+MAP4K1,5000,2000,20,20,2
-0.3381,pearson_distance,Schmidt,WitnessCell,EMP3+PRKD2,100,2000,24,24,2
0.0335,mse,Schmidt,WitnessCell,EMP3+PRKD2,100,2000,24,24,2
2.1474,edistance,Schmidt,WitnessCell,EMP3+PRKD2,100,2000,24,24,2
48.4522,sym_kldiv,Schmidt,WitnessCell,EMP3+PRKD2,100,2000,24,24,2
