performance,metric,DataSet,method,perturb,DEG,Ncontrol,Nimputed,Nstimulated,seed
0.849,pearson_distance,Wessels,WitnessCell,DOT1L+FLI1,100,371,155,155,3
0.086,mse,Wessels,WitnessCell,DOT1L+FLI1,100,371,155,155,3
1.1005,edistance,Wessels,WitnessCell,DOT1L+FLI1,100,371,155,155,3
0.7692,sym_kldiv,Wessels,WitnessCell,DOT1L+FLI1,100,371,155,155,3
65.0063,wasserstein,Wessels,WitnessCell,DOT1L+FLI1,100,371,155,155,3
0.0,common_degs,Wessels,WitnessCell,DOT1L+FLI1,100,371,155,155,3
0.6511,pearson_distance,Wessels,WitnessCell,DOT1L+FLI1,5000,371,155,155,3
0.0045,mse,Wessels,WitnessCell,DOT1L+FLI1,5000,371,155,155,3
0.9996,edistance,Wessels,WitnessCell,DOT1L+FLI1,5000,371,155,155,3
40.6242,sym_kldiv,Wessels,WitnessCell,DOT1L+FLI1,5000,371,155,155,3
0.8758,pearson_distance,Wessels,WitnessCell,DOT1L+IKZF1,100,371,100,100,3
0.0115,mse,Wessels,WitnessCell,DOT1L+IKZF1,100,371,100,100,3
0.2519,edistance,Wessels,WitnessCell,DOT1L+IKZF1,100,371,100,100,3
43.4855,sym_kldiv,Wessels,WitnessCell,DOT1L+IKZF1,100,371,100,100,3
36.4891,wasserstein,Wessels,WitnessCell,DOT1L+IKZF1,100,371,100,100,3
0.0,common_degs,Wessels,WitnessCell,DOT1L+IKZF1,100,371,100,100,3
0.5807,pearson_distance,Wessels,WitnessCell,DOT1L+IKZF1,5000,371,100,100,3
0.0028,mse,Wessels,WitnessCell,DOT1L+IKZF1,5000,371,100,100,3
0.8238,edistance,Wessels,WitnessCell,DOT1L+IKZF1,5000,371,100,100,3
40.9832,sym_kldiv,Wessels,WitnessCell,DOT1L+IKZF1,5000,371,100,100,3
0.7053,pearson_distance,Wessels,WitnessCell,DOT1L+KDM1A,100,371,142,142,3
0.3323,mse,Wessels,WitnessCell,DOT1L+KDM1A,100,371,142,142,3
3.7529,edistance,Wessels,WitnessCell,DOT1L+KDM1A,100,371,142,142,3
1.2883,sym_kldiv,Wessels,WitnessCell,DOT1L+KDM1A,100,371,142,142,3
95.0956,wasserstein,Wessels,WitnessCell,DOT1L+KDM1A,100,371,142,142,3
0.0,common_degs,Wessels,WitnessCell,DOT1L+KDM1A,100,371,142,142,3
0.6483,pearson_distance,Wessels,WitnessCell,DOT1L+KDM1A,5000,371,142,142,3
0.0097,mse,Wessels,WitnessCell,DOT1L+KDM1A,5000,371,142,142,3
1.9412,edistance,Wessels,WitnessCell,DOT1L+KDM1A,5000,371,142,142,3
40.8573,sym_kldiv,Wessels,WitnessCell,DOT1L+KDM1A,5000,371,142,142,3
0.8701,pearson_distance,Wessels,WitnessCell,DOT1L+RING1,100,371,117,117,3
0.0138,mse,Wessels,WitnessCell,DOT1L+RING1,100,371,117,117,3
0.2742,edistance,Wessels,WitnessCell,DOT1L+RING1,100,371,117,117,3
41.3032,sym_kldiv,Wessels,WitnessCell,DOT1L+RING1,100,371,117,117,3
48.1317,wasserstein,Wessels,WitnessCell,DOT1L+RING1,100,371,117,117,3
0.0,common_degs,Wessels,WitnessCell,DOT1L+RING1,100,371,117,117,3
0.6682,pearson_distance,Wessels,WitnessCell,DOT1L+RING1,5000,371,117,117,3
0.0022,mse,Wessels,WitnessCell,DOT1L+RING1,5000,371,117,117,3
