dataset,seed,condition,subgroup,correction_active,all_gene_mse_v13,all_gene_mse_v14,relative_all_gene_mse_gain,top100_mse_v13,top100_mse_v14,relative_top100_mse_gain,top100_pcc_v13,top100_pcc_v14,top100_pcc_delta
Norman,1,AHR+FEV,combo_seen1,True,0.006223313550370451,0.006176804421871462,0.007473370596315202,0.14853800885169843,0.14620092514462424,0.015733910297717525,0.8755073511522605,0.8800615194141727,0.004554168261912128
Norman,1,AHR+KLF1,combo_seen1,True,0.006044618957865331,0.006022321954083131,0.0036887360373952494,0.09343360545383529,0.09231318101377972,0.011991664397550856,0.4578263335260644,0.46719540190324904,0.009369068377184653
Norman,1,BAK1+BCL2L11,combo_seen1,True,0.0013112468784175961,0.0013180783940367853,-0.0052099385185445735,0.002688331138055478,0.0030316147979197335,-0.1276939641120845,0.5830987515696369,0.5882152047518759,0.005116453182239078
Norman,1,BAK1+KLF1,combo_seen1,True,0.003348682325763959,0.0033227193240891306,0.007753199362948079,0.08949114475165225,0.08818650391749205,0.01457843497008242,0.24622848912927695,0.2712729291521808,0.025044440022903874
Norman,1,BCL2L11+TGFBR2,combo_seen1,True,0.0009242781009508828,0.0009256173547919667,-0.0014489728142494567,0.0032810648931707815,0.003348362398685249,-0.020510873056653275,0.9218173231621074,0.9238335641904094,0.0020162410283020016
Norman,1,CBFA2T3+FEV,combo_seen1,True,0.012041299650660697,0.011981823144935223,0.004939375935405049,0.28105193598712025,0.27802379150070666,0.01077432352770684,0.7828359720201885,0.7882227019973886,0.005386729977200133
Norman,1,CBL+PTPN9,combo_seen1,True,0.001125501455716741,0.001127499091801405,-0.0017748853851031826,0.022343401669494767,0.022343401669494767,0.0,0.9494996575068352,0.9494996575068352,0.0
Norman,1,CBL+TGFBR2,combo_seen1,True,0.0018613085951624255,0.0018632771444577977,-0.0010576157551136238,0.05177998755191823,0.05187890715401069,-0.0019103828866948152,0.8048625716376596,0.8016270110989505,-0.0032355605387091035
Norman,1,CBL+UBASH3A,combo_seen1,True,0.0030287556036237054,0.0030318372955418565,-0.001017477908902269,0.03527354270909691,0.03527354270909691,0.0,0.8664952397045108,0.8664952397045108,0.0
Norman,1,CBL+UBASH3B,combo_seen1,True,0.0028246828652413094,0.0028267144983390308,-0.0007192429007593451,0.09068356650291431,0.09068356650291431,0.0,0.9636961539926225,0.9636961539926225,0.0
