dataset,seed,condition,subgroup,all_gene_mse_v1,all_gene_mse_v2,relative_all_gene_mse_gain,top100_mse_v1,top100_mse_v2,relative_top100_mse_gain,top100_pcc_v1,top100_pcc_v2,top100_pcc_delta
Norman,1,AHR+FEV,combo_seen1,0.006324642589923414,0.006176804421871462,0.023374944267600402,0.15527230505102357,0.14620092514462424,0.058422394794863226,0.853914793443832,0.8800615194141727,0.026146725970340623
Norman,1,AHR+KLF1,combo_seen1,0.0058033687978633185,0.006022321954083131,-0.03772863036042554,0.09338237591263843,0.09231318101377972,0.011449643344467526,0.454977596096159,0.46719540190324904,0.012217805807090032
Norman,1,BAK1+BCL2L11,combo_seen1,0.0014154737083853064,0.0013180783940367853,0.06880757570525575,0.0034667628653517386,0.0030316147979197335,0.12551999785767143,0.2528259996082889,0.5882152047518759,0.33538920514358705
Norman,1,BAK1+KLF1,combo_seen1,0.0032654096503266132,0.0033227193240891306,-0.017550531142941,0.09182929496610899,0.08818650391749205,0.03966916058716735,0.20306776153553419,0.2712729291521808,0.06820516761664663
Norman,1,BCL2L11+TGFBR2,combo_seen1,0.001095881047559544,0.0009256173547919667,0.15536694712144478,0.005680988786892582,0.003348362398685249,0.4106021813648475,0.827991406096637,0.9238335641904094,0.09584215809377239
Norman,1,CBFA2T3+FEV,combo_seen1,0.013258192886546555,0.011981823144935223,0.0962702649247545,0.31375311808685535,0.27802379150070666,0.11387720002278302,0.6963592805649221,0.7882227019973886,0.09186342143246651
Norman,1,CBL+PTPN9,combo_seen1,0.0011316441842246507,0.001127499091801405,0.0036628937620404346,0.020207564675647167,0.022343401669494767,-0.10569492307113934,0.9462003666004849,0.9494996575068352,0.003299290906350283
Norman,1,CBL+TGFBR2,combo_seen1,0.0017715126848881807,0.0018632771444577977,-0.05180005785587092,0.04616000041571607,0.05187890715401069,-0.12389312579701586,0.8464389067831829,0.8016270110989505,-0.04481189568423238
Norman,1,CBL+UBASH3A,combo_seen1,0.002842229288839949,0.0030318372955418565,-0.06671101710421676,0.031730009485780614,0.03527354270909691,-0.11167766038343875,0.965298537923493,0.8664952397045108,-0.09880329821898215
Norman,1,CBL+UBASH3B,combo_seen1,0.002471250643006188,0.0028267144983390308,-0.14383966124149736,0.07925158550640632,0.09068356650291431,-0.144249240232347,0.967045753934043,0.9636961539926225,-0.003349599941420478
Norman,1,CDKN1A+CDKN1B,combo_seen1,0.0008617188281914836,0.0011009840910792608,-0.2776604793351571,0.0046191599527959145,0.005364882353742623,-0.16144112967885715,0.9805504860203387,0.9796192702134309,-0.0009312158069078036
Norman,1,CDKN1A+CDKN1C,combo_seen1,0.0009627738641538146,0.0011824094270219754,-0.2281278824090217,0.006268406337214454,0.006092770155610316,0.02801927190989772,0.9794015836680863,0.9795552278723236,0.00015364420423735758
Norman,1,CEBPA+KLF1,combo_seen1,0.002710912929398601,0.002963595687048614,-0.09320947010499127,0.016053762581918516,0.017449918024355048,-0.08696749035076878,0.9861647474590141,0.9834057567550181,-0.0027589907039959893
Norman,1,CEBPB+PTPN12,combo_seen1,0.0038015022594312985,0.0034103085985139085,0.1029050186533132,0.05544802165817395,0.04853411128147771,0.12469174138112864,0.8491404952543522,0.8637749143490661,0.014634419094713857
