DataSet,seed,perturb,subgroup,DEG,method,cor,mse
Norman,1,AHR+FEV,combo_seen1,100,WitnessCell,0.8800615194141727,0.14620092514462424
Norman,1,AHR+FEV,combo_seen1,100,factorized_only,0.8800615194141727,0.14620092514462424
Norman,1,AHR+FEV,combo_seen1,5000,WitnessCell,0.7503554888521411,0.006207686279703578
Norman,1,AHR+FEV,combo_seen1,5000,factorized_only,0.7503554888521411,0.006207686279703578
Norman,1,AHR+KLF1,combo_seen1,100,WitnessCell,0.46719540190324904,0.09231318101377972
Norman,1,AHR+KLF1,combo_seen1,100,factorized_only,0.46719540190324904,0.09231318101377972
Norman,1,AHR+KLF1,combo_seen1,5000,WitnessCell,0.27105204252642806,0.00605242960731736
Norman,1,AHR+KLF1,combo_seen1,5000,factorized_only,0.27105204252642806,0.00605242960731736
Norman,1,BAK1+BCL2L11,combo_seen1,100,WitnessCell,0.5882152047518759,0.0030316147979197335
Norman,1,BAK1+BCL2L11,combo_seen1,100,factorized_only,0.5882152047518759,0.0030316147979197335
Norman,1,BAK1+BCL2L11,combo_seen1,5000,WitnessCell,0.07474088619826527,0.0013246672864470625
Norman,1,BAK1+BCL2L11,combo_seen1,5000,factorized_only,0.07474088619826527,0.0013246672864470625
Norman,1,BAK1+KLF1,combo_seen1,100,WitnessCell,0.2712729291521808,0.08818650391749205
Norman,1,BAK1+KLF1,combo_seen1,100,factorized_only,0.2712729291521808,0.08818650391749205
Norman,1,BAK1+KLF1,combo_seen1,5000,WitnessCell,0.0910214631491861,0.0033393309544851456
Norman,1,BAK1+KLF1,combo_seen1,5000,factorized_only,0.0910214631491861,0.0033393309544851456
Norman,1,BCL2L11+TGFBR2,combo_seen1,100,WitnessCell,0.9238335641904094,0.003348362398685249
Norman,1,BCL2L11+TGFBR2,combo_seen1,100,factorized_only,0.9230113540076563,0.0030362084600808296
Norman,1,BCL2L11+TGFBR2,combo_seen1,5000,WitnessCell,0.5514578393861469,0.0009302431263266737
Norman,1,BCL2L11+TGFBR2,combo_seen1,5000,factorized_only,0.571160989273358,0.000793058105595267
Norman,1,CBFA2T3+FEV,combo_seen1,100,WitnessCell,0.7882227019973886,0.27802379150070666
Norman,1,CBFA2T3+FEV,combo_seen1,100,factorized_only,0.7882227019973886,0.27802379150070666
Norman,1,CBFA2T3+FEV,combo_seen1,5000,WitnessCell,0.640655566912268,0.01204172533051929
Norman,1,CBFA2T3+FEV,combo_seen1,5000,factorized_only,0.640655566912268,0.01204172533051929
Norman,1,CBL+PTPN9,combo_seen1,100,WitnessCell,0.9494996575068352,0.022343401669494767
Norman,1,CBL+PTPN9,combo_seen1,100,factorized_only,0.9222684427272397,0.03516821255185058
Norman,1,CBL+PTPN9,combo_seen1,5000,WitnessCell,0.8776746251543888,0.0011331355992651897
Norman,1,CBL+PTPN9,combo_seen1,5000,factorized_only,0.8383876634811843,0.00148701529114814
Norman,1,CBL+TGFBR2,combo_seen1,100,WitnessCell,0.8016270110989505,0.05187890715401069
Norman,1,CBL+TGFBR2,combo_seen1,100,factorized_only,0.8025803799276556,0.054660332131233044
Norman,1,CBL+TGFBR2,combo_seen1,5000,WitnessCell,0.687615306192959,0.0018725932111287673
Norman,1,CBL+TGFBR2,combo_seen1,5000,factorized_only,0.6670595294054921,0.0019805451097897817
Norman,1,CBL+UBASH3A,combo_seen1,100,WitnessCell,0.8664952397045108,0.03527354270909691
Norman,1,CBL+UBASH3A,combo_seen1,100,factorized_only,0.8664952397045108,0.03527354270909691
Norman,1,CBL+UBASH3A,combo_seen1,5000,WitnessCell,0.5961730785806866,0.0030469935875337795
Norman,1,CBL+UBASH3A,combo_seen1,5000,factorized_only,0.5961730785806866,0.0030469935875337795
Norman,1,CBL+UBASH3B,combo_seen1,100,WitnessCell,0.9636961539926225,0.09068356650291431
Norman,1,CBL+UBASH3B,combo_seen1,100,factorized_only,0.9374818737802436,0.10069132925032034
Norman,1,CBL+UBASH3B,combo_seen1,5000,WitnessCell,0.9037512025133494,0.0028408471139259516
Norman,1,CBL+UBASH3B,combo_seen1,5000,factorized_only,0.8612723364237769,0.0030776021381846244
Norman,1,CDKN1A+CDKN1B,combo_seen1,100,WitnessCell,0.9796192702134309,0.005364882353742623
Norman,1,CDKN1A+CDKN1B,combo_seen1,100,factorized_only,0.9796192702134309,0.005364882353742623
Norman,1,CDKN1A+CDKN1B,combo_seen1,5000,WitnessCell,0.9079293129352579,0.001106475362505742
Norman,1,CDKN1A+CDKN1B,combo_seen1,5000,factorized_only,0.9079293129352579,0.001106475362505742
