DataSet,seed,DEG,method,conditions,mean_cor,published_best_mean_cor,mean_mse,published_best_mean_mse,witness_vs_factorized_cor,witness_vs_factorized_mse_gain
Norman,1,100,WitnessCell,93,0.7637700714588187,0.7500548387096774,0.06372424621941883,0.06676451612903227,0.0040268596404420265,0.01784563747009335
Norman,1,100,factorized_only,93,0.7597432118183767,0.7500548387096774,0.06488210881156517,0.06676451612903227,0.0040268596404420265,0.01784563747009335
Norman,1,5000,WitnessCell,93,0.6599889604289665,0.6517376344086022,0.0029818306250595987,0.0033591397849462366,0.005416696361664308,0.024268527037276822
Norman,1,5000,factorized_only,93,0.6545722640673022,0.6517376344086022,0.0030559951253858104,0.0033591397849462366,0.005416696361664308,0.024268527037276822
Norman,2,100,WitnessCell,86,0.8731472304290812,0.8340337209302325,0.04344964345316967,0.04653023255813953,0.004758503320181351,0.016225808248243136
Norman,2,100,factorized_only,86,0.8683887271088998,0.8340337209302325,0.04416627699472487,0.04653023255813953,0.004758503320181351,0.016225808248243136
Norman,2,5000,WitnessCell,86,0.7653727248575066,0.7191255813953489,0.002213946615466224,0.002666279069767442,0.006592591452777796,0.054134123163023636
Norman,2,5000,factorized_only,86,0.7587801334047288,0.7191255813953489,0.0023406559742590294,0.002666279069767442,0.006592591452777796,0.054134123163023636
Norman,3,100,WitnessCell,89,0.7754721831646808,0.7814865168539327,0.06131743668937257,0.06192247191011236,0.007620941430404815,0.04440425580447054
Norman,3,100,factorized_only,89,0.767851241734276,0.7814865168539327,0.06416671177307597,0.06192247191011236,0.007620941430404815,0.04440425580447054
Norman,3,5000,WitnessCell,89,0.6852168001767055,0.6787033707865169,0.002692715979157489,0.002965168539325843,0.007515967801753676,0.06599558097276037
Norman,3,5000,factorized_only,89,0.6777008323749518,0.6787033707865169,0.0028829799134804284,0.002965168539325843,0.007515967801753676,0.06599558097276037
Replogle_exp6,1,100,WitnessCell,42,0.8210462769774199,0.7151238095238095,0.014702042931889293,0.01342142857142857,0.0,0.0
Replogle_exp6,1,100,factorized_only,42,0.8210462769774199,0.7151238095238095,0.014702042931889293,0.01342142857142857,0.0,0.0
Replogle_exp6,1,5000,WitnessCell,42,0.5837077289776591,0.5322833333333333,0.0012518266223309575,0.0014476190476190476,0.0,0.0
Replogle_exp6,1,5000,factorized_only,42,0.5837077289776591,0.5322833333333333,0.0012518266223309575,0.0014476190476190476,0.0,0.0
Replogle_exp6,2,100,WitnessCell,36,0.7941716951200841,0.6942916666666666,0.01909986098543793,0.014772222222222223,-0.0009197672451923822,0.001227391078897857
Replogle_exp6,2,100,factorized_only,36,0.7950914623652765,0.6942916666666666,0.019123332793507475,0.014772222222222223,-0.0009197672451923822,0.001227391078897857
Replogle_exp6,2,5000,WitnessCell,36,0.5382795454661541,0.4850583333333333,0.001250594437570936,0.0013666666666666666,0.0006121796006557378,0.004677667466967836
Replogle_exp6,2,5000,factorized_only,36,0.5376673658654983,0.4850583333333333,0.0012564717948086751,0.0013666666666666666,0.0006121796006557378,0.004677667466967836
Replogle_exp6,3,100,WitnessCell,34,0.8181893169404366,0.6764,0.017178446871297822,0.01603235294117647,0.0012983148179398496,0.005214535582461018
Replogle_exp6,3,100,factorized_only,34,0.8168910021224968,0.6764,0.01726849404796646,0.01603235294117647,0.0012983148179398496,0.005214535582461018
Replogle_exp6,3,5000,WitnessCell,34,0.5641561507307982,0.4980882352941176,0.0012126822985722022,0.0015352941176470587,0.007440722703351943,0.021182300208256344
Replogle_exp6,3,5000,factorized_only,34,0.5567154280274462,0.4980882352941176,0.001238925592406243,0.0015352941176470587,0.007440722703351943,0.021182300208256344
Schmidt,1,100,WitnessCell,31,0.520028556070387,0.6249903225806451,0.026125529069067885,0.02560322580645161,-0.002108407787264066,-0.0003905551375528346
Schmidt,1,100,factorized_only,31,0.5221369638576511,0.6249903225806451,0.026115329592926482,0.02560322580645161,-0.002108407787264066,-0.0003905551375528346
Schmidt,1,5000,WitnessCell,31,0.4034448266909891,0.38865483870967743,0.006542442534585458,0.006861290322580645,0.0015304288063404115,0.0026759431815374483
Schmidt,1,5000,factorized_only,31,0.40191439788464867,0.38865483870967743,0.006559996713060681,0.006861290322580645,0.0015304288063404115,0.0026759431815374483
Schmidt,2,100,WitnessCell,28,0.6015146160413378,0.5951642857142857,0.0357745011309661,0.024325000000000003,0.000894939304560638,0.001136940048376511
Schmidt,2,100,factorized_only,28,0.6006196767367772,0.5951642857142857,0.03581522088993732,0.024325000000000003,0.000894939304560638,0.001136940048376511
Schmidt,2,5000,WitnessCell,28,0.4536802537383689,0.4164857142857143,0.007074055916537924,0.007814285714285715,0.00043439957765911696,-0.0015660894882365318
Schmidt,2,5000,factorized_only,28,0.4532458541607098,0.4164857142857143,0.00706299463488476,0.007814285714285715,0.00043439957765911696,-0.0015660894882365318
Schmidt,3,100,WitnessCell,28,0.6957655702371932,0.6262035714285714,0.023596551484528435,0.023703571428571428,1.8883856990892234e-05,0.0003292815526977639
