DataSet,DEG,method,mean_rank_two_metric,mean_rank_cor,mean_rank_mse,rank_position_two_metric
Norman,100,WitnessCell,3.9888059701492535,3.712686567164179,4.264925373134329,1
Norman,100,linearModel,5.57089552238806,5.33955223880597,5.802238805970149,2
Norman,100,scouter,5.873134328358209,5.8059701492537314,5.940298507462686,3
Norman,100,trainMean,6.645522388059701,6.436567164179104,6.854477611940299,4
Norman,100,bioLord,6.901119402985074,6.626865671641791,7.175373134328358,5
Norman,100,GEARS,7.690298507462686,8.33955223880597,7.041044776119403,6
Norman,100,AttentionPert,7.722014925373134,8.026119402985074,7.417910447761194,7
Norman,100,baseReg,7.768656716417911,7.126865671641791,8.41044776119403,8
Norman,100,CPA,8.26679104477612,7.996268656716418,8.537313432835822,9
Norman,100,scELMo,8.585820895522389,9.014925373134329,8.156716417910447,10
Norman,100,scGPT,8.585820895522389,8.380597014925373,8.791044776119403,11
Norman,100,GeneCompass,8.595149253731343,8.917910447761194,8.272388059701493,12
Norman,100,GenePert,9.210820895522389,8.51865671641791,9.902985074626866,13
Norman,100,scFoundation,11.289179104477611,11.83955223880597,10.738805970149254,14
Norman,100,baseMLP,13.444029850746269,12.76865671641791,14.119402985074627,15
Norman,100,baseControl,14.886194029850746,15.39179104477612,14.380597014925373,16
Norman,5000,WitnessCell,2.736940298507463,2.720149253731343,2.753731343283582,1
Norman,5000,linearModel,4.628731343283582,4.57089552238806,4.686567164179104,2
Norman,5000,trainMean,5.294776119402985,5.376865671641791,5.212686567164179,3
Norman,5000,scouter,6.32089552238806,6.145522388059701,6.496268656716418,4
Norman,5000,scGPT,6.44589552238806,6.6716417910447765,6.220149253731344,5
Norman,5000,bioLord,6.567164179104478,6.093283582089552,7.041044776119403,6
Norman,5000,baseReg,6.766791044776119,7.197761194029851,6.335820895522388,7
Norman,5000,CPA,7.041044776119403,7.324626865671642,6.757462686567164,8
Norman,5000,GenePert,7.677238805970149,8.130597014925373,7.223880597014926,9
Norman,5000,AttentionPert,8.923507462686567,8.57089552238806,9.276119402985074,10
Norman,5000,GeneCompass,9.419776119402986,9.604477611940299,9.235074626865671,11
Norman,5000,GEARS,9.496268656716419,8.85820895522388,10.134328358208956,12
Norman,5000,scELMo,9.791044776119403,9.667910447761194,9.914179104477611,13
Norman,5000,baseControl,13.326492537313433,15.42910447761194,11.223880597014926,14
Norman,5000,scFoundation,14.110074626865671,13.097014925373134,15.123134328358208,15
Norman,5000,baseMLP,14.541044776119403,13.925373134328359,15.156716417910447,16
Replogle_exp6,100,WitnessCell,2.1919642857142856,1.7857142857142858,2.5982142857142856,1
Replogle_exp6,100,linearModel,4.517857142857143,4.401785714285714,4.633928571428571,2
Replogle_exp6,100,baseReg,5.169642857142857,5.732142857142857,4.607142857142857,3
Replogle_exp6,100,trainMean,5.495535714285714,5.491071428571429,5.5,4
Replogle_exp6,100,scouter,6.245535714285714,6.232142857142857,6.258928571428571,5
Replogle_exp6,100,GenePert,6.433035714285714,6.625,6.241071428571429,6
Replogle_exp6,100,scGPT,7.544642857142857,8.107142857142858,6.982142857142857,7
Replogle_exp6,100,bioLord,8.495535714285714,7.169642857142857,9.821428571428571,8
Replogle_exp6,100,scELMo,8.558035714285714,8.625,8.491071428571429,9
Replogle_exp6,100,GEARS,9.191964285714286,9.660714285714286,8.723214285714286,10
Replogle_exp6,100,AttentionPert,9.446428571428571,9.008928571428571,9.883928571428571,11
Replogle_exp6,100,GeneCompass,10.540178571428571,11.330357142857142,9.75,12
Replogle_exp6,100,scFoundation,11.120535714285714,10.142857142857142,12.098214285714286,13
Replogle_exp6,100,baseControl,12.522321428571429,13.991071428571429,11.053571428571429,14
Replogle_exp6,100,baseMLP,12.714285714285714,11.705357142857142,13.723214285714286,15
Replogle_exp6,100,CPA,14.4375,13.857142857142858,15.017857142857142,16
Replogle_exp6,5000,WitnessCell,1.7053571428571428,1.4732142857142858,1.9375,1
Replogle_exp6,5000,linearModel,4.129464285714286,3.607142857142857,4.651785714285714,2
Replogle_exp6,5000,GenePert,4.647321428571429,5.973214285714286,3.3214285714285716,3
Replogle_exp6,5000,baseReg,4.6875,5.383928571428571,3.9910714285714284,4
Replogle_exp6,5000,trainMean,4.946428571428571,4.75,5.142857142857143,5
Replogle_exp6,5000,scouter,6.138392857142857,5.964285714285714,6.3125,6
Replogle_exp6,5000,bioLord,7.660714285714286,5.678571428571429,9.642857142857142,7
Replogle_exp6,5000,scGPT,8.383928571428571,10.125,6.642857142857143,8
Replogle_exp6,5000,GEARS,9.098214285714286,9.401785714285714,8.794642857142858,9
Replogle_exp6,5000,scELMo,9.357142857142858,8.428571428571429,10.285714285714286,10
Replogle_exp6,5000,baseControl,10.415178571428571,14.830357142857142,6.0,11
Replogle_exp6,5000,AttentionPert,10.486607142857142,9.321428571428571,11.651785714285714,12
Replogle_exp6,5000,GeneCompass,10.691964285714286,11.642857142857142,9.741071428571429,13
Replogle_exp6,5000,scFoundation,12.683035714285714,11.116071428571429,14.25,14
Replogle_exp6,5000,baseMLP,14.133928571428571,13.178571428571429,15.089285714285714,15
Replogle_exp6,5000,CPA,14.580357142857142,14.410714285714286,14.75,16
Schmidt,100,scGPT,3.7413793103448274,4.241379310344827,3.2413793103448274,1
Schmidt,100,scouter,4.074712643678161,3.574712643678161,4.574712643678161,2
Schmidt,100,WitnessCell,4.120689655172414,4.632183908045977,3.6091954022988504,3
Schmidt,100,linearModel,6.224137931034483,5.64367816091954,6.804597701149425,4
Schmidt,100,CPA,6.241379310344827,6.64367816091954,5.839080459770115,5
Schmidt,100,baseReg,8.235632183908047,7.885057471264368,8.586206896551724,6
Schmidt,100,GEARS,8.563218390804598,8.379310344827585,8.74712643678161,7
Schmidt,100,bioLord,8.60344827586207,7.942528735632184,9.264367816091953,8
Schmidt,100,trainMean,8.632183908045977,8.206896551724139,9.057471264367816,9
Schmidt,100,GenePert,8.666666666666666,8.459770114942529,8.873563218390805,10
Schmidt,100,GeneCompass,8.948275862068966,8.448275862068966,9.448275862068966,11
Schmidt,100,scELMo,8.96551724137931,8.540229885057471,9.39080459770115,12
Schmidt,100,AttentionPert,8.994252873563218,8.091954022988507,9.89655172413793,13
Schmidt,100,baseMLP,11.063218390804598,10.264367816091953,11.862068965517242,14
Schmidt,100,baseControl,11.206896551724139,11.264367816091953,11.149425287356323,15
Schmidt,100,scFoundation,13.586206896551724,11.919540229885058,15.25287356321839,16
Schmidt,5000,WitnessCell,2.1839080459770117,2.2988505747126435,2.0689655172413794,1
Schmidt,5000,scGPT,2.867816091954023,3.103448275862069,2.632183908045977,2
Schmidt,5000,scouter,4.166666666666667,3.942528735632184,4.390804597701149,3
Schmidt,5000,CPA,4.373563218390805,4.436781609195402,4.310344827586207,4
Schmidt,5000,linearModel,6.126436781609195,6.057471264367816,6.195402298850575,5
Schmidt,5000,trainMean,6.942528735632184,7.160919540229885,6.724137931034483,6
Schmidt,5000,baseReg,8.137931034482758,9.03448275862069,7.241379310344827,7
Schmidt,5000,GenePert,8.258620689655173,9.666666666666666,6.850574712643678,8
Schmidt,5000,bioLord,9.597701149425287,8.96551724137931,10.229885057471265,9
Schmidt,5000,scELMo,9.798850574712644,9.310344827586206,10.28735632183908,10
Schmidt,5000,GeneCompass,10.206896551724139,9.74712643678161,10.666666666666666,11
Schmidt,5000,GEARS,10.436781609195402,9.931034482758621,10.942528735632184,12
Schmidt,5000,AttentionPert,11.258620689655173,9.632183908045977,12.885057471264368,13
Schmidt,5000,baseControl,11.442528735632184,14.264367816091953,8.620689655172415,14
Schmidt,5000,scFoundation,13.689655172413794,11.954022988505747,15.425287356321839,15
Schmidt,5000,baseMLP,14.304597701149426,13.264367816091953,15.344827586206897,16
Wessels,100,WitnessCell,3.3850267379679146,3.374331550802139,3.3957219251336896,1
Wessels,100,scouter,3.3957219251336896,3.160427807486631,3.6310160427807485,2
Wessels,100,baseReg,5.278074866310161,5.331550802139038,5.224598930481283,3
Wessels,100,linearModel,6.422459893048129,6.390374331550802,6.454545454545454,4
Wessels,100,trainMean,6.5588235294117645,6.572192513368984,6.545454545454546,5
Wessels,100,GEARS,7.342245989304812,7.342245989304812,7.342245989304812,6
Wessels,100,scELMo,7.44385026737968,7.491978609625669,7.39572192513369,7
Wessels,100,AttentionPert,7.68716577540107,7.732620320855615,7.641711229946524,8
Wessels,100,GeneCompass,7.89572192513369,7.989304812834225,7.802139037433155,9
Wessels,100,GenePert,7.89572192513369,7.7272727272727275,8.064171122994653,10
Wessels,100,scGPT,8.668449197860962,8.545454545454545,8.79144385026738,11
Wessels,100,scFoundation,10.56951871657754,10.572192513368984,10.566844919786096,12
Wessels,100,baseMLP,12.179144385026738,11.802139037433156,12.556149732620321,13
Wessels,100,CPA,12.3475935828877,12.315508021390375,12.379679144385026,14
Wessels,100,bioLord,13.713903743315509,13.16042780748663,14.267379679144385,15
Wessels,100,baseControl,14.671122994652407,15.529411764705882,13.81283422459893,16
Wessels,5000,scouter,2.227272727272727,2.320855614973262,2.1336898395721926,1
Wessels,5000,WitnessCell,2.355614973262032,2.2566844919786098,2.4545454545454546,2
Wessels,5000,baseReg,4.355614973262032,4.502673796791444,4.208556149732621,3
Wessels,5000,GenePert,6.088235294117647,6.721925133689839,5.454545454545454,4
Wessels,5000,scGPT,6.5828877005347595,7.101604278074866,6.064171122994653,5
Wessels,5000,linearModel,7.4144385026737964,6.251336898395722,8.577540106951872,6
Wessels,5000,scELMo,7.46524064171123,8.133689839572192,6.7967914438502675,7
Wessels,5000,trainMean,7.553475935828877,6.401069518716578,8.705882352941176,8
Wessels,5000,GeneCompass,7.767379679144385,8.481283422459892,7.053475935828877,9
Wessels,5000,GEARS,8.128342245989305,8.358288770053475,7.898395721925134,10
Wessels,5000,AttentionPert,9.497326203208557,9.117647058823529,9.877005347593583,11
Wessels,5000,CPA,11.16042780748663,11.080213903743315,11.240641711229946,12
Wessels,5000,baseControl,13.256684491978609,15.72192513368984,10.79144385026738,13
Wessels,5000,baseMLP,13.259358288770054,12.871657754010695,13.647058823529411,14
Wessels,5000,scFoundation,13.783422459893048,12.780748663101605,14.786096256684491,15
Wessels,5000,bioLord,13.828877005347593,13.165775401069519,14.491978609625669,16
