condition,v13_all_gene_mse,v14_all_gene_mse,upgrade_all_gene_gain,v13_top100_mse,v14_top100_mse,upgrade_top100_mse_gain,v13_top100_pcc,v14_top100_pcc,upgrade_top100_pcc_delta
ARRDC3,0.0003754924570063108,0.00037252926292906136,0.007891487623677137,0.0037544641620417146,0.0036055636596599287,0.03965958814767653,0.7933056497942099,0.798567813903079,0.0052621641088690385
BAK1,0.0010412285651880278,0.0010430453643586806,-0.0017448610529857288,0.00628805795304591,0.006379352111371215,-0.01451865727177056,0.43916712472674796,0.41354369569023136,-0.0256234290365166
BCORL1,0.0008770492072585875,0.000874659452744977,0.002724766744935847,0.015031393590247258,0.014911308425938326,0.00798895748341298,0.4735399858648948,0.47661216939957196,0.003072183534677142
BPGM,0.0019255470395443503,0.0019260333079615657,-0.00025253520543982717,0.06444610421337421,0.06447053920133929,-0.00037915384123411,0.446511559136616,0.4477880284928954,0.0012764693562793972
CBFA2T3,0.0008137367591351442,0.0008137728248564874,-4.432111605913656e-05,0.02425000985538926,0.02425182215788676,-7.47340932357127e-05,0.5906817981312956,0.5906381755883772,-4.3622542918453355e-05
CBL,0.0010410919291429115,0.0010428136770947395,-0.0016537905093985368,0.030461070804163274,0.030547588638742632,-0.0028402755482756503,0.5585409100433673,0.5555194918860652,-0.003021418157302058
CDKN1B,0.001075851608388707,0.0010707412901987017,0.004750021425035617,0.02508778181465613,0.02508778181465613,0.0,0.8373511463214303,0.8373511463214303,0.0
CDKN1C,0.001612843145360621,0.00161595185511037,-0.0019274718429322733,0.03685909343611918,0.03701530610104406,-0.004238103826281441,0.8180280808104428,0.7877396000858284,-0.03028848072461432
CEBPA,0.018677685561994756,0.018675802539062956,0.00010081671658674448,0.5171212597816944,0.5170266378793715,0.00018297817104414769,0.7404692577115243,0.7331462027912469,-0.007323054920277405
CEBPE,0.005213058385205032,0.0051766900122858775,0.0069763985422397175,0.16297911397932982,0.16115160324014227,0.01121315912552652,0.8029028312021715,0.8004338703418596,-0.0024689608603118973
