condition,v13_all_gene_mse,v14_all_gene_mse,upgrade_all_gene_gain,v13_top100_mse,v14_top100_mse,upgrade_top100_mse_gain,v13_top100_pcc,v14_top100_pcc,upgrade_top100_pcc_delta
ATM,0.0004150549969856008,0.00040707866518840485,0.019217529857790492,0.001344910299480207,0.0009445782065789463,0.2976645305311326,0.681571871356322,0.7003457332248749,0.0187738618685529
ATP5E,0.0009553138227322056,0.0009530820334122693,0.0023361844734469538,0.02910787139120015,0.02899585788523254,0.0038482204508253027,0.7733230832210087,0.7753553549896632,0.0020322717686545033
CAD,0.00716682895995293,0.007157970825805024,0.0012359907285919257,0.13626666372057988,0.13582207396769644,0.00326264502809795,0.4438107293008817,0.5124601224424193,0.06864939314153762
DUT,0.004582988943365043,0.004547908782664321,0.00765442839470701,0.06022889573190669,0.05846822246633748,0.02923303248670522,0.5478188658092159,0.516280341521443,-0.03153852428777293
ETAA1,0.00040723282913153827,0.00040821865175542737,-0.0024207837712677907,0.001535195934365917,0.0015846743718589073,-0.03222939586107389,-0.1402849518926539,0.0571127404844553,0.1973976923771092
HMGCR,0.0005882737049421647,0.0005846011818079617,0.0062428816779496145,0.00943719842026875,0.0092528744841631,0.019531637239900337,0.3919425458668934,0.380367377273019,-0.011575168593874419
HSPA5,0.005575737287438103,0.005560465018464938,0.002739058206270387,0.0940021125069731,0.0940021125069731,0.0,-0.846571922747898,-0.846571922747898,0.0
HSPE1,0.009225826622721917,0.008987479613213108,0.025834759231416,0.21556368143977536,0.20360104503252824,0.05549467483273276,0.7164082540669862,0.5510913702888647,-0.16531688377812148
HUS1,0.00019630287938163986,0.00017237673490290114,0.12188381828176344,0.004058120397493773,0.0028572672061058764,0.2959136432052444,0.490186333217908,0.5647333038860943,0.07454697066818633
LIG4,0.0005000608021778334,0.0005010080494464403,-0.0018942641864379574,0.0012021898439662025,0.0012497321843775808,-0.039546449880602165,-0.5081727121241973,-0.3122451152190202,0.19592759690517714
MTOR,0.005298576523640763,0.005285673072246143,0.0024352675359217498,0.12105898672910914,0.12041136250361323,0.005349658402024185,0.39308936775223485,0.4609095079434955,0.06782014019126065
MVD,0.0038465496944026624,0.0038383053993902624,0.0021432961140205238,0.07739560616068013,0.07698182499400774,0.005346313404579322,0.609703438816545,0.6823156304535577,0.07261219163701271
NHEJ1,0.000511236232351426,0.0004760071544089862,0.06890958760963388,0.0002422591944768569,0.0002422591944768569,0.0,-0.29458768886061193,-0.29458768886061193,0.0
PMVK,0.0006042524327202438,0.0005911145877307115,0.021742312116788377,0.006210907366613029,0.00555151892658841,0.1061662010238933,0.4387932050687922,0.46558451342737883,0.02679130835858662
PRKDC,0.0009665064208827012,0.00077667312887005,0.19641182708261598,0.021377738863838865,0.011850005937723906,0.44568478391470234,0.2984109855149448,0.8146263914745142,0.5162154059595694
RAD17,0.00035297568992314455,0.0003482098252484379,0.013501962913492347,0.0012039496135598485,0.0009647508655363206,0.1986783710293847,0.33840111379763255,0.5307652065582823,0.19236409276064975
RAD9A,0.0004223941883683972,0.0004045296483471973,0.04229352702556377,0.009219805668068981,0.008323184404404957,0.09724947530828114,0.6131941549914407,0.6952269866753348,0.08203283168389408
RPS18,0.0028500846505893247,0.0028477198307015807,0.000829736719312884,0.021161155464942665,0.021042465154776802,0.005608876621245714,0.9056175620987528,0.9060036332894109,0.00038607119065814377
RRM1,0.0011970264020425942,0.0011997446168556449,-0.002270806064437958,0.03289472969737345,0.03303115689884045,-0.004147387825408932,0.578062004726367,0.5658005094893153,-0.012261495237051778
RRM2B,0.0004864409317497569,0.0004595473110306167,0.0552865085230436,0.0027159135420380437,0.0013661227181443964,0.49699329636272344,0.1909725572516694,0.24698396565941683,0.05601140840774743
SQLE,0.0029606967035418815,0.0029624546257817274,-0.0005937528953043115,0.08718880047708139,0.08727703059429925,-0.0010119432396717206,0.622480647127193,0.6287473145287796,0.006266667401586656
SREBF1,0.0009811170863796707,0.0009542564251295804,0.02737763068545293,0.014747042019375494,0.014747042019375494,0.0,0.8069904721837878,0.8069904721837878,0.0
TOPBP1,0.00022999916273459993,0.00022554112227763753,0.01938285515459292,0.0012549040829627548,0.001031155032427811,0.17829972312041997,0.7150166954697341,0.7268594302391357,0.011842734769401564
XRCC5,0.003848626605891215,0.0036833992400767293,0.0429315136889526,0.08894085287815648,0.08064809138792742,0.09323905968823615,0.6294191651266339,0.6457511696019855,0.016332004475351658
