condition,v13_all_gene_mse,v14_all_gene_mse,upgrade_all_gene_gain,v13_top100_mse,v14_top100_mse,upgrade_top100_mse_gain,v13_top100_pcc,v14_top100_pcc,upgrade_top100_pcc_delta
ABCB10,0.0014806130124716452,0.001482512539179702,-0.0012829326043041168,0.03450966026293912,0.03460473157467737,-0.002754918797051971,0.5793936995644547,0.5795991017447564,0.00020540218030162816
ALX4,0.001964304267531166,0.0019258127355293788,0.01959550393390194,0.05828151753747567,0.05635501636078621,0.033055096333939896,0.35680649253650437,0.3690356639651593,0.012229171428654928
APOBEC3C,0.001955172686164387,0.0018868278988266938,0.0349558828339456,0.0478229424950064,0.04440228588875486,0.0715275227284209,0.8536443020338853,0.8503611689401469,-0.0032831330937383996
APOL2,0.0010884621297156966,0.001118174275775631,-0.027297363177619383,0.030840165190079413,0.03232725810037913,-0.0482193561913243,0.9272315634155816,0.9271802591059154,-5.1304309666155845e-05
ARHGDIB,0.0015728269648352458,0.001541538485304112,0.01989314796266303,0.0381515983308897,0.03658560993035645,0.04104646906143737,0.7161913556049045,0.7157119614433585,-0.00047939416154607617
CBY1,0.0006476439089046715,0.0005802172236372171,0.10411073792308165,0.018980020595610495,0.0156053149979744,0.1778030524590981,0.1840020423543876,0.19452136674828058,0.01051932439389297
DEF6,0.0009390255744499393,0.0009471108853835463,-0.008610320265604267,0.017428176010558585,0.017832845822785617,-0.023219286515230808,0.7656090347487647,0.7673153308596141,0.0017062961108493813
EOMES,0.009970869466771812,0.010019436065253214,-0.004870848890686109,0.24010962427637217,0.24254038253036625,-0.010123535286516536,0.5754917143517564,0.5883962010105405,0.012904486658784076
FOXD2,0.0036926712774391864,0.0036518963625053378,0.011042118799733908,0.08897136330366498,0.08693057881122584,0.022937543234824966,0.4318026039951365,0.46711761839084737,0.035315014395710886
FOXQ1,0.0024412342625721364,0.0024509077906358693,-0.003962556241341898,0.054184068546625,0.05466822862621483,-0.008935469273098528,0.6719800774655572,0.7057424828583504,0.03376240539279318
GATA3,0.0044870626010850715,0.004486975850445519,1.9333503288122203e-05,0.12230842778886274,0.12230408591935316,3.549934855736688e-05,0.42512455550326794,0.42512869140188003,4.13589861208985e-06
INPPL1,0.0027472891750984683,0.0027420361711621723,0.0019120680792940764,0.0646158423738351,0.06435292952682346,0.004068860473729472,0.3380787686168797,0.33517849292473867,-0.002900275692141019
LCP2,0.0015615039048773364,0.00155907539877929,0.0015552353666621922,0.03591239428714727,0.03579084755694006,0.0033845342985308778,0.7229405182238011,0.7229195281091542,-2.0990114646957103e-05
LHX6,0.0014501969987141506,0.0014607231965649457,-0.007258460650607019,0.03491489330140387,0.03544172950383615,-0.01508915401471666,0.6364028663283549,0.6447524135383856,0.008349547210030783
MAP4K1,0.003945753399959587,0.0039508694316466,-0.0012965918465824829,0.09283011903959464,0.09308617642552969,-0.002758343828319731,0.4745515318962334,0.4727041667261184,-0.0018473651701149674
MGST3,0.000903458440751315,0.0008775249414098871,0.02870469539236542,0.024002227034606496,0.022704255392568037,0.0540771337662559,0.9537522980583152,0.9543183487619123,0.0005660507035971651
OTUD7B,0.001086468962052563,0.0010824870147690745,0.0036650354704710754,0.024304576079396588,0.024105279617857987,0.008199956291669192,0.6381699565906502,0.6440551595902159,0.005885202999565631
PAPOLG,0.0010011359969562324,0.0009979192124959433,0.003213134349448219,0.016438137645656367,0.01627713758341889,0.009794300650598328,0.6888451474119308,0.6918285396811296,0.002983392269198748
PRDM1,0.008761930702582915,0.008770237745940691,-0.0009480836632647281,0.017976783548617866,0.017976783548617866,0.0,0.7386173921378331,0.7386173921378331,0.0
PRDM13,0.0014645022822128042,0.0013883683649246685,0.051986205971014596,0.04201438823994221,0.038203885679671,0.0906951813390596,0.10978586300455309,0.1169762188472811,0.007190355842728008
PRKD2,0.0005739025810349148,0.0005459356145188966,0.04873120881524098,0.016059360441620943,0.01465961376749423,0.08716079816597169,0.42356355484060537,0.42899221877338345,0.005428663932778077
RAC2,0.0005082708940392494,0.000503972938030537,0.00845603409346614,0.007034209375280519,0.0068190966770444675,0.03058093479446265,0.8966178806333774,0.8961078531699047,-0.0005100274634727286
TBX21,0.006108768272443872,0.006128282749081582,-0.003194502683255857,0.17895654039246164,0.17993323994817903,-0.005457747191443408,0.5658236207470045,0.5839124233245269,0.018088802577522323
TCF7,0.005228275245583803,0.005295830679394383,-0.012921170106268275,0.11631549061076103,0.11631549061076103,0.0,-0.21873782110394438,-0.21873782110394438,0.0
TNFRSF12A,0.0007167013442655692,0.0006948785303992184,0.03044896460842207,0.017735743930792896,0.01664351209678204,0.061583649283214845,0.640706221914032,0.6545212470648009,0.013815025150768823
TNFRSF1B,0.007987980680640517,0.00795448049291608,0.0041938243297993325,0.25002001533516793,0.24834333093955974,0.006706200675015931,0.4226684883006104,0.4031061678647482,-0.0195623204358622
TRAF3IP2,0.0015446939635713507,0.0015435639310045718,0.0007315575728452258,0.035011251758997525,0.034954693629030247,0.0016154272448354655,0.7357754111172934,0.7423658370328315,0.006590425915538156
TRIM21,0.0003354344931259134,0.00032153964911322224,0.041423420362065685,0.004517866265198875,0.0038224293223636818,0.15393039590218593,0.8513846688542868,0.8541429731982125,0.002758304343925766
