condition,v13_all_gene_mse,v14_all_gene_mse,upgrade_all_gene_gain,v13_top100_mse,v14_top100_mse,upgrade_top100_mse_gain,v13_top100_pcc,v14_top100_pcc,upgrade_top100_pcc_delta
ATXN7L3,0.007722910493740646,0.007723049342745572,-1.7978844250253562e-05,0.09421907570576217,0.09421907570576217,0.0,-0.7971669378645349,-0.7971669378645349,0.0
DOT1L,0.0017969436396044684,0.001801535512797216,-0.0025553796410433954,0.005006338575196878,0.005006338575196878,0.0,0.8681644567596342,0.8681644567596342,0.0
EP300,0.0050858093047166835,0.005087161886248551,-0.0002659520738642306,0.08476418068812418,0.08476418068812418,0.0,0.9033239364153464,0.9033239364153464,0.0
FLI1,0.003624903592341843,0.003620991553722715,0.0010792117692158987,0.09542811777777839,0.09542811777777839,0.0,0.6444704297604017,0.6444704297604017,0.0
GFI1,0.005870954150027763,0.005870908700981783,7.741338940554528e-06,0.182676166800183,0.182676166800183,0.0,0.7570345384223374,0.7570345384223374,0.0
GSE1,0.0029466113036451746,0.0029419575447181424,0.0015793596261831854,0.07159058900962324,0.07159058900962324,0.0,0.7388524820519199,0.7388524820519199,0.0
HDAC3,0.003067060934480105,0.003063607738053419,0.0011258975613640727,0.032542077082569315,0.03236872662194965,0.005326963616361039,0.6943842512068342,0.6953701410885037,0.0009858898816694772
MED24,0.006711626902150023,0.006709333820493367,0.0003416580942425832,0.14479107483068418,0.14479107483068418,0.0,0.8732074017658139,0.8732074017658139,0.0
RING1,0.003997637466914249,0.0040005213844503075,-0.0007214054700875347,0.026159636528473595,0.02630440918878376,-0.005534199993665316,0.1247974816655335,0.15156429274472366,0.026766811079190156
SMARCD1,0.003013254319847116,0.003012708846755626,0.0001810245779446644,0.03263286293448585,0.03263286293448585,0.0,0.7011429834670709,0.7011429834670709,0.0
SUPT16H,0.0024466880643185867,0.002424363390033234,0.00912444647559521,0.04183154849101923,0.04071084984189452,0.026790752184689275,0.9441968331252512,0.94951220203067,0.005315368905418838
