query_id,seed,pair,estimated_witness_risk,geometry_risk,selected_rho,selected_length_factor,selected_noise_ratio
100::PTPN9+UBASH3B,100,PTPN9+UBASH3B,0.0796042417092471,0.1540807980770956,0.75,4.0,0.1
100::ELMSAN1+MAP2K3,100,ELMSAN1+MAP2K3,0.1105462470293369,0.1643050833765363,0.75,4.0,0.1
100::CEBPE+ZC3HAV1,100,CEBPE+ZC3HAV1,0.0984246451151543,0.1507720093283426,0.75,4.0,0.1
100::CDKN1A+CDKN1C,100,CDKN1A+CDKN1C,0.1758607589698587,0.1844855013421077,0.75,4.0,0.1
100::BAK1+KLF1,100,BAK1+KLF1,0.0772226749909562,0.1434992635778302,0.75,4.0,0.1
100::SNAI1+UBASH3B,100,SNAI1+UBASH3B,0.0757634486516459,0.1416756495399189,0.75,4.0,0.1
100::CNN1+UBASH3B,100,CNN1+UBASH3B,0.0685808988156142,0.1385647369348291,0.75,4.0,0.1
101::ETS2+PRTG,101,ETS2+PRTG,0.0526381652652837,0.1317578060632896,0.9,4.0,0.03
101::DUSP9+ETS2,101,DUSP9+ETS2,0.0790384838919036,0.1259543708504513,0.9,4.0,0.03
101::CEBPB+CEBPE,101,CEBPB+CEBPE,0.1044401343746307,0.1235526207271261,0.9,4.0,0.03
101::CEBPE+ZC3HAV1,101,CEBPE+ZC3HAV1,0.0671051559214695,0.1368516801509884,0.9,4.0,0.03
101::TBX2+TBX3,101,TBX2+TBX3,0.1219344045907288,0.1717113111557025,0.9,4.0,0.03
101::FOXA1+FOXA3,101,FOXA1+FOXA3,0.0720358640728616,0.1413587167757987,0.9,4.0,0.03
101::FOXA1+HOXB9,101,FOXA1+HOXB9,0.0529057503774747,0.1440498269395963,0.9,4.0,0.03
101::DLX2+ZBTB10,101,DLX2+ZBTB10,0.2079868664219812,0.1538133931681788,0.9,4.0,0.03
101::FOXF1+HOXB9,101,FOXF1+HOXB9,0.0520263400283486,0.1468697359706901,0.9,4.0,0.03
102::CEBPB+CEBPE,102,CEBPB+CEBPE,0.1177954402454774,0.1302448036835427,0.9,4.0,0.03
102::PTPN9+UBASH3B,102,PTPN9+UBASH3B,0.0440668684371152,0.1382158913630832,0.9,4.0,0.03
102::CDKN1A+CDKN1B,102,CDKN1A+CDKN1B,0.1057681589117849,0.1805202851280018,0.9,4.0,0.03
102::ETS2+IGDCC3,102,ETS2+IGDCC3,0.0617257996001175,0.1314976736513454,0.9,4.0,0.03
102::FOXA3+HOXB9,102,FOXA3+HOXB9,0.0558595042643144,0.1517621528439821,0.9,4.0,0.03
102::CEBPE+ZC3HAV1,102,CEBPE+ZC3HAV1,0.0669234872540981,0.1427397233690148,0.9,4.0,0.03
102::TBX2+TBX3,102,TBX2+TBX3,0.1268537319698009,0.1782916396325944,0.9,4.0,0.03
102::AHR+FEV,102,AHR+FEV,0.3294940071454059,0.1639250661843047,0.9,4.0,0.03
103::DUSP9+SNAI1,103,DUSP9+SNAI1,0.1447542703262191,0.1319213983445324,0.75,4.0,0.1
103::ELMSAN1+MAP2K3,103,ELMSAN1+MAP2K3,0.0833719827714357,0.1419263627291395,0.75,4.0,0.1
103::CDKN1A+CDKN1B,103,CDKN1A+CDKN1B,0.1194167402317392,0.1734786853063085,0.75,4.0,0.1
103::CEBPE+SPI1,103,CEBPE+SPI1,0.1689305865218286,0.1393416789580183,0.75,4.0,0.1
103::PTPN12+PTPN9,103,PTPN12+PTPN9,0.0637822955550923,0.1312581227762722,0.75,4.0,0.1
103::FOXA1+FOXA3,103,FOXA1+FOXA3,0.1059020209856951,0.1509715290095128,0.75,4.0,0.1
103::FOXA1+HOXB9,103,FOXA1+HOXB9,0.0891372096520314,0.1509715290095128,0.75,4.0,0.1
104::ETS2+PRTG,104,ETS2+PRTG,0.0898042243795928,0.0875233664763454,0.5,0.5,0.03
104::CEBPA+CEBPB,104,CEBPA+CEBPB,0.1906057267900368,0.1064428890099424,0.5,0.5,0.03
104::FOSB+UBASH3B,104,FOSB+UBASH3B,0.0478700917210332,0.0833487752445488,0.5,0.5,0.03
104::CEBPB+CEBPE,104,CEBPB+CEBPE,0.1522997448788042,0.0815383975572223,0.5,0.5,0.03
104::ETS2+IGDCC3,104,ETS2+IGDCC3,0.1113897914809854,0.089182757824391,0.5,0.5,0.03
104::FOXA1+HOXB9,104,FOXA1+HOXB9,0.0401544886141507,0.1067395241907629,0.5,0.5,0.03
104::AHR+FEV,104,AHR+FEV,0.2231887417681247,0.1299183694206091,0.5,0.5,0.03
104::DLX2+ZBTB10,104,DLX2+ZBTB10,0.2237792611722469,0.1370486030675988,0.5,0.5,0.03
104::ETS2+MAP7D1,104,ETS2+MAP7D1,0.1356578968690598,0.1200349547082766,0.5,0.5,0.03
105::CEBPB+LYL1,105,CEBPB+LYL1,0.0990883205458449,0.1284081777331591,0.5,4.0,0.1
105::FOSB+UBASH3B,105,FOSB+UBASH3B,0.0547460462132156,0.0797924809875929,0.5,4.0,0.1
105::DUSP9+SNAI1,105,DUSP9+SNAI1,0.1164787463396452,0.0853455742494784,0.5,4.0,0.1
105::FOXA3+FOXF1,105,FOXA3+FOXF1,0.0783177308251615,0.1202888668358722,0.5,4.0,0.1
105::CEBPE+SPI1,105,CEBPE+SPI1,0.1498706064858981,0.1126314056382315,0.5,4.0,0.1
105::FOXA1+FOXA3,105,FOXA1+FOXA3,0.0869089634428642,0.1202888668358722,0.5,4.0,0.1
106::CEBPB+CEBPE,106,CEBPB+CEBPE,0.1420290059767849,0.1227810532855789,0.9,2.0,0.1
106::PTPN9+UBASH3B,106,PTPN9+UBASH3B,0.0642482789297026,0.1326799381757949,0.9,2.0,0.1
106::ETS2+IGDCC3,106,ETS2+IGDCC3,0.0679501061799669,0.1228085929652668,0.9,2.0,0.1
106::CBFA2T3+POU3F2,106,CBFA2T3+POU3F2,0.0874243004733135,0.1634248846652465,0.9,2.0,0.1
106::DLX2+ZBTB10,106,DLX2+ZBTB10,0.2302412416290935,0.1586931879046904,0.9,2.0,0.1
106::SNAI1+UBASH3B,106,SNAI1+UBASH3B,0.0899750703284397,0.1287578742966372,0.9,2.0,0.1
107::ETS2+PRTG,107,ETS2+PRTG,0.085714525814101,0.1248801176099502,0.5,0.5,0.1
107::DUSP9+SNAI1,107,DUSP9+SNAI1,0.170224590560306,0.1222828872241707,0.5,0.5,0.1
107::ETS2+IGDCC3,107,ETS2+IGDCC3,0.0802806726638189,0.1248801176099502,0.5,0.5,0.1
107::TBX2+TBX3,107,TBX2+TBX3,0.1488002905810904,0.1612597397033713,0.5,0.5,0.1
107::PTPN12+PTPN9,107,PTPN12+PTPN9,0.0566430112300696,0.1313547317268255,0.5,0.5,0.1
107::CEBPE+KLF1,107,CEBPE+KLF1,0.1434793870581689,0.1149485614573661,0.5,0.5,0.1
107::KLF1+TGFBR2,107,KLF1+TGFBR2,0.0584983052025778,0.1122772989057754,0.5,0.5,0.1
107::DLX2+ZBTB10,107,DLX2+ZBTB10,0.1900298752436258,0.1496960887777931,0.5,0.5,0.1
107::ETS2+MAP7D1,107,ETS2+MAP7D1,0.1222009257316519,0.1398621807253566,0.5,0.5,0.1
108::FOSB+UBASH3B,108,FOSB+UBASH3B,0.0477436796981734,0.1307563687394036,0.9,4.0,0.03
108::DUSP9+PRTG,108,DUSP9+PRTG,0.0841378414672143,0.1375050285972404,0.9,4.0,0.03
108::CEBPE+ZC3HAV1,108,CEBPE+ZC3HAV1,0.064056988129748,0.1408465797044818,0.9,4.0,0.03
108::PTPN12+PTPN9,108,PTPN12+PTPN9,0.0475747949836181,0.1402249191778931,0.9,4.0,0.03
108::FOXF1+HOXB9,108,FOXF1+HOXB9,0.0676392943928152,0.1689389509377962,0.9,4.0,0.03
109::DUSP9+PRTG,109,DUSP9+PRTG,0.1099480054447683,0.1331623142660397,0.75,4.0,0.1
109::CEBPE+SPI1,109,CEBPE+SPI1,0.1865613552677007,0.1319899391718213,0.75,4.0,0.1
109::FOXA1+FOXA3,109,FOXA1+FOXA3,0.0811624571646419,0.1287713492401245,0.75,4.0,0.1
109::IKZF3+MAPK1,109,IKZF3+MAPK1,0.1268455553636951,0.1342827849533729,0.75,4.0,0.1
109::KLF1+TGFBR2,109,KLF1+TGFBR2,0.0653920315469981,0.1120300288443658,0.75,4.0,0.1
109::DLX2+ZBTB10,109,DLX2+ZBTB10,0.1600480353153457,0.1438287539489781,0.75,4.0,0.1
109::ETS2+MAP7D1,109,ETS2+MAP7D1,0.1054258186231333,0.1344894794288528,0.75,4.0,0.1
110::DUSP9+PRTG,110,DUSP9+PRTG,0.1218851697363343,0.1372200864802966,0.75,2.0,0.1
110::SAMD1+UBASH3B,110,SAMD1+UBASH3B,0.051187595692227,0.1252704953165886,0.75,2.0,0.1
110::PTPN9+UBASH3B,110,PTPN9+UBASH3B,0.058347016222075,0.1335882324466444,0.75,2.0,0.1
110::ETS2+IGDCC3,110,ETS2+IGDCC3,0.0901205720892834,0.1365255988714234,0.75,2.0,0.1
110::CEBPE+ZC3HAV1,110,CEBPE+ZC3HAV1,0.0770313318746328,0.1358029611202031,0.75,2.0,0.1
110::TBX2+TBX3,110,TBX2+TBX3,0.1246056858879516,0.1711569106641535,0.75,2.0,0.1
110::BAK1+KLF1,110,BAK1+KLF1,0.0715180020372958,0.1357026019893531,0.75,2.0,0.1
110::FOXA1+FOXA3,110,FOXA1+FOXA3,0.0835343875596777,0.1397968799431188,0.75,2.0,0.1
