query_id,seed,pair,estimated_witness_risk,geometry_risk,selected_rho,selected_length_factor,selected_noise_ratio,estimated_realized_mse,geometry_realized_mse,estimated_residual_cosine,geometry_residual_cosine,reliability_weight,accepted_primary
100::PTPN9+UBASH3B,100,PTPN9+UBASH3B,0.0796042417092471,0.1540807980770956,0.75,4.0,0.1,0.0389653251987987,0.0563895566508709,0.8107830348885638,0.7819285220602659,0.0,True
100::ELMSAN1+MAP2K3,100,ELMSAN1+MAP2K3,0.1105462470293369,0.1643050833765363,0.75,4.0,0.1,0.052736048407881,0.0369042792489795,0.6646193764832783,0.6700812366228276,0.3379999995231628,False
100::CEBPE+ZC3HAV1,100,CEBPE+ZC3HAV1,0.0984246451151543,0.1507720093283426,0.75,4.0,0.1,0.1282880494357088,0.1384204999837114,0.9686584330185548,0.97227160464834,0.5799999833106995,False
100::CDKN1A+CDKN1C,100,CDKN1A+CDKN1C,0.1758607589698587,0.1844855013421077,0.75,4.0,0.1,0.1031791031445312,0.1315378261483677,0.7079663359553914,0.7081383089241357,0.1140000000596046,False
100::BAK1+KLF1,100,BAK1+KLF1,0.0772226749909562,0.1434992635778302,0.75,4.0,0.1,0.053024589097882,0.0623063909700466,0.3692570471190611,0.1580736055855354,0.3089999854564667,True
100::SNAI1+UBASH3B,100,SNAI1+UBASH3B,0.0757634486516459,0.1416756495399189,0.75,4.0,0.1,0.0427271613908265,0.1050284029073702,0.577593658085554,-0.0555067893356494,0.2759999930858612,True
100::CNN1+UBASH3B,100,CNN1+UBASH3B,0.0685808988156142,0.1385647369348291,0.75,4.0,0.1,0.0748047712266568,0.1633016528420277,0.889543637712147,0.7146832478742606,0.6230000257492065,True
101::ETS2+PRTG,101,ETS2+PRTG,0.0526381652652837,0.1317578060632896,0.9,4.0,0.03,0.0276542230368199,0.0795426513603091,0.9241900037366696,0.828034555641213,0.356000006198883,True
101::DUSP9+ETS2,101,DUSP9+ETS2,0.0790384838919036,0.1259543708504513,0.9,4.0,0.03,0.0644950516206969,0.1355901733847951,0.8805586484836779,0.535135894753898,0.7250000238418579,True
101::CEBPB+CEBPE,101,CEBPB+CEBPE,0.1044401343746307,0.1235526207271261,0.9,4.0,0.03,0.2795980959467538,0.1157987892373501,0.7747055201777132,0.9219756368379568,0.2179999947547912,False
