pair,median_risk,mean_mse,rows,accepted_pair_median
AHR+FEV,0.2231887417681247,0.1829111581322224,3,False
BAK1+KLF1,0.08096827447503624,0.05506730266713595,6,True
CBFA2T3+POU3F2,0.08852949144434655,0.07936164489092695,4,True
CDKN1A+CDKN1B,0.1194167402317392,0.10567945688094613,7,False
CDKN1A+CDKN1C,0.1661200732427024,0.10401895099062122,4,False
CEBPA+CEBPB,0.1297827524859684,0.3126255865800273,4,False
CEBPB+CEBPE,0.130604969800595,0.23961957579723112,6,False
CEBPB+LYL1,0.09083456809442819,0.16487086228667702,8,True
CEBPE+KLF1,0.1114307620857133,0.09493838739204263,4,False
CEBPE+SPI1,0.18483519484111927,0.2928204358998877,6,False
CEBPE+ZC3HAV1,0.07206824389805115,0.1565061106100926,6,True
CNN1+UBASH3B,0.0685808988156142,0.06671449186340608,5,True
DLX2+ZBTB10,0.1900298752436258,0.17406256542131923,11,False
DUSP9+ETS2,0.17408995573170555,0.13508978397199095,8,False
DUSP9+PRTG,0.1044844068474459,0.07802241346935822,6,False
DUSP9+SNAI1,0.14871417361349804,0.7247994852965088,6,False
ELMSAN1+MAP2K3,0.08208710412173831,0.04042399022772463,6,True
ETS2+IGDCC3,0.0802806726638189,0.03728926779244736,5,True
ETS2+MAP7D1,0.11221946984220571,0.0966096861465748,8,False
ETS2+PRTG,0.0844078836347026,0.03672495742714041,9,True
FOSB+UBASH3B,0.0547460462132156,0.11436901003673136,7,True
FOXA1+FOXA3,0.0835343875596777,0.07604082300687823,5,True
FOXA1+HOXB9,0.0623876041920655,0.08469131094720526,8,True
FOXA3+FOXF1,0.08022482071479345,0.0734420364237026,4,True
FOXA3+HOXB9,0.0900651940440261,0.0549761319040835,5,True
FOXF1+HOXB9,0.0651339219243714,0.06815239888999135,9,True
IKZF3+MAPK1,0.1360716470487128,0.17383576651413216,6,False
KLF1+TGFBR2,0.060038153859453,0.03670211694912987,9,True
PTPN12+PTPN9,0.06178702036411984,0.03707545987259017,8,True
PTPN9+UBASH3B,0.05498754302970705,0.03915204126433215,10,True
SAMD1+UBASH3B,0.051187595692227,0.0474507290382939,5,True
SNAI1+UBASH3B,0.0871100916889968,0.051636142960153876,7,True
TBX2+TBX3,0.12572970892887625,0.051440435091565165,8,False
