relative_path,phase,rows,columns,bytes,sha256
results/formal_e22/D/gate21/gate21_wmse_rows.csv,D,213,9,25701,9feeabc0187135e5dfe9a52c10012b1893e828adff74277c6015e6af62d8d916
results/formal_e22/D/shadow/shadow_gate_by_split.csv,D,12,8,1019,bf88677498ab75598a6bcd7632f909d5fe88bae46cbb90a4c0f63ac27567ecff
results/formal_e22/D/shadow/shadow_training_loo_rows.csv,D,403,10,63879,d3d41e8e61afdb1ead204c9d97ceb41f3864ef2a960593d245dd1995029babd6
results/formal_e22/M/Norman.metric_validity.csv,M,268,34,152593,1e2fdd6a27c836b7a51f0332ba4b6e6f0d517150e8107d565d9583151d6a7265
results/formal_e22/M/Norman.nir_controls.csv,M,1072,5,54501,4eb238d6e1ca65846cd2f3cdae84dfb59ad8a316f818da8eacc2b30cef725487
results/formal_e22/M/Replogle_exp6.metric_validity.csv,M,112,34,66061,0e80e0bd7c3adbfc28c34a4d851429317b4a38ed4913f6ac804c040d8141f3ee
results/formal_e22/M/Replogle_exp6.nir_controls.csv,M,448,5,26729,882f9dc3af9934a1425dc38847a4692c7c92057b34a32daaa4029d90f91c8520
results/formal_e22/M/Schmidt.metric_validity.csv,M,87,34,51349,ce15ec1440a01193550819bc93b50c587686a3434920383c4aa2316471d05c0e
results/formal_e22/M/Schmidt.nir_controls.csv,M,348,5,19043,d7910482040befa7dfc1a3cae58713229decbf09c40c157df52bd8a4816cc456
results/formal_e22/M/Wessels.metric_validity.csv,M,187,34,107830,d1a9829c9eb8d2e5090e503e5c02abd55534e6f52537ac7be315da32ac36927f
results/formal_e22/M/Wessels.nir_controls.csv,M,748,5,39512,c3932f4dd44fbed72de1a1d4f920500eb2adecee81279177e8056710113d61bd
results/formal_e22/M/drf_summary.csv,M,40,9,4358,12a5089580241357aee98471431f3d8b7215925dd81102be452a02d010b17595
results/formal_e22/M/eligible_operations.csv,M,654,4,17367,47cdb4c78769bb63b039afa25b9b900df17f1225e3cb237f55130fa74ad6959c
results/formal_e22/M/nir_control_summary.csv,M,48,7,3052,be3866a7bcca312423d8d58f1e483fbea597143d2e2ffec75f655927ffbf7ed7
results/formal_e22/P/per_operation_metrics.csv,P,2616,10,375064,bfd2afbbdc930767a1a63af3c4968ef470cb90d2d67c0cf315ef65ba9b107605
results/formal_e22/P/per_operation_nir.csv,P,2616,5,131634,11c5912a8292acf65fccef577ff65d8f284c3260a9c3e5572476705d2c9837f7
results/formal_e22/P/split_comparisons.csv,P,36,6,2313,39a280980dce1616167cc105d1aad95ed795622d8e4d66d2b27366397348c51a
results/formal_e22/P/split_summary.csv,P,48,10,6757,eabebc2770d60320a154baa07c1c3f962ec9a264bc7c6544f5fe0c65c6249c06
