query_id,seed,pair,estimated_witness_risk,geometry_risk,estimated_wmse,geometry_wmse,scoring_evaluable,accepted_primary
100::PTPN9+UBASH3B,100,PTPN9+UBASH3B,0.0796042417092471,0.1540807980770956,0.04938351490465589,0.07831823388827489,True,True
100::ELMSAN1+MAP2K3,100,ELMSAN1+MAP2K3,0.1105462470293369,0.1643050833765363,,,False,False
100::CEBPE+ZC3HAV1,100,CEBPE+ZC3HAV1,0.0984246451151543,0.1507720093283426,0.1447733899466916,0.1731846430348279,True,False
100::CDKN1A+CDKN1C,100,CDKN1A+CDKN1C,0.1758607589698587,0.1844855013421077,0.09919382391848197,0.1446258764437509,True,False
100::BAK1+KLF1,100,BAK1+KLF1,0.0772226749909562,0.1434992635778302,0.05352848609152153,0.06703973715890343,True,True
100::SNAI1+UBASH3B,100,SNAI1+UBASH3B,0.0757634486516459,0.1416756495399189,0.05879695953629514,0.10465959688839677,True,True
100::CNN1+UBASH3B,100,CNN1+UBASH3B,0.0685808988156142,0.1385647369348291,0.15082087609005795,0.27572506173542993,True,True
101::ETS2+PRTG,101,ETS2+PRTG,0.0526381652652837,0.1317578060632896,0.036154624879673504,0.21733019587946623,True,True
101::DUSP9+ETS2,101,DUSP9+ETS2,0.0790384838919036,0.1259543708504513,0.18733933892279242,0.32993346001630697,True,True
101::CEBPB+CEBPE,101,CEBPB+CEBPE,0.1044401343746307,0.1235526207271261,0.23228589000036715,0.17728094324760552,True,False
101::CEBPE+ZC3HAV1,101,CEBPE+ZC3HAV1,0.0671051559214695,0.1368516801509884,0.196209563268872,0.2316082994721354,True,True
101::TBX2+TBX3,101,TBX2+TBX3,0.1219344045907288,0.1717113111557025,0.17443288221228845,0.20239663434132188,True,False
101::FOXA1+FOXA3,101,FOXA1+FOXA3,0.0720358640728616,0.1413587167757987,0.14376386175876593,0.10960243961473554,True,True
101::FOXA1+HOXB9,101,FOXA1+HOXB9,0.0529057503774747,0.1440498269395963,0.11853932565824335,0.11249896627718368,True,True
101::DLX2+ZBTB10,101,DLX2+ZBTB10,0.2079868664219812,0.1538133931681788,0.34727020781790485,0.3735148765922778,True,False
101::FOXF1+HOXB9,101,FOXF1+HOXB9,0.0520263400283486,0.1468697359706901,0.08688099842081927,0.08653082178249187,True,True
102::CEBPB+CEBPE,102,CEBPB+CEBPE,0.1177954402454774,0.1302448036835427,0.2398235759964652,0.1662402910005819,True,False
102::PTPN9+UBASH3B,102,PTPN9+UBASH3B,0.0440668684371152,0.1382158913630832,0.06133829813210958,0.06773087626948655,True,True
102::CDKN1A+CDKN1B,102,CDKN1A+CDKN1B,0.1057681589117849,0.1805202851280018,0.08164490291675873,0.09864736225632995,True,False
102::ETS2+IGDCC3,102,ETS2+IGDCC3,0.0617257996001175,0.1314976736513454,0.04060651302568598,0.18289688744709165,True,True
102::FOXA3+HOXB9,102,FOXA3+HOXB9,0.0558595042643144,0.1517621528439821,0.04729702126758522,0.062164344234643135,True,True
102::CEBPE+ZC3HAV1,102,CEBPE+ZC3HAV1,0.0669234872540981,0.1427397233690148,0.20426424272660912,0.24680331168280023,True,True
102::TBX2+TBX3,102,TBX2+TBX3,0.1268537319698009,0.1782916396325944,0.17653508201118354,0.20239663434132188,True,False
102::AHR+FEV,102,AHR+FEV,0.3294940071454059,0.1639250661843047,0.31175193656420375,0.2577966144554448,True,False
103::DUSP9+SNAI1,103,DUSP9+SNAI1,0.1447542703262191,0.1319213983445324,1.2206958135364099,1.2370066072004013,True,False
103::ELMSAN1+MAP2K3,103,ELMSAN1+MAP2K3,0.0833719827714357,0.1419263627291395,,,False,True
103::CDKN1A+CDKN1B,103,CDKN1A+CDKN1B,0.1194167402317392,0.1734786853063085,0.07529233874097807,0.09864736225632995,True,False
103::CEBPE+SPI1,103,CEBPE+SPI1,0.1689305865218286,0.1393416789580183,0.558711798163827,0.5713589480373275,True,False
103::PTPN12+PTPN9,103,PTPN12+PTPN9,0.0637822955550923,0.1312581227762722,0.032339546441781414,0.0806437902718806,True,True
103::FOXA1+FOXA3,103,FOXA1+FOXA3,0.1059020209856951,0.1509715290095128,0.13630565602471625,0.11240264130008684,True,False
103::FOXA1+HOXB9,103,FOXA1+HOXB9,0.0891372096520314,0.1509715290095128,0.12040192115213069,0.11743093151920941,True,True
104::ETS2+PRTG,104,ETS2+PRTG,0.0898042243795928,0.0875233664763454,0.09698170571189133,0.22283873814699665,True,True
104::CEBPA+CEBPB,104,CEBPA+CEBPB,0.1906057267900368,0.1064428890099424,0.5147918904428694,0.37666515880142276,True,False
104::FOSB+UBASH3B,104,FOSB+UBASH3B,0.0478700917210332,0.0833487752445488,0.18218908839186154,0.5075924557383209,True,True
104::CEBPB+CEBPE,104,CEBPB+CEBPE,0.1522997448788042,0.0815383975572223,0.23283461582116932,0.16928104788161735,True,False
104::ETS2+IGDCC3,104,ETS2+IGDCC3,0.1113897914809854,0.089182757824391,0.08633747766027632,0.2154979749842195,True,False
104::FOXA1+HOXB9,104,FOXA1+HOXB9,0.0401544886141507,0.1067395241907629,0.0734545185053543,0.0719332682881989,True,True
104::AHR+FEV,104,AHR+FEV,0.2231887417681247,0.1299183694206091,0.246051616007255,0.22713042307569403,True,False
104::DLX2+ZBTB10,104,DLX2+ZBTB10,0.2237792611722469,0.1370486030675988,0.3243775017569295,0.3589436428642615,True,False
104::ETS2+MAP7D1,104,ETS2+MAP7D1,0.1356578968690598,0.1200349547082766,0.13135650200548216,0.21923229037031025,True,False
105::CEBPB+LYL1,105,CEBPB+LYL1,0.0990883205458449,0.1284081777331591,0.2291575252523511,0.339462608451654,True,False
105::FOSB+UBASH3B,105,FOSB+UBASH3B,0.0547460462132156,0.0797924809875929,0.21907419593078556,0.3729052520898333,True,True
105::DUSP9+SNAI1,105,DUSP9+SNAI1,0.1164787463396452,0.0853455742494784,1.2812089625156367,1.264489042168067,True,False
105::FOXA3+FOXF1,105,FOXA3+FOXF1,0.0783177308251615,0.1202888668358722,0.09601942814638234,0.08221940707913292,True,True
105::CEBPE+SPI1,105,CEBPE+SPI1,0.1498706064858981,0.1126314056382315,0.7469031873361021,1.011966316879262,True,False
105::FOXA1+FOXA3,105,FOXA1+FOXA3,0.0869089634428642,0.1202888668358722,0.1312098171533969,0.10938372865830717,True,True
106::CEBPB+CEBPE,106,CEBPB+CEBPE,0.1420290059767849,0.1227810532855789,0.2503335011606684,0.14914777259070824,True,False
106::PTPN9+UBASH3B,106,PTPN9+UBASH3B,0.0642482789297026,0.1326799381757949,0.05944429466545279,0.0914117899323067,True,True
106::ETS2+IGDCC3,106,ETS2+IGDCC3,0.0679501061799669,0.1228085929652668,0.02963794130948642,0.15355292999904757,True,True
106::CBFA2T3+POU3F2,106,CBFA2T3+POU3F2,0.0874243004733135,0.1634248846652465,0.1329142671406607,0.16019874800962325,True,True
106::DLX2+ZBTB10,106,DLX2+ZBTB10,0.2302412416290935,0.1586931879046904,0.38037444616862315,0.4679945890327495,True,False
106::SNAI1+UBASH3B,106,SNAI1+UBASH3B,0.0899750703284397,0.1287578742966372,0.0669743189681173,0.12297967996172143,True,True
107::ETS2+PRTG,107,ETS2+PRTG,0.085714525814101,0.1248801176099502,0.08934632537907095,0.21146098461745572,True,True
107::DUSP9+SNAI1,107,DUSP9+SNAI1,0.170224590560306,0.1222828872241707,1.0916474782720509,1.1370493335559324,True,False
107::ETS2+IGDCC3,107,ETS2+IGDCC3,0.0802806726638189,0.1248801176099502,0.07095595583729992,0.15882318668203083,True,True
107::TBX2+TBX3,107,TBX2+TBX3,0.1488002905810904,0.1612597397033713,0.18327844060063217,0.20239663434132188,True,False
107::PTPN12+PTPN9,107,PTPN12+PTPN9,0.0566430112300696,0.1313547317268255,0.04561611926827448,0.0869265058987938,True,True
107::CEBPE+KLF1,107,CEBPE+KLF1,0.1434793870581689,0.1149485614573661,0.17471208040096736,0.27939735998544646,True,False
107::KLF1+TGFBR2,107,KLF1+TGFBR2,0.0584983052025778,0.1122772989057754,0.043654171804693415,0.034145815998757725,True,True
107::DLX2+ZBTB10,107,DLX2+ZBTB10,0.1900298752436258,0.1496960887777931,0.3338360739190324,0.3540935026499623,True,False
107::ETS2+MAP7D1,107,ETS2+MAP7D1,0.1222009257316519,0.1398621807253566,0.11739582539289548,0.15505181895239953,True,False
108::FOSB+UBASH3B,108,FOSB+UBASH3B,0.0477436796981734,0.1307563687394036,0.12018480109001228,0.3029041947259976,True,True
108::DUSP9+PRTG,108,DUSP9+PRTG,0.0841378414672143,0.1375050285972404,0.11543129041073327,0.32216691414326465,True,True
108::CEBPE+ZC3HAV1,108,CEBPE+ZC3HAV1,0.064056988129748,0.1408465797044818,0.14689126543340186,0.1800884903324358,True,True
108::PTPN12+PTPN9,108,PTPN12+PTPN9,0.0475747949836181,0.1402249191778931,0.03101795539708362,0.09319869292588709,True,True
108::FOXF1+HOXB9,108,FOXF1+HOXB9,0.0676392943928152,0.1689389509377962,0.08403345975392199,0.0866817456790415,True,True
109::DUSP9+PRTG,109,DUSP9+PRTG,0.1099480054447683,0.1331623142660397,0.14570984542424414,0.283779690088762,True,False
