dataset,seed,training_single_loo_rows,wmse_gain_lower95_one_sided,weighted_r2_delta_lower95_one_sided,shadow_active,original_active,concordant
Norman,1,72,0.022284873325629402,0.022184398482102217,True,True,True
Norman,2,72,0.005962749289534934,0.005868162268017358,True,True,True
Norman,3,72,0.019274676476195365,0.014414362457103654,True,True,True
Wessels,1,10,-0.0033605356632266485,-0.0033695231277109296,False,False,True
Wessels,2,11,-0.004189209379480763,-0.004192167915843328,False,False,True
Wessels,3,10,-0.004596820047978529,-0.005816725681775572,False,False,True
Schmidt,1,28,-0.06961838575528673,-0.0018755837959142964,False,True,False
Schmidt,2,28,-0.02550585756973643,0.0038599657814313293,False,True,False
Schmidt,3,28,-0.046621288494407255,-0.0035614255556819683,False,False,True
Replogle_exp6,1,24,0.07095393307395505,0.06883783948392987,True,True,True
Replogle_exp6,2,24,0.018263168078729727,0.03027089117354613,True,True,True
Replogle_exp6,3,24,0.08090679557270429,0.07516194892518016,True,True,True
