dataset,seed,condition,base_wmse,final_wmse,wmse_gain,base_weighted_r2,final_weighted_r2,weighted_r2_delta,weight_sum
Norman,1,AHR,0.0441874279049172,0.04279187594685338,0.03158255694508347,-0.4403691887859438,-0.39487864685916807,0.04549054192677571,24.42176080750518
Norman,1,ARRDC3,0.0032136388031876496,0.0032267413371916045,-0.004077164487483247,-0.15328084874629333,-0.15798296446689641,-0.004702115720603084,126.37862418341763
Norman,1,ATL1,0.053894479655489824,0.05387084679683527,0.00043850239960792597,0.18181250334436183,0.18217128052497455,0.0003587771806127238,45.38158609316953
Norman,1,BAK1,0.02130969470539801,0.021605369841164998,-0.01387514649339807,0.14635580590920516,0.13451136766295657,-0.01184443824624859,17.36827399054718
Norman,1,BPGM,0.1047423194997851,0.10472276856580895,0.0001866574472431231,-0.07692331282035325,-0.07672229706390543,0.00020101575644781988,29.708996215220147
Norman,1,CDKN1A,0.017241773802069975,0.017360884377740304,-0.006908255324404592,0.5270458363220412,0.5237785482026136,-0.0032672881194275583,23.235025708450372
Norman,1,CEBPA,0.28539630559482587,0.2854359016815964,-0.0001387407124559084,-0.006256514313048189,-0.006396123058757253,-0.00013960874570906334,93.1465338703919
Norman,1,CEBPB,0.07697496146959991,0.07699492126892075,-0.00025930249187235246,0.14780933935431173,0.1475883641924559,-0.00022097516185581867,67.41213506646986
Norman,1,CITED1,0.01342562750547963,0.013490037674302782,-0.004797553693252973,0.16750907563749418,0.1635151557287191,-0.003993919908775068,61.346864370910545
Norman,1,CLDN6,0.11195609487090538,0.11850770587142068,-0.05851946701133014,0.3879861960746638,0.3521714744653762,-0.03581472160928756,12.949962535420635
Norman,1,COL1A1,0.13036185396392155,0.14222412685643415,-0.0909949692476417,0.3326601980624173,0.2719356333073797,-0.060724564755037624,19.080345228025696
Norman,1,COL2A1,0.19326718105483298,0.1634451738489742,0.15430455933124934,0.24154770913275792,0.3585803556488042,0.11703264651604628,14.076471590793162
Norman,1,CSRNP1,0.033290381135645516,0.033010870843255956,0.008396127735836473,-0.2305259792264036,-0.2201943259225536,0.010331653303849997,66.5404154820314
Norman,1,EGR1,0.009033457801820133,0.00919836838193944,-0.01825553223773072,-0.0786408564697596,-0.09833201939797687,-0.019691162928217265,77.88491390552846
Norman,1,FOSB,0.04971498689496239,0.049578320820049586,0.0027489914701486935,-0.13972080355708272,-0.13658772078975345,0.003133082767329265,63.04927396220756
Norman,1,FOXA1,0.01644698874969177,0.01562850890618228,0.04976472325518113,-0.09951605204149994,-0.044798939997025444,0.05471711204447449,49.42366901015603
Norman,1,FOXA3,0.00907488725447645,0.00872118241771512,0.03897622381885296,0.13759746611854662,0.17121066030105614,0.03361319418250952,39.940085606106194
Norman,1,FOXF1,0.008625392920680536,0.0075946652012229224,0.11949921921658847,0.18713697260062256,0.2842734697048803,0.09713649710425776,54.70277994813752
Norman,1,FOXL2,0.020047503737898386,0.02016997106565624,-0.006108856711488593,0.48345039674531076,0.4802948692346516,-0.003155527510659173,24.31863280734212
Norman,1,FOXO4,0.020228639336157647,0.02025570481714977,-0.0013379783257960502,0.14372404716573017,0.14257836849993732,-0.0011456786657928486,50.6450153442658
Norman,1,GLB1L2,0.23296647622113173,0.2323793454231731,0.002520237278265438,-0.5970228316202637,-0.5929979551457734,0.0040248764744903465,8.11385944759547
Norman,1,HK2,0.006105999068637067,0.006917303059449544,-0.13286998273217382,0.7921569341207567,0.7645408295463796,-0.02761610457437713,14.217810307348838
Norman,1,HNF4A,0.04343318915647404,0.04237027307671774,0.024472439173807717,-0.0061493320292764775,0.018473596298577144,0.02462292832785362,99.78895200612152
