dataset,seed,condition,evaluable,mean_negative__wmse,mean_negative__weighted_r2_deltapert,mean_negative__mse,mean_negative__r2_deltapert,mean_negative__pearson_deltactrl,control_negative__wmse,control_negative__weighted_r2_deltapert,control_negative__mse,control_negative__r2_deltapert,control_negative__pearson_deltactrl,technical_duplicate__wmse,technical_duplicate__weighted_r2_deltapert,technical_duplicate__mse,technical_duplicate__r2_deltapert,technical_duplicate__pearson_deltactrl,interpolated_duplicate__wmse,interpolated_duplicate__weighted_r2_deltapert,interpolated_duplicate__mse,interpolated_duplicate__r2_deltapert,interpolated_duplicate__pearson_deltactrl,drf__mean_negative__technical_duplicate__wmse,drf__mean_negative__interpolated_duplicate__wmse,drf__mean_negative__technical_duplicate__weighted_r2_deltapert,drf__mean_negative__interpolated_duplicate__weighted_r2_deltapert,drf__mean_negative__technical_duplicate__mse,drf__mean_negative__interpolated_duplicate__mse,drf__mean_negative__technical_duplicate__r2_deltapert,drf__mean_negative__interpolated_duplicate__r2_deltapert,drf__control_negative__technical_duplicate__pearson_deltactrl,drf__control_negative__interpolated_duplicate__pearson_deltactrl
Norman,1,AHR+FEV,True,0.24455434933739353,-0.19850541843577152,0.009576594929942856,-0.03516723938391886,0.6123231877638199,0.28683414666282936,-0.40570911905363194,0.013284510470155728,-0.43596864340172403,,0.0038690165909133906,0.9810388269078371,0.0016094020642673575,0.8260341693353462,0.9398727576865965,0.004811575440354926,0.9764195596925492,0.001669813487789005,0.8195040898058646,0.9345775696654111,0.9841752936445718,0.9803211197244538,0.9841784968353265,0.9803243103710468,0.831857363351974,0.825549785722774,0.8319434232563103,0.8256351930759022,,
Norman,1,AHR+KLF1,True,0.12791203342782742,-0.2749871389885967,0.004295338699808484,-0.003621947922405999,0.12377710899063935,0.1244188529228206,-0.24016820836341535,0.0036343458020134285,0.15082151416767953,,0.0013343060505777615,0.9867000546518463,0.0005135098059971137,0.8800165137629172,0.9311843442415373,0.0020025104799849093,0.9800396019103923,0.000659265280619802,0.8459602021226502,0.9079069368112742,0.9895608288319486,0.984336932474396,0.9895677889531547,0.9843438558530887,0.8802445891847286,0.8463190807909919,0.880448642106618,0.8465152693088289,,
Norman,1,BAK1+BCL2L11,True,0.018350112711949713,-0.036407054807596095,0.002301665597936046,-0.004425188699208604,-0.15758392858630604,0.003617863255297932,0.7956645247918177,0.0007852096042630987,0.6573419241971448,,0.002947824067734247,0.8335080711443332,0.0011591460726588724,0.494159571310287,0.26197774511678723,0.010901158052117093,0.38430693652200665,0.0018594691146740937,0.18854519176822127,-0.06943769114156853,0.8393108846302242,0.40591296978858815,0.839355813491265,0.4059346985755588,0.4961725776861612,0.1920367784442116,0.49638765458235656,0.19212002100158096,,
Norman,1,BAK1+KLF1,True,0.11508058762509607,-0.17203062516609746,0.0037480491450239003,-0.0007829503046519193,0.019230122019232115,0.10149748709966076,-0.033694437203773964,0.002612952763767367,0.3023040854729442,,0.001284617961598275,0.986916893424836,0.0005550512919004679,0.8517933335489878,0.8973709099680033,0.002187064934383953,0.9777259819816397,0.0007659017441018773,0.7954932346275658,0.8560468296959209,0.9888286389844876,0.9809868374295282,0.9888363877780946,0.9809945247721422,0.8516820477964359,0.7954409999880148,0.851908429980421,0.7956524329649979,,
Norman,1,BCL2L11+TGFBR2,True,0.013881439579136515,-0.020667439575761115,0.001323164939400306,-0.00535511465199523,0.3231768728822224,0.007558876980347778,0.44421473222450614,0.0007136038284152543,0.4577960484218414,,0.0011841240767490983,0.9129343262515793,0.0005563183679429625,0.5773032522764723,0.6010167985569631,0.0026145137766527397,0.8077613588317978,0.0006516507926252554,0.5048686389546004,0.5274286985304182,0.9146314255507235,0.8115955224049012,0.9146964181780621,0.8116531934228257,0.5791171089340551,0.5071227358422351,0.5795542081426094,0.5075054959835898,,
Norman,1,CBFA2T3+FEV,True,0.31032470579756,-0.08819326505252101,0.017118582404000653,-0.03674166531081169,0.6072178950865755,0.35228400593519826,-0.23532891672016953,0.022213649483329902,-0.3453109267152852,,0.013029470515297594,0.9543104954357176,0.003535444173968191,0.7858851747165355,0.9148350963435498,0.01775477111580051,0.9377406246108972,0.004472436059205921,0.7291387394943609,0.8975205640981909,0.958010341161367,0.9427834343591781,0.9580125479138808,0.9427856060368984,0.7934269603946785,0.7386947909336544,0.7934725439130323,0.7387372300102693,,
Norman,1,CBL+PTPN9,True,0.038158948750123496,-0.00021846337640751834,0.002533725092080299,-0.021224963593396318,0.6392670227949422,0.05376619876936708,-0.40931410524019696,0.004149039568878863,-0.6722819677319571,,0.0033461636009504306,0.9122907017940878,0.0010200055910675866,0.5888839022595729,0.911695222213527,0.004689617709107673,0.8770762200619774,0.0010028778555204794,0.5957872838321061,0.8889727082194417,0.9122859513552256,0.8770800836284536,0.9123089467687108,0.8771021916299554,0.597192770822485,0.6039500067849263,0.5974278833512753,0.6041877796118856,,
Norman,1,CBL+TGFBR2,True,0.05468076535095204,-0.00019422659211554283,0.0027636933507940204,-0.019166752354580652,0.473774786110672,0.06774494957576435,-0.23915799297190632,0.0034578475541003407,-0.27514988623364434,,0.003775543562600084,0.9309395753822622,0.0013275983275020465,0.5104217783485644,0.8236103141560338,0.00979790054284509,0.8207815217511986,0.0016457565487061202,0.3930946222998277,0.7473377403792942,0.9309359612228698,0.8208013131991087,0.9309520553771836,0.8208155033298434,0.5194409799117602,0.40436195275213016,0.5196284217977247,0.4045078680148209,,
Norman,1,CBL+UBASH3A,True,0.02475919117575806,-0.031768996268219496,0.004092630165503897,-0.015211304165162476,0.5521169592624976,0.03215387331371082,-0.3399213794796818,0.005754676929461144,-0.4274959706475483,,0.013638812842971528,0.4316411979135668,0.0046738047292061635,-0.15937653847754585,0.6056557278866495,0.02456828193115329,-0.023813395526421477,0.004068486098376026,-0.009222165424179085,0.5564859719185778,0.4491232823627853,0.007710329990976941,0.449140986710102,0.007710633930597336,-0.1419704614744376,0.005897960038336598,-0.14200501089369133,0.005899395344610631,,
Norman,1,CBL+UBASH3B,True,0.1600459357911826,-0.017642827834236208,0.005546501150009076,-0.01289002993570465,0.6878890653310336,0.22198981224898734,-0.41150938429450945,0.008764548522955504,-0.6005628730059505,,0.002301744621578329,0.9853644899254964,0.0007513413839124554,0.8627916633819186,0.956135091315579,0.0033459113120076363,0.9787252164048916,0.0009367876675383973,0.8289258646210118,0.9475077672014949,0.9856120667965628,0.9790879388258051,0.9856172565742837,0.9790930942504827,0.864381932771438,0.8309531368845479,0.8645369219759099,0.8311021320922869,,
