dataset,seed,condition,control,nir
Norman,1,AHR+FEV,mean_negative,0.09782608695652174
Norman,1,AHR+KLF1,mean_negative,0.391304347826087
Norman,1,BAK1+BCL2L11,mean_negative,0.717391304347826
Norman,1,BAK1+KLF1,mean_negative,0.4673913043478261
Norman,1,BCL2L11+TGFBR2,mean_negative,0.9565217391304348
Norman,1,CBFA2T3+FEV,mean_negative,0.043478260869565216
Norman,1,CBL+PTPN9,mean_negative,0.6739130434782609
Norman,1,CBL+TGFBR2,mean_negative,0.6304347826086957
Norman,1,CBL+UBASH3A,mean_negative,0.40217391304347827
Norman,1,CBL+UBASH3B,mean_negative,0.2826086956521739
Norman,1,CDKN1A+CDKN1B,mean_negative,0.5543478260869565
Norman,1,CDKN1A+CDKN1C,mean_negative,0.5
Norman,1,CEBPA+KLF1,mean_negative,0.06521739130434782
Norman,1,CEBPB+PTPN12,mean_negative,0.8043478260869565
Norman,1,CEBPE+CNN1,mean_negative,0.7065217391304348
Norman,1,CEBPE+ETS2,mean_negative,0.25
Norman,1,CEBPE+KLF1,mean_negative,0.6195652173913043
Norman,1,CEBPE+PTPN12,mean_negative,0.8695652173913043
Norman,1,CEBPE+RUNX1T1,mean_negative,0.6956521739130435
Norman,1,CEBPE+SET,mean_negative,0.5869565217391305
Norman,1,CLDN6+KLF1,mean_negative,0.2717391304347826
Norman,1,CNN1+MAPK1,mean_negative,0.7608695652173914
Norman,1,CNN1+UBASH3A,mean_negative,0.1956521739130435
Norman,1,CNN1+UBASH3B,mean_negative,0.15217391304347827
Norman,1,COL2A1+KLF1,mean_negative,0.29347826086956524
Norman,1,DLX2+SNAI1,mean_negative,0.14130434782608695
Norman,1,DLX2+ZBTB10,mean_negative,0.03260869565217391
Norman,1,DUSP9+ETS2,mean_negative,0.6847826086956522
Norman,1,DUSP9+KLF1,mean_negative,0.17391304347826086
Norman,1,ETS2+IGDCC3,mean_negative,0.9021739130434783
Norman,1,ETS2+IKZF3,mean_negative,0.21739130434782608
Norman,1,ETS2+MAP7D1,mean_negative,0.42391304347826086
Norman,1,ETS2+MAPK1,mean_negative,0.11956521739130435
Norman,1,ETS2+PRTG,mean_negative,0.8260869565217391
Norman,1,ETS2+TGFBR2,mean_negative,0.7282608695652174
Norman,1,FEV+ISL2,mean_negative,0.10869565217391304
Norman,1,FEV+MAP7D1,mean_negative,0.18478260869565216
Norman,1,FOSB+PTPN12,mean_negative,0.8804347826086957
Norman,1,FOXA1+KLF1,mean_negative,0.5434782608695652
Norman,1,IRF1+SET,mean_negative,0.13043478260869565
Norman,1,KLF1+MAP2K6,mean_negative,0.358695652173913
Norman,1,KLF1+TGFBR2,mean_negative,0.532608695652174
Norman,1,OSR2+PTPN12,mean_negative,0.8478260869565217
Norman,1,PTPN12+PTPN9,mean_negative,0.4782608695652174
Norman,1,PTPN12+SAMD1,mean_negative,0.41304347826086957
Norman,1,PTPN12+SNAI1,mean_negative,0.7717391304347826
Norman,1,PTPN12+UBASH3A,mean_negative,0.31521739130434784
Norman,1,PTPN12+UBASH3B,mean_negative,0.32608695652173914
Norman,1,PTPN12+ZBTB10,mean_negative,0.5217391304347826
Norman,1,PTPN12+ZBTB25,mean_negative,0.3695652173913043
Norman,1,RHOXF2+SET,mean_negative,0.20652173913043478
