dataset,seed,condition,control,nir
Replogle_exp6,1,AHCYL1+FDPS,mean_negative,0.4634146341463415
Replogle_exp6,1,ATM+FDPS,mean_negative,0.21951219512195122
Replogle_exp6,1,ATR+FDPS,mean_negative,0.4146341463414634
Replogle_exp6,1,ETAA1+FDPS,mean_negative,0.5853658536585366
Replogle_exp6,1,ETAA1+TOPBP1,mean_negative,0.6097560975609756
Replogle_exp6,1,FDPS+IDI1,mean_negative,0.4878048780487805
Replogle_exp6,1,FDPS+LIG4,mean_negative,0.34146341463414637
Replogle_exp6,1,FDPS+MVD,mean_negative,0.0975609756097561
Replogle_exp6,1,FDPS+NHEJ1,mean_negative,0.3902439024390244
Replogle_exp6,1,FDPS+PMVK,mean_negative,0.6341463414634146
Replogle_exp6,1,FDPS+PRKDC,mean_negative,0.2682926829268293
Replogle_exp6,1,FDPS+RAD1,mean_negative,0.5365853658536586
Replogle_exp6,1,FDPS+RAD9A,mean_negative,0.43902439024390244
Replogle_exp6,1,FDPS+RAD17,mean_negative,0.6829268292682927
Replogle_exp6,1,FDPS+RRM1,mean_negative,0.7073170731707317
Replogle_exp6,1,FDPS+RRM2B,mean_negative,0.3170731707317073
Replogle_exp6,1,FDPS+SQLE,mean_negative,0.17073170731707318
Replogle_exp6,1,FDPS+SREBF1,mean_negative,0.5609756097560976
Replogle_exp6,1,FDPS+SREBF2,mean_negative,0.7804878048780488
Replogle_exp6,1,FDPS+XRCC5,mean_negative,0.07317073170731707
Replogle_exp6,1,FDPS+XRCC6,mean_negative,0.04878048780487805
Replogle_exp6,1,HMGCR+SREBF1,mean_negative,0.36585365853658536
Replogle_exp6,1,HMGCR+SREBF2,mean_negative,0.8536585365853658
Replogle_exp6,1,HUS1+IDI1,mean_negative,0.6585365853658537
Replogle_exp6,1,HUS1+MVD,mean_negative,0.14634146341463414
Replogle_exp6,1,HUS1+PMVK,mean_negative,0.926829268292683
Replogle_exp6,1,HUS1+RRM1,mean_negative,0.7560975609756098
Replogle_exp6,1,HUS1+SQLE,mean_negative,0.1951219512195122
Replogle_exp6,1,HUS1+SREBF1,mean_negative,0.24390243902439024
Replogle_exp6,1,HUS1+SREBF2,mean_negative,0.9024390243902439
Replogle_exp6,1,CHEK1,mean_negative,0.2926829268292683
Replogle_exp6,1,FDPS,mean_negative,0.8048780487804879
Replogle_exp6,1,HMGCR,mean_negative,0.8780487804878049
