dataset,seed,condition,control,nir
Schmidt,1,CBY1+LCP2,mean_negative,0.3333333333333333
Schmidt,1,CBY1+PRKD2,mean_negative,0.43333333333333335
Schmidt,1,CBY1+TRIM21,mean_negative,0.13333333333333333
Schmidt,1,EMP3+JMJD1C,mean_negative,0.23333333333333334
Schmidt,1,EMP3+LCP2,mean_negative,0.2
Schmidt,1,EMP3+MAP4K1,mean_negative,0.03333333333333333
Schmidt,1,EMP3+PRKD2,mean_negative,0.5666666666666667
Schmidt,1,EMP3+TBX21,mean_negative,0.06666666666666667
Schmidt,1,EMP3+TNFRSF1A,mean_negative,0.36666666666666664
Schmidt,1,EMP3+TNFRSF1B,mean_negative,0.7
Schmidt,1,EMP3+VAV1,mean_negative,0.0
Schmidt,1,JMJD1C+TRAF3IP2,mean_negative,0.16666666666666666
Schmidt,1,PRKD2+TRAF3IP2,mean_negative,0.26666666666666666
Schmidt,1,TNFRSF1A+TRAF3IP2,mean_negative,0.6333333333333333
Schmidt,1,TNFRSF1B+TRAF3IP2,mean_negative,0.6
Schmidt,1,TNFRSF12A+TRAF3IP2,mean_negative,0.1
Schmidt,1,TRAF3IP2+TRIM21,mean_negative,0.5333333333333333
Schmidt,1,TRAF3IP2+VAV1,mean_negative,0.4666666666666667
Schmidt,1,MGST3+TRIM21,mean_negative,0.3
Schmidt,1,PRKD2+TNFRSF1B,mean_negative,0.4
Schmidt,1,ABCB10,mean_negative,0.9
Schmidt,1,CBY1,mean_negative,1.0
Schmidt,1,EMP3,mean_negative,0.9666666666666667
Schmidt,1,EOMES,mean_negative,0.7333333333333333
Schmidt,1,FOSL1,mean_negative,0.8333333333333334
Schmidt,1,FOXD2,mean_negative,0.8
Schmidt,1,IKZF3,mean_negative,0.8666666666666667
Schmidt,1,INPPL1,mean_negative,0.7666666666666667
Schmidt,1,TRAF3IP2,mean_negative,0.9333333333333333
Schmidt,1,CBY1+EMP3,mean_negative,0.6666666666666666
Schmidt,1,EMP3+TRAF3IP2,mean_negative,0.5
Schmidt,1,CBY1+LCP2,control_negative,0.43333333333333335
Schmidt,1,CBY1+PRKD2,control_negative,0.5666666666666667
Schmidt,1,CBY1+TRIM21,control_negative,0.23333333333333334
Schmidt,1,EMP3+JMJD1C,control_negative,0.36666666666666664
Schmidt,1,EMP3+LCP2,control_negative,0.2
Schmidt,1,EMP3+MAP4K1,control_negative,0.1
Schmidt,1,EMP3+PRKD2,control_negative,0.6666666666666666
Schmidt,1,EMP3+TBX21,control_negative,0.03333333333333333
Schmidt,1,EMP3+TNFRSF1A,control_negative,0.13333333333333333
Schmidt,1,EMP3+TNFRSF1B,control_negative,0.6
Schmidt,1,EMP3+VAV1,control_negative,0.0
Schmidt,1,JMJD1C+TRAF3IP2,control_negative,0.26666666666666666
Schmidt,1,PRKD2+TRAF3IP2,control_negative,0.3
Schmidt,1,TNFRSF1A+TRAF3IP2,control_negative,0.4666666666666667
Schmidt,1,TNFRSF1B+TRAF3IP2,control_negative,0.4
Schmidt,1,TNFRSF12A+TRAF3IP2,control_negative,0.06666666666666667
Schmidt,1,TRAF3IP2+TRIM21,control_negative,0.6333333333333333
Schmidt,1,TRAF3IP2+VAV1,control_negative,0.3333333333333333
Schmidt,1,MGST3+TRIM21,control_negative,0.5
Schmidt,1,PRKD2+TNFRSF1B,control_negative,0.16666666666666666
Schmidt,1,ABCB10,control_negative,0.9
Schmidt,1,CBY1,control_negative,1.0
Schmidt,1,EMP3,control_negative,0.9666666666666667
Schmidt,1,EOMES,control_negative,0.7333333333333333
Schmidt,1,FOSL1,control_negative,0.8
Schmidt,1,FOXD2,control_negative,0.7666666666666667
Schmidt,1,IKZF3,control_negative,0.8666666666666667
