dataset,seed,condition,control,nir
Wessels,1,DOT1L+GFI1,mean_negative,0.46875
Wessels,1,DOT1L+IKZF1,mean_negative,0.90625
Wessels,1,DOT1L+INTS1,mean_negative,0.71875
Wessels,1,EP300+GFI1,mean_negative,0.609375
Wessels,1,EP300+IKZF1,mean_negative,0.453125
Wessels,1,EP300+INTS1,mean_negative,0.3125
Wessels,1,FLI1+GFI1,mean_negative,0.125
Wessels,1,FLI1+IKZF1,mean_negative,0.4375
Wessels,1,FLI1+INTS1,mean_negative,0.796875
Wessels,1,GATA2+GFI1,mean_negative,0.21875
Wessels,1,GATA2+IKZF1,mean_negative,1.0
Wessels,1,GATA2+INTS1,mean_negative,0.8125
Wessels,1,GFI1+GSE1,mean_negative,0.078125
Wessels,1,GFI1+HDAC3,mean_negative,0.03125
Wessels,1,GFI1+KDM1A,mean_negative,0.0
Wessels,1,GFI1+MED24,mean_negative,0.5
Wessels,1,GFI1+RCOR1,mean_negative,0.34375
Wessels,1,GFI1+RING1,mean_negative,0.578125
Wessels,1,GFI1+SMARCD1,mean_negative,0.703125
Wessels,1,GSE1+IKZF1,mean_negative,0.546875
Wessels,1,GSE1+INTS1,mean_negative,0.515625
Wessels,1,HDAC3+IKZF1,mean_negative,0.265625
Wessels,1,HDAC3+INTS1,mean_negative,0.421875
Wessels,1,IKZF1+KDM1A,mean_negative,0.296875
Wessels,1,IKZF1+MED24,mean_negative,0.484375
Wessels,1,IKZF1+RCOR1,mean_negative,0.671875
Wessels,1,IKZF1+SMARCD1,mean_negative,0.921875
Wessels,1,INTS1+KDM1A,mean_negative,0.109375
Wessels,1,INTS1+MED24,mean_negative,0.359375
Wessels,1,INTS1+MYB,mean_negative,0.140625
Wessels,1,INTS1+RCOR1,mean_negative,0.859375
Wessels,1,INTS1+RING1,mean_negative,0.625
Wessels,1,INTS1+SMARCD1,mean_negative,0.890625
Wessels,1,INTS1+SSRP1,mean_negative,0.9375
Wessels,1,MED13L+MED16,mean_negative,0.78125
Wessels,1,MED13L+MED19,mean_negative,0.15625
Wessels,1,MED13L+MED22,mean_negative,0.5625
Wessels,1,MED13L+MED24,mean_negative,0.171875
Wessels,1,MED14+MED19,mean_negative,0.015625
Wessels,1,MED14+MED22,mean_negative,0.09375
Wessels,1,MED14+MED24,mean_negative,0.203125
Wessels,1,SUPT5H+SUPT6H,mean_negative,0.96875
Wessels,1,SUPT16H+SUPT5H,mean_negative,0.875
Wessels,1,DOT1L+EP300,mean_negative,0.75
Wessels,1,DOT1L+FLI1,mean_negative,0.828125
Wessels,1,DOT1L+KDM1A,mean_negative,0.0625
Wessels,1,DOT1L+MED24,mean_negative,0.65625
