dataset,seed,condition,evaluable
Norman,1,AHR+FEV,True
Norman,1,AHR+KLF1,True
Norman,1,BAK1+BCL2L11,True
Norman,1,BAK1+KLF1,True
Norman,1,BCL2L11+TGFBR2,True
Norman,1,CBFA2T3+FEV,True
Norman,1,CBL+PTPN9,True
Norman,1,CBL+TGFBR2,True
Norman,1,CBL+UBASH3A,True
Norman,1,CBL+UBASH3B,True
Norman,1,CDKN1A+CDKN1B,True
Norman,1,CDKN1A+CDKN1C,True
Norman,1,CEBPA+KLF1,True
Norman,1,CEBPB+PTPN12,True
Norman,1,CEBPE+CNN1,True
Norman,1,CEBPE+ETS2,True
Norman,1,CEBPE+KLF1,True
Norman,1,CEBPE+PTPN12,True
Norman,1,CEBPE+RUNX1T1,True
Norman,1,CEBPE+SET,True
Norman,1,CLDN6+KLF1,True
Norman,1,CNN1+MAPK1,True
Norman,1,CNN1+UBASH3A,True
Norman,1,CNN1+UBASH3B,True
Norman,1,COL2A1+KLF1,True
Norman,1,DLX2+SNAI1,True
Norman,1,DLX2+ZBTB10,True
Norman,1,DUSP9+ETS2,True
Norman,1,DUSP9+KLF1,True
Norman,1,ETS2+IGDCC3,True
Norman,1,ETS2+IKZF3,True
Norman,1,ETS2+MAP7D1,True
Norman,1,ETS2+MAPK1,True
Norman,1,ETS2+PRTG,True
Norman,1,ETS2+TGFBR2,True
Norman,1,FEV+ISL2,True
Norman,1,FEV+MAP7D1,True
Norman,1,FOSB+PTPN12,True
Norman,1,FOXA1+KLF1,True
Norman,1,IRF1+SET,True
Norman,1,KLF1+MAP2K6,True
Norman,1,KLF1+TGFBR2,True
Norman,1,OSR2+PTPN12,True
Norman,1,PTPN12+PTPN9,True
Norman,1,PTPN12+SAMD1,True
Norman,1,PTPN12+SNAI1,True
Norman,1,PTPN12+UBASH3A,True
Norman,1,PTPN12+UBASH3B,True
Norman,1,PTPN12+ZBTB10,True
Norman,1,PTPN12+ZBTB25,True
Norman,1,RHOXF2+SET,True
Norman,1,BAK1+TMSB4X,True
Norman,1,BPGM+SAMD1,True
Norman,1,CEBPA+CEBPB,True
Norman,1,CEBPA+CEBPE,True
Norman,1,CEBPA+JUN,True
Norman,1,CEBPB+CEBPE,True
Norman,1,CEBPB+LYL1,True
Norman,1,CEBPE+FOSB,True
Norman,1,CEBPE+SPI1,True
Norman,1,DUSP9+IGDCC3,True
Norman,1,DUSP9+PRTG,True
Norman,1,FOXA1+FOXA3,True
Norman,1,FOXL2+ZNF318,True
Norman,1,IKZF3+MAPK1,True
Norman,1,MAPK1+PRTG,True
Norman,1,UBASH3A+UBASH3B,True
Norman,1,UBASH3B+ZBTB25,True
Norman,1,ARID1A,True
Norman,1,BCL2L11,True
Norman,1,BCORL1,True
Norman,1,CBL,True
Norman,1,CDKN1B,True
Norman,1,CDKN1C,True
Norman,1,CELF2,True
Norman,1,CKS1B,True
Norman,1,CNN1,True
Norman,1,DLX2,True
Norman,1,ETS2,True
Norman,1,FEV,True
Norman,1,HES7,True
Norman,1,KLF1,True
Norman,1,NIT1,True
Norman,1,PTPN12,True
Norman,1,PTPN13,True
Norman,1,RREB1,True
Norman,1,RUNX1T1,True
Norman,1,SET,True
Norman,1,CBL+CNN1,True
Norman,1,CBL+PTPN12,True
Norman,1,CDKN1B+CDKN1C,True
Norman,1,CNN1+ETS2,True
Norman,1,KLF1+SET,True
Norman,2,BAK1+BCL2L11,True
Norman,2,BAK1+KLF1,True
Norman,2,BAK1+TMSB4X,True
Norman,2,BPGM+SAMD1,True
Norman,2,BPGM+ZBTB1,True
Norman,2,CBFA2T3+POU3F2,True
Norman,2,CBL+CNN1,True
Norman,2,CBL+UBASH3A,True
Norman,2,CEBPA+CEBPE,True
Norman,2,CEBPA+JUN,True
Norman,2,CEBPB+CEBPE,True
Norman,2,CEBPB+JUN,True
Norman,2,CEBPE+ETS2,True
Norman,2,CEBPE+FOSB,True
Norman,2,CEBPE+KLF1,True
Norman,2,CEBPE+PTPN12,True
Norman,2,CEBPE+RUNX1T1,True
Norman,2,CEBPE+SET,True
Norman,2,CEBPE+ZC3HAV1,True
Norman,2,CNN1+ETS2,True
Norman,2,CNN1+MAPK1,True
Norman,2,CNN1+UBASH3B,True
Norman,2,DUSP9+IGDCC3,True
Norman,2,ETS2+IGDCC3,True
Norman,2,FOXA1+FOXA3,True
Norman,2,FOXA1+FOXF1,True
Norman,2,FOXA1+HOXB9,True
Norman,2,FOXA1+KLF1,True
Norman,2,FOXA3+FOXL2,True
Norman,2,FOXF1+FOXL2,True
Norman,2,FOXL2+HOXB9,True
Norman,2,FOXL2+MEIS1,True
Norman,2,FOXL2+ZNF318,True
Norman,2,IGDCC3+MAPK1,True
Norman,2,IGDCC3+PRTG,True
Norman,2,IGDCC3+TGFBR2,True
Norman,2,IGDCC3+ZBTB25,True
Norman,2,KIF18B+KIF2C,True
Norman,2,MAP2K6+SPI1,True
Norman,2,PTPN12+UBASH3A,True
Norman,2,UBASH3A+UBASH3B,True
Norman,2,CBFA2T3+FEV,True
Norman,2,CBFA2T3+PRDM1,True
Norman,2,CBL+TGFBR2,True
Norman,2,CEBPB+FOSB,True
Norman,2,CLDN6+KLF1,True
Norman,2,DLX2+SNAI1,True
Norman,2,ETS2+MAPK1,True
Norman,2,FEV+ISL2,True
Norman,2,FOSB+OSR2,True
Norman,2,FOSB+PTPN12,True
Norman,2,FOSB+UBASH3B,True
Norman,2,FOXA3+FOXF1,True
Norman,2,FOXF1+HOXB9,True
Norman,2,HOXC13+ZC3HAV1,True
Norman,2,IRF1+SET,True
Norman,2,KLF1+SET,True
Norman,2,MAP2K3+MAP2K6,True
Norman,2,PTPN12+ZBTB10,True
Norman,2,SGK1+TBX2,True
Norman,2,SGK1+TBX3,True
Norman,2,BAK1,True
Norman,2,BPGM,True
Norman,2,CEBPE,True
Norman,2,CNN1,True
Norman,2,COL1A1,True
Norman,2,FOXA1,True
Norman,2,FOXL2,True
Norman,2,HES7,True
Norman,2,HNF4A,True
Norman,2,HOXA13,True
Norman,2,IGDCC3,True
Norman,2,JUN,True
Norman,2,KIF2C,True
Norman,2,NCL,True
Norman,2,POU3F2,True
Norman,2,PTPN13,True
Norman,2,RREB1,True
Norman,2,SLC4A1,True
Norman,2,SPI1,True
Norman,2,UBASH3A,True
Norman,2,CEBPE+CNN1,True
Norman,2,CEBPE+SPI1,True
Norman,2,CNN1+UBASH3A,True
Norman,2,FOXA1+FOXL2,True
Norman,2,FOXL2+POU3F2,True
Norman,3,AHR+FEV,True
Norman,3,AHR+KLF1,True
Norman,3,CBL+CNN1,True
Norman,3,CBL+UBASH3B,True
Norman,3,CDKN1A+CDKN1B,True
Norman,3,CDKN1A+CDKN1C,True
Norman,3,CEBPA+CEBPB,True
Norman,3,CEBPB+CEBPE,True
Norman,3,CEBPB+FOSB,True
Norman,3,CEBPB+JUN,True
Norman,3,CEBPB+LYL1,True
Norman,3,CEBPB+MAPK1,True
Norman,3,CEBPB+OSR2,True
Norman,3,CEBPB+PTPN12,True
Norman,3,CEBPE+CNN1,True
Norman,3,CLDN6+KLF1,True
Norman,3,CNN1+ETS2,True
Norman,3,CNN1+MAPK1,True
Norman,3,CNN1+UBASH3A,True
Norman,3,DUSP9+ETS2,True
Norman,3,DUSP9+IGDCC3,True
Norman,3,DUSP9+KLF1,True
Norman,3,DUSP9+MAPK1,True
Norman,3,DUSP9+PRTG,True
Norman,3,DUSP9+SNAI1,True
Norman,3,ETS2+IKZF3,True
Norman,3,FOSB+IKZF3,True
Norman,3,FOSB+UBASH3B,True
Norman,3,FOXA1+HOXB9,True
Norman,3,FOXA3+HOXB9,True
Norman,3,FOXF1+HOXB9,True
Norman,3,FOXL2+HOXB9,True
Norman,3,IKZF3+MAP2K3,True
Norman,3,IKZF3+MAPK1,True
Norman,3,KLF1+MAP2K6,True
Norman,3,MAP2K3+MAP2K6,True
Norman,3,MAP2K3+SLC38A2,True
Norman,3,MAP2K6+SPI1,True
Norman,3,OSR2+UBASH3B,True
Norman,3,PLK4+STIL,True
Norman,3,PTPN9+UBASH3B,True
Norman,3,PTPN12+UBASH3B,True
Norman,3,RHOXF2+SET,True
Norman,3,RHOXF2+ZBTB25,True
Norman,3,SAMD1+UBASH3B,True
Norman,3,SNAI1+UBASH3B,True
Norman,3,UBASH3A+UBASH3B,True
Norman,3,UBASH3B+ZBTB25,True
Norman,3,BAK1+BCL2L11,True
Norman,3,BCL2L11+TGFBR2,True
Norman,3,CBL+PTPN9,True
Norman,3,CEBPA+CEBPE,True
Norman,3,CEBPA+ZC3HAV1,True
Norman,3,CEBPE+FOSB,True
Norman,3,CEBPE+KLF1,True
Norman,3,CEBPE+PTPN12,True
Norman,3,CEBPE+SPI1,True
Norman,3,COL2A1+KLF1,True
Norman,3,ETS2+IGDCC3,True
Norman,3,ETS2+PRTG,True
Norman,3,FOXA1+FOXA3,True
Norman,3,FOXA1+FOXF1,True
Norman,3,FOXA1+KLF1,True
Norman,3,FOXF1+FOXL2,True
Norman,3,KLF1+TGFBR2,True
Norman,3,SAMD1+ZBTB1,True
Norman,3,SGK1+TBX3,True
Norman,3,AHR,True
Norman,3,ATL1,True
Norman,3,CDKN1A,True
Norman,3,CEBPB,True
Norman,3,CLDN6,True
Norman,3,CNN1,True
Norman,3,CNNM4,True
Norman,3,COL1A1,True
Norman,3,CSRNP1,True
Norman,3,DUSP9,True
Norman,3,HK2,True
Norman,3,HNF4A,True
Norman,3,HOXB9,True
Norman,3,IKZF3,True
Norman,3,MAP2K6,True
Norman,3,PLK4,True
Norman,3,PTPN13,True
Norman,3,RHOXF2,True
Norman,3,SLC38A2,True
Norman,3,UBASH3B,True
Norman,3,CNN1+UBASH3B,True
Norman,3,IKZF3+MAP2K6,True
Wessels,1,DOT1L+GFI1,True
Wessels,1,DOT1L+IKZF1,True
Wessels,1,DOT1L+INTS1,True
Wessels,1,EP300+GFI1,True
Wessels,1,EP300+IKZF1,True
Wessels,1,EP300+INTS1,True
Wessels,1,FLI1+GFI1,True
Wessels,1,FLI1+IKZF1,True
Wessels,1,FLI1+INTS1,True
Wessels,1,GATA2+GFI1,True
Wessels,1,GATA2+IKZF1,True
Wessels,1,GATA2+INTS1,True
Wessels,1,GFI1+GSE1,True
Wessels,1,GFI1+HDAC3,True
Wessels,1,GFI1+KDM1A,True
Wessels,1,GFI1+MED24,True
Wessels,1,GFI1+RCOR1,True
Wessels,1,GFI1+RING1,True
Wessels,1,GFI1+SMARCD1,True
Wessels,1,GSE1+IKZF1,True
Wessels,1,GSE1+INTS1,True
Wessels,1,HDAC3+IKZF1,True
Wessels,1,HDAC3+INTS1,True
Wessels,1,IKZF1+KDM1A,True
Wessels,1,IKZF1+MED24,True
Wessels,1,IKZF1+RCOR1,True
Wessels,1,IKZF1+SMARCD1,True
Wessels,1,INTS1+KDM1A,True
Wessels,1,INTS1+MED24,True
Wessels,1,INTS1+MYB,True
Wessels,1,INTS1+RCOR1,True
Wessels,1,INTS1+RING1,True
Wessels,1,INTS1+SMARCD1,True
Wessels,1,INTS1+SSRP1,True
Wessels,1,MED13L+MED16,True
Wessels,1,MED13L+MED19,True
Wessels,1,MED13L+MED22,True
Wessels,1,MED13L+MED24,True
Wessels,1,MED14+MED19,True
Wessels,1,MED14+MED22,True
Wessels,1,MED14+MED24,True
Wessels,1,SUPT5H+SUPT6H,True
Wessels,1,SUPT16H+SUPT5H,True
Wessels,1,DOT1L+EP300,True
Wessels,1,DOT1L+FLI1,True
Wessels,1,DOT1L+KDM1A,True
Wessels,1,DOT1L+MED24,True
Wessels,1,DOT1L+RCOR1,True
Wessels,1,DOT1L+SMARCD1,True
Wessels,1,EP300+GATA2,True
Wessels,1,EP300+GSE1,True
Wessels,1,EP300+MED24,True
Wessels,1,EP300+MYB,True
Wessels,1,EP300+SSRP1,True
Wessels,1,FLI1+MED24,True
Wessels,1,GATA2+SSRP1,True
Wessels,1,HDAC3+MED24,True
Wessels,1,KDM1A+RING1,True
Wessels,1,SMARCA5+SMARCD1,True
Wessels,1,SMARCD1+SSRP1,True
Wessels,1,GFI1,True
Wessels,1,INTS1,True
Wessels,1,GFI1+INTS1,True
Wessels,1,IKZF1+INTS1,True
Wessels,1,MED13L+MED14,True
Wessels,2,DOT1L+IKZF1,True
Wessels,2,DOT1L+RCOR1,True
Wessels,2,EP300+IKZF1,True
Wessels,2,EP300+RCOR1,True
Wessels,2,FLI1+IKZF1,True
Wessels,2,FLI1+RCOR1,True
Wessels,2,GATA2+IKZF1,True
Wessels,2,GATA2+RCOR1,True
Wessels,2,GFI1+RCOR1,True
Wessels,2,GSE1+IKZF1,True
Wessels,2,GSE1+RCOR1,True
Wessels,2,HDAC3+IKZF1,True
Wessels,2,IKZF1+INTS1,True
Wessels,2,IKZF1+KDM1A,True
Wessels,2,IKZF1+MED24,True
Wessels,2,IKZF1+SMARCD1,True
Wessels,2,INTS1+RCOR1,True
Wessels,2,KDM1A+RCOR1,True
Wessels,2,MED13L+MED14,True
Wessels,2,MED13L+MED19,True
Wessels,2,MED13L+MED24,True
Wessels,2,MED14+MED22,True
Wessels,2,MED16+MED19,True
Wessels,2,MED16+MED24,True
Wessels,2,MED19+MED22,True
Wessels,2,MED22+MED24,True
Wessels,2,MED24+RCOR1,True
Wessels,2,RCOR1+RING1,True
Wessels,2,RCOR1+SMARCD1,True
Wessels,2,SUPT5H+SUPT6H,True
Wessels,2,DOT1L+GSE1,True
Wessels,2,DOT1L+KDM1A,True
Wessels,2,EP300+HDAC3,True
Wessels,2,EP300+RING1,True
Wessels,2,EP300+SSRP1,True
Wessels,2,FLI1+SMARCD1,True
Wessels,2,GATA2+GSE1,True
Wessels,2,GATA2+KDM1A,True
Wessels,2,GATA2+MED24,True
Wessels,2,GATA2+RING1,True
Wessels,2,GATA2+SMARCD1,True
Wessels,2,GFI1+GSE1,True
Wessels,2,GFI1+HDAC3,True
Wessels,2,GFI1+RING1,True
Wessels,2,GSE1+HDAC3,True
Wessels,2,GSE1+KDM1A,True
Wessels,2,INTS1+RING1,True
Wessels,2,INTS1+SSRP1,True
Wessels,2,MED24+RING1,True
