dataset,seed,condition,subgroup,method,wmse,weighted_r2_deltapert,mse,r2_deltapert,pearson_deltactrl
Norman,1,AHR+FEV,combo_seen1,WitnessCell_v14,0.13386652446932895,0.3439505150558224,0.006215359054166496,0.32816036169969154,0.7472281662502499
Norman,1,AHR+FEV,combo_seen1,WitnessCell_v13,0.14035764366127162,0.31213901162382773,0.006262606714601301,0.32305319881168804,0.74444577521145
Norman,1,AHR+FEV,combo_seen1,trainMean,0.16108414929531417,0.21056310682007195,0.00617710589777858,0.3322952775633655,0.7419382178468378
Norman,1,AHR+FEV,combo_seen1,baseControl,0.28683414666282936,-0.40570911905363194,0.013284510470155728,-0.43596864340172403,
Norman,1,AHR+KLF1,combo_seen1,WitnessCell_v14,0.11482425341843948,-0.14453224164465817,0.006061786450071693,-0.41635906970080283,0.26819405997654594
Norman,1,AHR+KLF1,combo_seen1,WitnessCell_v13,0.1162741893009767,-0.15898474898937254,0.00608249977135875,-0.4211988146687575,0.26122835656663407
Norman,1,AHR+KLF1,combo_seen1,trainMean,0.12079408515593937,-0.20403765707168287,0.006189062296714376,-0.4460975471663162,0.26566168131083284
Norman,1,AHR+KLF1,combo_seen1,baseControl,0.1244188529228206,-0.24016820836341535,0.0036343458020134285,0.15082151416767953,
Norman,1,BAK1+BCL2L11,combo_seen1,WitnessCell_v14,0.011160956910503918,0.3696336005109573,0.0016584267541100142,0.2762781844006813,0.02822278227910436
Norman,1,BAK1+BCL2L11,combo_seen1,WitnessCell_v13,0.011006827600714562,0.3783387625187248,0.0016500677010954595,0.2799259964064825,0.023227936042713303
Norman,1,BAK1+BCL2L11,combo_seen1,trainMean,0.01278740871694042,0.2777722505042277,0.0017910499471908425,0.21840267205190445,-0.044588467888629274
Norman,1,BAK1+BCL2L11,combo_seen1,baseControl,0.003617863255297932,0.7956645247918177,0.0007852096042630987,0.6573419241971448,
Norman,1,BAK1+KLF1,combo_seen1,WitnessCell_v14,0.10487629707661113,-0.0681057037025472,0.003324338529894137,0.11235386916526979,0.10790988647981377
Norman,1,BAK1+KLF1,combo_seen1,WitnessCell_v13,0.10708904215172493,-0.09064125941388457,0.0033491053531915452,0.1057407716496831,0.0882866571063262
Norman,1,BAK1+KLF1,combo_seen1,trainMean,0.11274937274544114,-0.1482885215743126,0.0033024687475758474,0.11819341513282378,0.07619853903281316
Norman,1,BAK1+KLF1,combo_seen1,baseControl,0.10149748709966076,-0.033694437203773964,0.002612952763767367,0.3023040854729442,
Norman,1,BCL2L11+TGFBR2,combo_seen1,WitnessCell_v14,0.00573991073265996,0.5779587587080864,0.0008850483962170883,0.3275306007921649,0.58770840254821
Norman,1,BCL2L11+TGFBR2,combo_seen1,WitnessCell_v13,0.0055615625819476185,0.5910722509581432,0.0008834719817668526,0.3287283776400567,0.5833458664235732
Norman,1,BCL2L11+TGFBR2,combo_seen1,trainMean,0.009163640823720613,0.32622047134101095,0.0009500807600999068,0.27811830327683507,0.5130219464659677
Norman,1,BCL2L11+TGFBR2,combo_seen1,baseControl,0.007558876980347778,0.44421473222450614,0.0007136038284152543,0.4577960484218414,
Norman,1,CBFA2T3+FEV,combo_seen1,WitnessCell_v14,0.2351773158118665,0.17532066774422106,0.014342044972096946,0.13141198041845903,0.6455522786650091
Norman,1,CBFA2T3+FEV,combo_seen1,WitnessCell_v13,0.24434052202145262,0.14318871338392647,0.014403520483744367,0.1276888786558804,0.6426745708622597
