dataset,seed,condition,method,nir
Norman,1,AHR+FEV,WitnessCell_v14,0.31521739130434784
Norman,1,AHR+KLF1,WitnessCell_v14,0.32608695652173914
Norman,1,BAK1+BCL2L11,WitnessCell_v14,0.9021739130434783
Norman,1,BAK1+KLF1,WitnessCell_v14,0.6086956521739131
Norman,1,BCL2L11+TGFBR2,WitnessCell_v14,0.9782608695652174
Norman,1,CBFA2T3+FEV,WitnessCell_v14,0.03260869565217391
Norman,1,CBL+PTPN9,WitnessCell_v14,0.9891304347826086
Norman,1,CBL+TGFBR2,WitnessCell_v14,0.7391304347826086
Norman,1,CBL+UBASH3A,WitnessCell_v14,0.44565217391304346
Norman,1,CBL+UBASH3B,WitnessCell_v14,0.5217391304347826
Norman,1,CDKN1A+CDKN1B,WitnessCell_v14,1.0
Norman,1,CDKN1A+CDKN1C,WitnessCell_v14,0.9891304347826086
Norman,1,CEBPA+KLF1,WitnessCell_v14,0.9891304347826086
Norman,1,CEBPB+PTPN12,WitnessCell_v14,0.9891304347826086
Norman,1,CEBPE+CNN1,WitnessCell_v14,0.9021739130434783
Norman,1,CEBPE+ETS2,WitnessCell_v14,0.31521739130434784
Norman,1,CEBPE+KLF1,WitnessCell_v14,0.45652173913043476
Norman,1,CEBPE+PTPN12,WitnessCell_v14,0.9565217391304348
Norman,1,CEBPE+RUNX1T1,WitnessCell_v14,0.8043478260869565
Norman,1,CEBPE+SET,WitnessCell_v14,0.6195652173913043
Norman,1,CLDN6+KLF1,WitnessCell_v14,0.7608695652173914
Norman,1,CNN1+MAPK1,WitnessCell_v14,0.9891304347826086
Norman,1,CNN1+UBASH3A,WitnessCell_v14,0.2391304347826087
Norman,1,CNN1+UBASH3B,WitnessCell_v14,0.31521739130434784
Norman,1,COL2A1+KLF1,WitnessCell_v14,1.0
Norman,1,DLX2+SNAI1,WitnessCell_v14,0.1956521739130435
Norman,1,DLX2+ZBTB10,WitnessCell_v14,0.7934782608695652
Norman,1,DUSP9+ETS2,WitnessCell_v14,0.8369565217391305
Norman,1,DUSP9+KLF1,WitnessCell_v14,0.20652173913043478
Norman,1,ETS2+IGDCC3,WitnessCell_v14,0.967391304347826
Norman,1,ETS2+IKZF3,WitnessCell_v14,1.0
Norman,1,ETS2+MAP7D1,WitnessCell_v14,0.6630434782608695
Norman,1,ETS2+MAPK1,WitnessCell_v14,0.9565217391304348
Norman,1,ETS2+PRTG,WitnessCell_v14,1.0
Norman,1,ETS2+TGFBR2,WitnessCell_v14,0.6630434782608695
Norman,1,FEV+ISL2,WitnessCell_v14,0.16304347826086957
Norman,1,FEV+MAP7D1,WitnessCell_v14,0.33695652173913043
Norman,1,FOSB+PTPN12,WitnessCell_v14,0.8913043478260869
Norman,1,FOXA1+KLF1,WitnessCell_v14,0.717391304347826
Norman,1,IRF1+SET,WitnessCell_v14,1.0
Norman,1,KLF1+MAP2K6,WitnessCell_v14,0.6630434782608695
Norman,1,KLF1+TGFBR2,WitnessCell_v14,0.6304347826086957
Norman,1,OSR2+PTPN12,WitnessCell_v14,1.0
Norman,1,PTPN12+PTPN9,WitnessCell_v14,0.967391304347826
Norman,1,PTPN12+SAMD1,WitnessCell_v14,1.0
Norman,1,PTPN12+SNAI1,WitnessCell_v14,0.7608695652173914
Norman,1,PTPN12+UBASH3A,WitnessCell_v14,0.391304347826087
Norman,1,PTPN12+UBASH3B,WitnessCell_v14,0.7717391304347826
Norman,1,PTPN12+ZBTB10,WitnessCell_v14,1.0
Norman,1,PTPN12+ZBTB25,WitnessCell_v14,0.9130434782608695
Norman,1,RHOXF2+SET,WitnessCell_v14,0.8695652173913043
Norman,1,BAK1+TMSB4X,WitnessCell_v14,1.0
Norman,1,BPGM+SAMD1,WitnessCell_v14,1.0
Norman,1,CEBPA+CEBPB,WitnessCell_v14,0.9347826086956522
Norman,1,CEBPA+CEBPE,WitnessCell_v14,1.0
Norman,1,CEBPA+JUN,WitnessCell_v14,0.9456521739130435
Norman,1,CEBPB+CEBPE,WitnessCell_v14,1.0
Norman,1,CEBPB+LYL1,WitnessCell_v14,1.0
Norman,1,CEBPE+FOSB,WitnessCell_v14,0.6304347826086957
Norman,1,CEBPE+SPI1,WitnessCell_v14,0.5108695652173914
Norman,1,DUSP9+IGDCC3,WitnessCell_v14,0.7282608695652174
Norman,1,DUSP9+PRTG,WitnessCell_v14,0.6956521739130435
Norman,1,FOXA1+FOXA3,WitnessCell_v14,1.0
Norman,1,FOXL2+ZNF318,WitnessCell_v14,1.0
Norman,1,IKZF3+MAPK1,WitnessCell_v14,1.0
Norman,1,MAPK1+PRTG,WitnessCell_v14,1.0
Norman,1,UBASH3A+UBASH3B,WitnessCell_v14,1.0
Norman,1,UBASH3B+ZBTB25,WitnessCell_v14,1.0
Norman,1,ARID1A,WitnessCell_v14,0.5652173913043478
Norman,1,BCL2L11,WitnessCell_v14,0.9891304347826086
Norman,1,BCORL1,WitnessCell_v14,0.9782608695652174
Norman,1,CBL,WitnessCell_v14,0.9130434782608695
Norman,1,CDKN1B,WitnessCell_v14,1.0
Norman,1,CDKN1C,WitnessCell_v14,0.9782608695652174
Norman,1,CELF2,WitnessCell_v14,0.9130434782608695
Norman,1,CKS1B,WitnessCell_v14,0.6630434782608695
Norman,1,CNN1,WitnessCell_v14,0.7391304347826086
Norman,1,DLX2,WitnessCell_v14,0.8804347826086957
Norman,1,ETS2,WitnessCell_v14,0.6413043478260869
Norman,1,FEV,WitnessCell_v14,0.3804347826086957
Norman,1,HES7,WitnessCell_v14,0.2608695652173913
Norman,1,KLF1,WitnessCell_v14,0.5
Norman,1,NIT1,WitnessCell_v14,0.43478260869565216
Norman,1,PTPN12,WitnessCell_v14,0.9021739130434783
Norman,1,PTPN13,WitnessCell_v14,0.8152173913043478
Norman,1,RREB1,WitnessCell_v14,0.9347826086956522
Norman,1,RUNX1T1,WitnessCell_v14,1.0
Norman,1,SET,WitnessCell_v14,0.4891304347826087
Norman,1,CBL+CNN1,WitnessCell_v14,0.1956521739130435
Norman,1,CBL+PTPN12,WitnessCell_v14,0.44565217391304346
Norman,1,CDKN1B+CDKN1C,WitnessCell_v14,0.9239130434782609
Norman,1,CNN1+ETS2,WitnessCell_v14,0.9565217391304348
Norman,1,KLF1+SET,WitnessCell_v14,0.31521739130434784
Norman,1,AHR+FEV,WitnessCell_v13,0.29347826086956524
Norman,1,AHR+KLF1,WitnessCell_v13,0.31521739130434784
Norman,1,BAK1+BCL2L11,WitnessCell_v13,0.9021739130434783
Norman,1,BAK1+KLF1,WitnessCell_v13,0.6086956521739131
Norman,1,BCL2L11+TGFBR2,WitnessCell_v13,0.9782608695652174
Norman,1,CBFA2T3+FEV,WitnessCell_v13,0.03260869565217391
Norman,1,CBL+PTPN9,WitnessCell_v13,0.9891304347826086
Norman,1,CBL+TGFBR2,WitnessCell_v13,0.7391304347826086
Norman,1,CBL+UBASH3A,WitnessCell_v13,0.44565217391304346
Norman,1,CBL+UBASH3B,WitnessCell_v13,0.5217391304347826
Norman,1,CDKN1A+CDKN1B,WitnessCell_v13,1.0
Norman,1,CDKN1A+CDKN1C,WitnessCell_v13,0.9891304347826086
Norman,1,CEBPA+KLF1,WitnessCell_v13,0.9891304347826086
Norman,1,CEBPB+PTPN12,WitnessCell_v13,0.9891304347826086
Norman,1,CEBPE+CNN1,WitnessCell_v13,0.8913043478260869
Norman,1,CEBPE+ETS2,WitnessCell_v13,0.30434782608695654
Norman,1,CEBPE+KLF1,WitnessCell_v13,0.44565217391304346
Norman,1,CEBPE+PTPN12,WitnessCell_v13,0.9565217391304348
Norman,1,CEBPE+RUNX1T1,WitnessCell_v13,0.7934782608695652
Norman,1,CEBPE+SET,WitnessCell_v13,0.6086956521739131
Norman,1,CLDN6+KLF1,WitnessCell_v13,0.7608695652173914
Norman,1,CNN1+MAPK1,WitnessCell_v13,0.9891304347826086
Norman,1,CNN1+UBASH3A,WitnessCell_v13,0.2391304347826087
Norman,1,CNN1+UBASH3B,WitnessCell_v13,0.31521739130434784
Norman,1,COL2A1+KLF1,WitnessCell_v13,1.0
Norman,1,DLX2+SNAI1,WitnessCell_v13,0.1956521739130435
Norman,1,DLX2+ZBTB10,WitnessCell_v13,0.7934782608695652
Norman,1,DUSP9+ETS2,WitnessCell_v13,0.8369565217391305
Norman,1,DUSP9+KLF1,WitnessCell_v13,0.20652173913043478
Norman,1,ETS2+IGDCC3,WitnessCell_v13,0.967391304347826
Norman,1,ETS2+IKZF3,WitnessCell_v13,1.0
Norman,1,ETS2+MAP7D1,WitnessCell_v13,0.6630434782608695
Norman,1,ETS2+MAPK1,WitnessCell_v13,0.9565217391304348
Norman,1,ETS2+PRTG,WitnessCell_v13,1.0
Norman,1,ETS2+TGFBR2,WitnessCell_v13,0.6630434782608695
Norman,1,FEV+ISL2,WitnessCell_v13,0.16304347826086957
Norman,1,FEV+MAP7D1,WitnessCell_v13,0.31521739130434784
Norman,1,FOSB+PTPN12,WitnessCell_v13,0.8804347826086957
Norman,1,FOXA1+KLF1,WitnessCell_v13,0.6956521739130435
Norman,1,IRF1+SET,WitnessCell_v13,1.0
Norman,1,KLF1+MAP2K6,WitnessCell_v13,0.6521739130434783
Norman,1,KLF1+TGFBR2,WitnessCell_v13,0.6195652173913043
Norman,1,OSR2+PTPN12,WitnessCell_v13,1.0
Norman,1,PTPN12+PTPN9,WitnessCell_v13,0.967391304347826
Norman,1,PTPN12+SAMD1,WitnessCell_v13,1.0
Norman,1,PTPN12+SNAI1,WitnessCell_v13,0.7608695652173914
Norman,1,PTPN12+UBASH3A,WitnessCell_v13,0.391304347826087
Norman,1,PTPN12+UBASH3B,WitnessCell_v13,0.7717391304347826
Norman,1,PTPN12+ZBTB10,WitnessCell_v13,1.0
Norman,1,PTPN12+ZBTB25,WitnessCell_v13,0.9130434782608695
Norman,1,RHOXF2+SET,WitnessCell_v13,0.8586956521739131
Norman,1,BAK1+TMSB4X,WitnessCell_v13,1.0
Norman,1,BPGM+SAMD1,WitnessCell_v13,1.0
Norman,1,CEBPA+CEBPB,WitnessCell_v13,0.9347826086956522
Norman,1,CEBPA+CEBPE,WitnessCell_v13,1.0
Norman,1,CEBPA+JUN,WitnessCell_v13,0.9456521739130435
Norman,1,CEBPB+CEBPE,WitnessCell_v13,1.0
Norman,1,CEBPB+LYL1,WitnessCell_v13,1.0
Norman,1,CEBPE+FOSB,WitnessCell_v13,0.6195652173913043
Norman,1,CEBPE+SPI1,WitnessCell_v13,0.4891304347826087
Norman,1,DUSP9+IGDCC3,WitnessCell_v13,0.7282608695652174
Norman,1,DUSP9+PRTG,WitnessCell_v13,0.6956521739130435
Norman,1,FOXA1+FOXA3,WitnessCell_v13,1.0
Norman,1,FOXL2+ZNF318,WitnessCell_v13,1.0
Norman,1,IKZF3+MAPK1,WitnessCell_v13,1.0
Norman,1,MAPK1+PRTG,WitnessCell_v13,1.0
Norman,1,UBASH3A+UBASH3B,WitnessCell_v13,1.0
Norman,1,UBASH3B+ZBTB25,WitnessCell_v13,1.0
Norman,1,ARID1A,WitnessCell_v13,0.5652173913043478
Norman,1,BCL2L11,WitnessCell_v13,0.9891304347826086
Norman,1,BCORL1,WitnessCell_v13,0.9891304347826086
Norman,1,CBL,WitnessCell_v13,0.9130434782608695
Norman,1,CDKN1B,WitnessCell_v13,1.0
Norman,1,CDKN1C,WitnessCell_v13,0.9782608695652174
Norman,1,CELF2,WitnessCell_v13,0.9130434782608695
Norman,1,CKS1B,WitnessCell_v13,0.6630434782608695
Norman,1,CNN1,WitnessCell_v13,0.7391304347826086
Norman,1,DLX2,WitnessCell_v13,0.8804347826086957
Norman,1,ETS2,WitnessCell_v13,0.6413043478260869
Norman,1,FEV,WitnessCell_v13,0.358695652173913
Norman,1,HES7,WitnessCell_v13,0.2608695652173913
Norman,1,KLF1,WitnessCell_v13,0.5
Norman,1,NIT1,WitnessCell_v13,0.43478260869565216
Norman,1,PTPN12,WitnessCell_v13,0.9021739130434783
Norman,1,PTPN13,WitnessCell_v13,0.8152173913043478
Norman,1,RREB1,WitnessCell_v13,0.9347826086956522
Norman,1,RUNX1T1,WitnessCell_v13,1.0
Norman,1,SET,WitnessCell_v13,0.4782608695652174
Norman,1,CBL+CNN1,WitnessCell_v13,0.1956521739130435
Norman,1,CBL+PTPN12,WitnessCell_v13,0.44565217391304346
Norman,1,CDKN1B+CDKN1C,WitnessCell_v13,0.9239130434782609
Norman,1,CNN1+ETS2,WitnessCell_v13,0.9565217391304348
Norman,1,KLF1+SET,WitnessCell_v13,0.30434782608695654
Norman,1,AHR+FEV,trainMean,0.31521739130434784
Norman,1,AHR+KLF1,trainMean,0.30434782608695654
Norman,1,BAK1+BCL2L11,trainMean,0.8369565217391305
Norman,1,BAK1+KLF1,trainMean,0.6086956521739131
Norman,1,BCL2L11+TGFBR2,trainMean,0.9782608695652174
Norman,1,CBFA2T3+FEV,trainMean,0.03260869565217391
Norman,1,CBL+PTPN9,trainMean,0.9782608695652174
Norman,1,CBL+TGFBR2,trainMean,0.782608695652174
Norman,1,CBL+UBASH3A,trainMean,0.45652173913043476
Norman,1,CBL+UBASH3B,trainMean,0.6086956521739131
Norman,1,CDKN1A+CDKN1B,trainMean,1.0
Norman,1,CDKN1A+CDKN1C,trainMean,0.9891304347826086
Norman,1,CEBPA+KLF1,trainMean,0.9782608695652174
Norman,1,CEBPB+PTPN12,trainMean,0.9456521739130435
Norman,1,CEBPE+CNN1,trainMean,0.7608695652173914
Norman,1,CEBPE+ETS2,trainMean,0.20652173913043478
Norman,1,CEBPE+KLF1,trainMean,0.3804347826086957
Norman,1,CEBPE+PTPN12,trainMean,0.9021739130434783
Norman,1,CEBPE+RUNX1T1,trainMean,0.5652173913043478
Norman,1,CEBPE+SET,trainMean,0.5434782608695652
Norman,1,CLDN6+KLF1,trainMean,0.7717391304347826
Norman,1,CNN1+MAPK1,trainMean,0.9782608695652174
Norman,1,CNN1+UBASH3A,trainMean,0.2608695652173913
Norman,1,CNN1+UBASH3B,trainMean,0.32608695652173914
Norman,1,COL2A1+KLF1,trainMean,1.0
Norman,1,DLX2+SNAI1,trainMean,0.16304347826086957
Norman,1,DLX2+ZBTB10,trainMean,0.9021739130434783
Norman,1,DUSP9+ETS2,trainMean,0.6413043478260869
Norman,1,DUSP9+KLF1,trainMean,0.17391304347826086
Norman,1,ETS2+IGDCC3,trainMean,0.9565217391304348
Norman,1,ETS2+IKZF3,trainMean,1.0
Norman,1,ETS2+MAP7D1,trainMean,0.6847826086956522
Norman,1,ETS2+MAPK1,trainMean,1.0
Norman,1,ETS2+PRTG,trainMean,1.0
Norman,1,ETS2+TGFBR2,trainMean,0.6847826086956522
Norman,1,FEV+ISL2,trainMean,0.14130434782608695
Norman,1,FEV+MAP7D1,trainMean,0.30434782608695654
Norman,1,FOSB+PTPN12,trainMean,0.8695652173913043
Norman,1,FOXA1+KLF1,trainMean,0.5869565217391305
Norman,1,IRF1+SET,trainMean,1.0
Norman,1,KLF1+MAP2K6,trainMean,0.6521739130434783
Norman,1,KLF1+TGFBR2,trainMean,0.6304347826086957
Norman,1,OSR2+PTPN12,trainMean,1.0
Norman,1,PTPN12+PTPN9,trainMean,0.8913043478260869
Norman,1,PTPN12+SAMD1,trainMean,1.0
Norman,1,PTPN12+SNAI1,trainMean,0.8152173913043478
Norman,1,PTPN12+UBASH3A,trainMean,0.391304347826087
Norman,1,PTPN12+UBASH3B,trainMean,0.717391304347826
Norman,1,PTPN12+ZBTB10,trainMean,1.0
Norman,1,PTPN12+ZBTB25,trainMean,0.8478260869565217
Norman,1,RHOXF2+SET,trainMean,0.9347826086956522
Norman,1,BAK1+TMSB4X,trainMean,1.0
Norman,1,BPGM+SAMD1,trainMean,1.0
Norman,1,CEBPA+CEBPB,trainMean,0.9347826086956522
Norman,1,CEBPA+CEBPE,trainMean,1.0
Norman,1,CEBPA+JUN,trainMean,0.9782608695652174
Norman,1,CEBPB+CEBPE,trainMean,0.9891304347826086
Norman,1,CEBPB+LYL1,trainMean,1.0
Norman,1,CEBPE+FOSB,trainMean,0.358695652173913
Norman,1,CEBPE+SPI1,trainMean,0.8369565217391305
Norman,1,DUSP9+IGDCC3,trainMean,0.9021739130434783
Norman,1,DUSP9+PRTG,trainMean,0.8913043478260869
Norman,1,FOXA1+FOXA3,trainMean,1.0
Norman,1,FOXL2+ZNF318,trainMean,1.0
Norman,1,IKZF3+MAPK1,trainMean,0.9891304347826086
Norman,1,MAPK1+PRTG,trainMean,1.0
Norman,1,UBASH3A+UBASH3B,trainMean,1.0
Norman,1,UBASH3B+ZBTB25,trainMean,1.0
Norman,1,ARID1A,trainMean,0.5434782608695652
Norman,1,BCL2L11,trainMean,0.9891304347826086
Norman,1,BCORL1,trainMean,0.967391304347826
Norman,1,CBL,trainMean,0.9130434782608695
Norman,1,CDKN1B,trainMean,0.9347826086956522
Norman,1,CDKN1C,trainMean,0.7717391304347826
Norman,1,CELF2,trainMean,0.8913043478260869
Norman,1,CKS1B,trainMean,0.6195652173913043
Norman,1,CNN1,trainMean,0.7065217391304348
Norman,1,DLX2,trainMean,0.8043478260869565
Norman,1,ETS2,trainMean,0.6956521739130435
Norman,1,FEV,trainMean,0.33695652173913043
Norman,1,HES7,trainMean,0.21739130434782608
Norman,1,KLF1,trainMean,0.5760869565217391
Norman,1,NIT1,trainMean,0.44565217391304346
Norman,1,PTPN12,trainMean,0.8586956521739131
Norman,1,PTPN13,trainMean,0.8152173913043478
Norman,1,RREB1,trainMean,0.9456521739130435
Norman,1,RUNX1T1,trainMean,1.0
Norman,1,SET,trainMean,0.5108695652173914
Norman,1,CBL+CNN1,trainMean,0.21739130434782608
Norman,1,CBL+PTPN12,trainMean,0.43478260869565216
Norman,1,CDKN1B+CDKN1C,trainMean,0.7717391304347826
Norman,1,CNN1+ETS2,trainMean,0.9456521739130435
Norman,1,KLF1+SET,trainMean,0.30434782608695654
Norman,1,AHR+FEV,baseControl,0.09782608695652174
Norman,1,AHR+KLF1,baseControl,0.6086956521739131
Norman,1,BAK1+BCL2L11,baseControl,0.967391304347826
Norman,1,BAK1+KLF1,baseControl,0.75
Norman,1,BCL2L11+TGFBR2,baseControl,0.9782608695652174
Norman,1,CBFA2T3+FEV,baseControl,0.043478260869565216
Norman,1,CBL+PTPN9,baseControl,0.5434782608695652
Norman,1,CBL+TGFBR2,baseControl,0.6304347826086957
Norman,1,CBL+UBASH3A,baseControl,0.40217391304347827
Norman,1,CBL+UBASH3B,baseControl,0.22826086956521738
Norman,1,CDKN1A+CDKN1B,baseControl,0.3804347826086957
Norman,1,CDKN1A+CDKN1C,baseControl,0.358695652173913
Norman,1,CEBPA+KLF1,baseControl,0.07608695652173914
Norman,1,CEBPB+PTPN12,baseControl,0.5978260869565217
Norman,1,CEBPE+CNN1,baseControl,0.5869565217391305
Norman,1,CEBPE+ETS2,baseControl,0.29347826086956524
Norman,1,CEBPE+KLF1,baseControl,0.7934782608695652
Norman,1,CEBPE+PTPN12,baseControl,0.7717391304347826
Norman,1,CEBPE+RUNX1T1,baseControl,0.6847826086956522
Norman,1,CEBPE+SET,baseControl,0.5543478260869565
Norman,1,CLDN6+KLF1,baseControl,0.2717391304347826
Norman,1,CNN1+MAPK1,baseControl,0.6521739130434783
Norman,1,CNN1+UBASH3A,baseControl,0.18478260869565216
Norman,1,CNN1+UBASH3B,baseControl,0.13043478260869565
Norman,1,COL2A1+KLF1,baseControl,0.44565217391304346
Norman,1,DLX2+SNAI1,baseControl,0.10869565217391304
Norman,1,DLX2+ZBTB10,baseControl,0.021739130434782608
Norman,1,DUSP9+ETS2,baseControl,0.6195652173913043
Norman,1,DUSP9+KLF1,baseControl,0.25
Norman,1,ETS2+IGDCC3,baseControl,0.8043478260869565
Norman,1,ETS2+IKZF3,baseControl,0.15217391304347827
Norman,1,ETS2+MAP7D1,baseControl,0.5652173913043478
Norman,1,ETS2+MAPK1,baseControl,0.14130434782608695
Norman,1,ETS2+PRTG,baseControl,0.7065217391304348
Norman,1,ETS2+TGFBR2,baseControl,0.9347826086956522
Norman,1,FEV+ISL2,baseControl,0.11956521739130435
Norman,1,FEV+MAP7D1,baseControl,0.2608695652173913
Norman,1,FOSB+PTPN12,baseControl,0.8586956521739131
Norman,1,FOXA1+KLF1,baseControl,0.532608695652174
Norman,1,IRF1+SET,baseControl,0.17391304347826086
Norman,1,KLF1+MAP2K6,baseControl,0.6956521739130435
Norman,1,KLF1+TGFBR2,baseControl,0.6630434782608695
Norman,1,OSR2+PTPN12,baseControl,0.9456521739130435
Norman,1,PTPN12+PTPN9,baseControl,0.5
Norman,1,PTPN12+SAMD1,baseControl,0.33695652173913043
Norman,1,PTPN12+SNAI1,baseControl,0.782608695652174
Norman,1,PTPN12+UBASH3A,baseControl,0.30434782608695654
Norman,1,PTPN12+UBASH3B,baseControl,0.31521739130434784
Norman,1,PTPN12+ZBTB10,baseControl,0.34782608695652173
Norman,1,PTPN12+ZBTB25,baseControl,0.3695652173913043
Norman,1,RHOXF2+SET,baseControl,0.21739130434782608
Norman,1,BAK1+TMSB4X,baseControl,0.9239130434782609
Norman,1,BPGM+SAMD1,baseControl,0.4782608695652174
Norman,1,CEBPA+CEBPB,baseControl,0.05434782608695652
Norman,1,CEBPA+CEBPE,baseControl,0.03260869565217391
Norman,1,CEBPA+JUN,baseControl,0.0
Norman,1,CEBPB+CEBPE,baseControl,0.08695652173913043
Norman,1,CEBPB+LYL1,baseControl,0.4891304347826087
Norman,1,CEBPE+FOSB,baseControl,0.06521739130434782
Norman,1,CEBPE+SPI1,baseControl,0.010869565217391304
Norman,1,DUSP9+IGDCC3,baseControl,0.20652173913043478
Norman,1,DUSP9+PRTG,baseControl,0.2391304347826087
Norman,1,FOXA1+FOXA3,baseControl,0.32608695652173914
Norman,1,FOXL2+ZNF318,baseControl,0.6413043478260869
Norman,1,IKZF3+MAPK1,baseControl,0.2826086956521739
Norman,1,MAPK1+PRTG,baseControl,0.717391304347826
Norman,1,UBASH3A+UBASH3B,baseControl,0.8478260869565217
Norman,1,UBASH3B+ZBTB25,baseControl,0.41304347826086957
Norman,1,ARID1A,baseControl,0.43478260869565216
Norman,1,BCL2L11,baseControl,1.0
Norman,1,BCORL1,baseControl,0.9565217391304348
Norman,1,CBL,baseControl,0.8913043478260869
Norman,1,CDKN1B,baseControl,0.8152173913043478
Norman,1,CDKN1C,baseControl,0.6739130434782609
Norman,1,CELF2,baseControl,0.9130434782608695
Norman,1,CKS1B,baseControl,0.5760869565217391
Norman,1,CNN1,baseControl,0.7282608695652174
Norman,1,DLX2,baseControl,0.8260869565217391
Norman,1,ETS2,baseControl,0.7608695652173914
Norman,1,FEV,baseControl,0.4673913043478261
Norman,1,HES7,baseControl,0.1956521739130435
Norman,1,KLF1,baseControl,0.7391304347826086
Norman,1,NIT1,baseControl,0.45652173913043476
Norman,1,PTPN12,baseControl,0.8695652173913043
Norman,1,PTPN13,baseControl,0.8369565217391305
Norman,1,RREB1,baseControl,0.9021739130434783
Norman,1,RUNX1T1,baseControl,0.9891304347826086
Norman,1,SET,baseControl,0.5108695652173914
Norman,1,CBL+CNN1,baseControl,0.16304347826086957
Norman,1,CBL+PTPN12,baseControl,0.391304347826087
Norman,1,CDKN1B+CDKN1C,baseControl,0.42391304347826086
Norman,1,CNN1+ETS2,baseControl,0.8804347826086957
Norman,1,KLF1+SET,baseControl,0.5217391304347826
Norman,2,BAK1+BCL2L11,WitnessCell_v14,0.8235294117647058
Norman,2,BAK1+KLF1,WitnessCell_v14,1.0
Norman,2,BAK1+TMSB4X,WitnessCell_v14,1.0
Norman,2,BPGM+SAMD1,WitnessCell_v14,1.0
Norman,2,BPGM+ZBTB1,WitnessCell_v14,1.0
Norman,2,CBFA2T3+POU3F2,WitnessCell_v14,0.7176470588235294
Norman,2,CBL+CNN1,WitnessCell_v14,0.23529411764705882
Norman,2,CBL+UBASH3A,WitnessCell_v14,0.5058823529411764
Norman,2,CEBPA+CEBPE,WitnessCell_v14,1.0
Norman,2,CEBPA+JUN,WitnessCell_v14,0.9411764705882353
Norman,2,CEBPB+CEBPE,WitnessCell_v14,0.8941176470588236
Norman,2,CEBPB+JUN,WitnessCell_v14,0.6823529411764706
Norman,2,CEBPE+ETS2,WitnessCell_v14,0.8941176470588236
Norman,2,CEBPE+FOSB,WitnessCell_v14,0.3058823529411765
Norman,2,CEBPE+KLF1,WitnessCell_v14,1.0
Norman,2,CEBPE+PTPN12,WitnessCell_v14,0.9176470588235294
Norman,2,CEBPE+RUNX1T1,WitnessCell_v14,0.9529411764705882
Norman,2,CEBPE+SET,WitnessCell_v14,1.0
Norman,2,CEBPE+ZC3HAV1,WitnessCell_v14,0.9882352941176471
Norman,2,CNN1+ETS2,WitnessCell_v14,0.9882352941176471
