dataset,seed,baseline,operations,wmse_ratio,weighted_r2_difference
Norman,1,WitnessCell_v13,93,0.9879641847511322,0.004899957999360993
Norman,2,WitnessCell_v13,86,0.9999981213300891,0.0008725357667376255
Norman,3,WitnessCell_v13,89,1.0094069834249724,-0.003900673152304357
Replogle_exp6,1,WitnessCell_v13,42,0.9167927590591757,0.041958602291307046
Replogle_exp6,2,WitnessCell_v13,36,0.9926208224778298,0.00048182711124161726
Replogle_exp6,3,WitnessCell_v13,34,0.9687545510119635,0.017150030790079596
Schmidt,1,WitnessCell_v13,31,0.9882591223028143,0.027067105675199488
Schmidt,2,WitnessCell_v13,28,0.9990788158824558,0.0031540979640316547
Schmidt,3,WitnessCell_v13,28,1.0,0.0
Wessels,1,WitnessCell_v13,65,1.0,0.0
Wessels,2,WitnessCell_v13,55,1.0,0.0
Wessels,3,WitnessCell_v13,67,1.0,0.0
Norman,1,trainMean,93,0.8489463696319807,0.11609396486292844
Norman,2,trainMean,86,0.7429397491557702,0.15869279277743814
Norman,3,trainMean,89,0.8543311999822348,0.15422027789363202
Replogle_exp6,1,trainMean,42,0.6451408302827614,0.2760641173283931
Replogle_exp6,2,trainMean,36,0.734256307498949,0.2847170444636331
Replogle_exp6,3,trainMean,34,0.668439370817539,0.36574753227769574
Schmidt,1,trainMean,31,0.5684286123763372,0.2578446498175293
Schmidt,2,trainMean,28,0.6504943564380534,0.2631245395698061
Schmidt,3,trainMean,28,0.4224499155575499,0.3844983167469508
Wessels,1,trainMean,65,0.648432790414955,0.18842031517913282
Wessels,2,trainMean,55,0.6030559195537467,0.2071489493600015
Wessels,3,trainMean,67,0.9864636871107646,0.07276475845776492
Norman,1,baseControl,93,0.4603177758624252,0.5956251296295871
Norman,2,baseControl,86,0.27758780833842467,0.7667335397729131
Norman,3,baseControl,89,0.4452692416325512,0.6600973763546556
Replogle_exp6,1,baseControl,42,0.2946933063280911,0.6527785026740279
Replogle_exp6,2,baseControl,36,0.44191513312521374,0.5817214826171262
Replogle_exp6,3,baseControl,34,0.4076883581826409,0.5775623255129372
Schmidt,1,baseControl,31,0.4655317092484953,0.4662263311743234
Schmidt,2,baseControl,28,0.5324058322198648,0.5036050216331149
Schmidt,3,baseControl,28,0.39497911409215647,0.5630191068300485
Wessels,1,baseControl,65,0.49593353822714176,0.6242936424221888
Wessels,2,baseControl,55,0.19380721804219997,1.0459035475447753
Wessels,3,baseControl,67,0.5523648981719678,0.7472899827690154
