strategy,budget,n,cosine_mean,cosine_sd,nmse_mean,nullity_mean,target_witnesses_mean
d_optimal,0,30,0.19261880244632482,0.036408647543279264,0.9629116384773534,12.0,0.0
d_optimal,1,30,0.26608015664736917,0.10990954892311444,0.8804648896079345,11.0,0.36666666666666664
d_optimal,2,30,0.32314181870330144,0.13460115737364764,0.807281075080856,10.0,0.6666666666666666
d_optimal,4,30,0.4890177423879302,0.17162000455420728,0.6085084755414657,8.0,1.5
d_optimal,8,30,0.6916647816374603,0.18166119242513576,0.3683704104647102,4.0,2.5
d_optimal,12,30,0.9996309816511818,3.9041499719275604e-05,0.0007332661280987602,0.0,4.0
random,0,600,0.19261880244632482,0.035826561835524136,0.9629116384773535,12.0,0.0
random,1,600,0.26065684103755127,0.10099858692067802,0.8823049190885142,11.0,0.34
random,2,600,0.32759011246009745,0.1313520533060391,0.8033363517110221,10.0,0.67
random,4,600,0.47743573817581564,0.16928113713294804,0.6237440986324774,8.0,1.41
random,8,600,0.7288621421203723,0.15916859299708272,0.3250953604298914,4.0,2.6483333333333334
random,12,600,0.9996309816511818,3.8417321109840556e-05,0.0007332661280987602,0.0,4.0
v_optimal,0,30,0.19261880244632482,0.036408647543279264,0.9629116384773534,12.0,0.0
v_optimal,1,30,0.39097135779791176,0.03138113298570933,0.7272626780624892,11.0,1.0
v_optimal,2,30,0.5934549604412999,0.026609050054228575,0.49014273783671575,10.0,2.0
v_optimal,4,30,0.9996309816511818,3.904149971926708e-05,0.0007332661280987602,8.0,4.0
v_optimal,8,30,0.9996309816511818,3.904149971927291e-05,0.0007332661280987602,4.0,4.0
v_optimal,12,30,0.9996309816511818,3.9041499719275604e-05,0.0007332661280987602,0.0,4.0
