seed,mismatch,metric,failure_auroc,oof_adequacy_cosine,route
0,0.0,geometry,1.0,0.9827422715238157,geometry
0,0.0,adequacy,0.359375,0.9827422715238157,geometry
0,0.0,equal_average,0.7994791666666667,0.9827422715238157,geometry
0,0.0,hierarchical_route,1.0,0.9827422715238157,geometry
1,0.0,geometry,1.0,0.9811773140343053,geometry
1,0.0,adequacy,0.4010416666666667,0.9811773140343053,geometry
1,0.0,equal_average,0.8671875,0.9811773140343053,geometry
1,0.0,hierarchical_route,1.0,0.9811773140343053,geometry
2,0.0,geometry,1.0,0.9827500890851827,geometry
2,0.0,adequacy,0.5052083333333334,0.9827500890851827,geometry
2,0.0,equal_average,0.8697916666666666,0.9827500890851827,geometry
2,0.0,hierarchical_route,1.0,0.9827500890851827,geometry
0,0.1,geometry,1.0,0.9720147978053219,geometry
0,0.1,adequacy,0.3333333333333333,0.9720147978053219,geometry
0,0.1,equal_average,0.7578125,0.9720147978053219,geometry
0,0.1,hierarchical_route,1.0,0.9720147978053219,geometry
1,0.1,geometry,1.0,0.9679236565067235,geometry
1,0.1,adequacy,0.7083333333333334,0.9679236565067235,geometry
1,0.1,equal_average,0.9348958333333334,0.9679236565067235,geometry
1,0.1,hierarchical_route,1.0,0.9679236565067235,geometry
2,0.1,geometry,1.0,0.9594878081199948,geometry
2,0.1,adequacy,0.5625,0.9594878081199948,geometry
2,0.1,equal_average,0.8958333333333333,0.9594878081199948,geometry
2,0.1,hierarchical_route,1.0,0.9594878081199948,geometry
0,0.25,geometry,1.0,0.9228295338329001,geometry
0,0.25,adequacy,0.3489583333333333,0.9228295338329001,geometry
0,0.25,equal_average,0.765625,0.9228295338329001,geometry
0,0.25,hierarchical_route,1.0,0.9228295338329001,geometry
1,0.25,geometry,1.0,0.9061627512172604,geometry
1,0.25,adequacy,0.7083333333333334,0.9061627512172604,geometry
1,0.25,equal_average,0.9375,0.9061627512172604,geometry
1,0.25,hierarchical_route,1.0,0.9061627512172604,geometry
2,0.25,geometry,1.0,0.867377907909048,geometry
2,0.25,adequacy,0.5833333333333334,0.867377907909048,geometry
2,0.25,equal_average,0.90625,0.867377907909048,geometry
2,0.25,hierarchical_route,1.0,0.867377907909048,geometry
0,0.5,geometry,1.0,0.8029113354169535,geometry
0,0.5,adequacy,0.3489583333333333,0.8029113354169535,geometry
0,0.5,equal_average,0.7734375,0.8029113354169535,geometry
0,0.5,hierarchical_route,1.0,0.8029113354169535,geometry
1,0.5,geometry,1.0,0.7528916644197696,geometry
1,0.5,adequacy,0.7135416666666666,0.7528916644197696,geometry
1,0.5,equal_average,0.9375,0.7528916644197696,geometry
1,0.5,hierarchical_route,1.0,0.7528916644197696,geometry
2,0.5,geometry,0.9765625,0.7028000318153382,geometry
2,0.5,adequacy,0.6197916666666667,0.7028000318153382,geometry
2,0.5,equal_average,0.9166666666666666,0.7028000318153382,geometry
2,0.5,hierarchical_route,0.9765625,0.7028000318153382,geometry
0,1.0,geometry,0.8046875,0.5852518255117846,geometry
0,1.0,adequacy,0.5885416666666666,0.5852518255117846,geometry
0,1.0,equal_average,0.8333333333333335,0.5852518255117846,geometry
0,1.0,hierarchical_route,0.8046875,0.5852518255117846,geometry
1,1.0,geometry,0.8723958333333333,0.4863914956081001,adequacy
1,1.0,adequacy,0.71875,0.4863914956081001,adequacy
1,1.0,equal_average,0.8723958333333333,0.4863914956081001,adequacy
1,1.0,hierarchical_route,0.71875,0.4863914956081001,adequacy
2,1.0,geometry,0.7864583333333333,0.49378258121806623,adequacy
2,1.0,adequacy,0.71875,0.49378258121806623,adequacy
2,1.0,equal_average,0.84375,0.49378258121806623,adequacy
2,1.0,hierarchical_route,0.71875,0.49378258121806623,adequacy
0,2.0,geometry,0.6067708333333334,0.32758794375610334,adequacy
0,2.0,adequacy,0.6302083333333334,0.32758794375610334,adequacy
0,2.0,equal_average,0.7604166666666665,0.32758794375610334,adequacy
0,2.0,hierarchical_route,0.6302083333333334,0.32758794375610334,adequacy
1,2.0,geometry,0.6354166666666667,0.23097105067971807,adequacy
1,2.0,adequacy,0.6927083333333334,0.23097105067971807,adequacy
1,2.0,equal_average,0.7057291666666665,0.23097105067971807,adequacy
1,2.0,hierarchical_route,0.6927083333333334,0.23097105067971807,adequacy
2,2.0,geometry,0.6484375,0.3001337319981395,adequacy
2,2.0,adequacy,0.7447916666666666,0.3001337319981395,adequacy
2,2.0,equal_average,0.7942708333333335,0.3001337319981395,adequacy
2,2.0,hierarchical_route,0.7447916666666666,0.3001337319981395,adequacy
