mismatch,metric,seeds,auroc_mean,auroc_sd,oof_adequacy_mean,geometry_route_rate
0.0,adequacy,3,0.421875,0.07511565157216643,0.9822232248811013,1.0
0.0,equal_average,3,0.8454861111111112,0.039864453136128526,0.9822232248811013,1.0
0.0,geometry,3,1.0,0.0,0.9822232248811013,1.0
0.0,hierarchical_route,3,1.0,0.0,0.9822232248811013,1.0
0.1,adequacy,3,0.5347222222222222,0.18903691095578057,0.96647542081068,1.0
0.1,equal_average,3,0.8628472222222222,0.09303595746154833,0.96647542081068,1.0
0.1,geometry,3,1.0,0.0,0.96647542081068,1.0
0.1,hierarchical_route,3,1.0,0.0,0.96647542081068,1.0
0.25,adequacy,3,0.546875,0.18244041550142706,0.8987900643197362,1.0
0.25,equal_average,3,0.8697916666666666,0.09155414495441118,0.8987900643197362,1.0
0.25,geometry,3,1.0,0.0,0.8987900643197362,1.0
0.25,hierarchical_route,3,1.0,0.0,0.8987900643197362,1.0
0.5,adequacy,3,0.5607638888888888,0.18932369278077202,0.7528676772173538,1.0
0.5,equal_average,3,0.8758680555555555,0.0893169691492566,0.7528676772173538,1.0
0.5,geometry,3,0.9921875,0.013531646934131853,0.7528676772173538,1.0
0.5,hierarchical_route,3,0.9921875,0.013531646934131853,0.7528676772173538,1.0
1.0,adequacy,3,0.6753472222222222,0.07517581630073257,0.5218086341126503,0.3333333333333333
1.0,equal_average,3,0.849826388888889,0.02022774339883852,0.5218086341126503,0.3333333333333333
1.0,geometry,3,0.8211805555555555,0.04528056026300336,0.5218086341126503,0.3333333333333333
1.0,hierarchical_route,3,0.7473958333333334,0.04961603875848347,0.5218086341126503,0.3333333333333333
2.0,adequacy,3,0.6892361111111112,0.05737052653423018,0.2862309088113203,0.0
2.0,equal_average,3,0.7534722222222222,0.04467746261270071,0.2862309088113203,0.0
2.0,geometry,3,0.6302083333333334,0.021316022843417857,0.2862309088113203,0.0
2.0,hierarchical_route,3,0.6892361111111112,0.05737052653423018,0.2862309088113203,0.0
