i,j,component,pair_type,component_status,unsupported_truth,seed,seen_category,train_edges,global_nullity,endpoint_degree_sum,null_projection,regularized_variance,cosine,nmse,catastrophic
2,9,0,cross,unwitnessed,0,0,seen2,380,4,12,0.0,0.3620940524716474,0.9977612812116513,0.004525945428472416,0
3,10,0,cross,unwitnessed,0,0,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716616,0.9975389248045916,0.005000175295507128,0
2,3,0,within,unwitnessed,1,0,seen2,380,4,12,0.14285714285714293,285.9784459998442,0.34743141827724444,0.9152116563372917,1
9,10,0,within,unwitnessed,1,0,seen2,380,4,12,0.14285714285714274,285.9784459998443,0.05338857255675328,1.0128882370849244,1
16,23,1,cross,witnessed,0,0,seen2,380,4,12,0.0,0.3620915080874599,0.9979666169667399,0.004171153049557102,0
17,24,1,cross,witnessed,0,0,seen2,380,4,12,0.0,0.36209150808745993,0.9964777974019081,0.007673552296434003,0
16,17,1,within,witnessed,0,0,seen2,380,4,12,0.0,1.619553253141607,0.9995797294807071,0.0008448419006474225,0
23,24,1,within,witnessed,0,0,seen2,380,4,12,0.0,1.5119498956815591,0.9996423279784048,0.0007153517675886623,0
30,37,2,cross,unwitnessed,0,0,seen2,380,4,12,0.0,0.3620940524716616,0.9980073383784351,0.004022125908483597,0
31,38,2,cross,unwitnessed,0,0,seen2,380,4,12,1.3866695599588098e-32,0.3620940524716474,0.9977776909297048,0.004439679896524146,0
30,31,2,within,unwitnessed,1,0,seen2,380,4,12,0.14285714285714293,285.97844599987144,0.1258340979934316,0.9863732819456958,1
37,38,2,within,unwitnessed,1,0,seen2,380,4,12,0.14285714285714288,285.9784459998714,0.34573220345254785,0.9138560772669551,1
44,51,3,cross,witnessed,0,0,seen2,380,4,12,0.0,0.3620915080874598,0.9975281664720661,0.005002532057658551,0
45,52,3,cross,witnessed,0,0,seen2,380,4,12,0.0,0.36209150808745993,0.9969771007592669,0.006329245730515978,0
44,45,3,within,witnessed,0,0,seen2,380,4,12,0.0,1.6195532531416075,0.9995228461672806,0.0009635651094368417,0
51,52,3,within,witnessed,0,0,seen2,380,4,12,0.0,1.5119498956815591,0.9995059091199028,0.0009892395119773904,0
58,65,4,cross,witnessed,0,0,seen2,380,4,12,0.0,0.36209150808745993,0.9977268221001715,0.004828228894154364,0
59,66,4,cross,witnessed,0,0,seen2,380,4,12,0.0,0.3620915080874598,0.9975004575172736,0.005016175852716375,0
58,59,4,within,witnessed,0,0,seen2,380,4,12,0.0,1.619553253141608,0.9995152533120794,0.0010071018534886214,0
65,66,4,within,witnessed,0,0,seen2,380,4,12,0.0,1.51194989568156,0.9995492484408188,0.0009360729747668171,0
72,79,5,cross,unwitnessed,0,0,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716332,0.9978732179038555,0.004270930880096149,0
73,80,5,cross,unwitnessed,0,0,seen2,380,4,12,0.0,0.3620940524716332,0.9981180677617533,0.0038207595405674514,0
72,73,5,within,unwitnessed,1,0,seen2,380,4,12,0.14285714285714274,285.97844599961695,0.33324194909012633,0.9123180646415637,1
79,80,5,within,unwitnessed,1,0,seen2,380,4,12,0.14285714285714288,285.978445999617,0.08453710601207903,1.0005539236267027,1
86,93,6,cross,unwitnessed,0,0,seen2,380,4,12,1.5407439555097887e-33,0.3620940524716616,0.9974397471562794,0.005119958332047972,0
87,94,6,cross,unwitnessed,0,0,seen2,380,4,12,2.465190328815662e-32,0.3620940524716474,0.9977889890195824,0.0044795915449183,0
86,87,6,within,unwitnessed,1,0,seen2,380,4,12,0.14285714285714293,285.97844599987144,0.12195154988597882,0.9912589065804652,1
93,94,6,within,unwitnessed,1,0,seen2,380,4,12,0.14285714285714288,285.9784459998714,0.3707541273925287,0.8882432994041899,1
100,107,7,cross,witnessed,0,0,seen2,380,4,12,0.0,0.36209150808745993,0.9977837145655127,0.004457578423638821,0
101,108,7,cross,witnessed,0,0,seen2,380,4,12,0.0,0.36209150808745993,0.9968584764312524,0.006315445448666154,0
100,101,7,within,witnessed,0,0,seen2,380,4,12,0.0,1.619553253141608,0.9994276566624261,0.0011556805508634329,0
107,108,7,within,witnessed,0,0,seen2,380,4,12,0.0,1.5119498956815591,0.9995284473527367,0.0009538579181525796,0
2,9,0,cross,unwitnessed,0,1,seen2,380,4,12,0.0,0.3620940524716474,0.9972551352659588,0.005538655315186698,0
3,10,0,cross,unwitnessed,0,1,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716616,0.9972905721895965,0.0055264968610162155,0
2,3,0,within,unwitnessed,1,1,seen2,380,4,12,0.14285714285714293,285.9784459998442,0.3899867320093271,0.8971351706764942,1
9,10,0,within,unwitnessed,1,1,seen2,380,4,12,0.14285714285714274,285.9784459998443,0.26482015759415417,0.9387020175317794,1
16,23,1,cross,witnessed,0,1,seen2,380,4,12,0.0,0.3620915080874599,0.9981574071057392,0.0037203409215655096,0
17,24,1,cross,witnessed,0,1,seen2,380,4,12,0.0,0.36209150808745993,0.9977999926800396,0.0044143609822314646,0
16,17,1,within,witnessed,0,1,seen2,380,4,12,0.0,1.619553253141607,0.9994713669304459,0.0010573265539044363,0
23,24,1,within,witnessed,0,1,seen2,380,4,12,0.0,1.5119498956815591,0.9996334025957098,0.0007413304944985634,0
30,37,2,cross,unwitnessed,0,1,seen2,380,4,12,0.0,0.3620940524716616,0.9975475195329575,0.004900415108474897,0
31,38,2,cross,unwitnessed,0,1,seen2,380,4,12,1.3866695599588098e-32,0.3620940524716474,0.997582980458545,0.004902746625178615,0
