regime,seed,true_rho,selected_rho,selected_length_factor,selected_noise_ratio,estimated_mse,geometry_mse,oracle_mse,relative_gain_over_geometry,risk_spearman_true
positive,0,0.7,0.75,1.0,0.3,0.6275079472709818,0.7435225683974289,0.6266239212393648,0.15603375883599915,0.9780219780219779
positive,1,0.7,0.75,1.0,0.3,0.6414289551672332,0.7459694624725556,0.6392883779021447,0.14014046494452642,1.0
positive,2,0.7,0.75,1.0,0.3,0.6130529032866301,0.737146428857155,0.6117050518175744,0.1683431143564176,1.0
positive,3,0.7,0.75,1.0,0.3,0.6247258258060481,0.7294484388304338,0.6237663173549544,0.14356410604194783,1.0
positive,4,0.7,0.75,1.0,0.3,0.6209302187646879,0.7313050663972194,0.618211664424543,0.15092859697566993,0.9945054945054945
positive,5,0.7,0.75,1.0,0.3,0.5649951975212849,0.7088265297390657,0.5653896900266399,0.20291471352056784,0.9945054945054945
positive,6,0.7,0.75,1.0,0.3,0.6736118436373366,0.8063206173513215,0.6726208355905162,0.1645856137846497,1.0
positive,7,0.7,0.75,1.0,0.3,0.6757923511317361,0.83103009478148,0.6756241926781802,0.18680159073007319,1.0
positive,8,0.7,0.75,1.0,0.3,0.7233839940996349,0.829718257952488,0.721936750130832,0.12815707360141285,1.0
positive,9,0.7,0.75,1.0,0.3,0.6178105424365439,0.7734588935827669,0.6169858296551008,0.20123674630624344,0.9725274725274725
positive,10,0.7,0.75,1.0,0.3,0.6710308723804901,0.7921681660515361,0.6686118713450883,0.15291865902014187,1.0
positive,11,0.7,0.75,1.0,0.3,0.6148835399059255,0.7925259910649566,0.6151409218619748,0.224147161306753,0.9945054945054945
negative,0,0.0,0.0,0.5,0.3,0.36460387091055263,0.36460387091055263,0.36460387091055263,0.0,1.0
negative,1,0.0,0.0,0.5,0.3,0.3787367933751172,0.3787367933751172,0.3787367933751172,0.0,1.0
negative,2,0.0,0.0,0.5,0.3,0.3766881129253731,0.3766881129253731,0.3766881129253731,0.0,1.0
negative,3,0.0,0.0,0.5,0.3,0.37656779884699926,0.37656779884699926,0.37656779884699926,0.0,1.0
negative,4,0.0,0.0,0.5,0.3,0.38137170792402003,0.38137170792402003,0.38137170792402003,0.0,1.0
negative,5,0.0,0.0,0.5,0.3,0.3785525925419103,0.3785525925419103,0.3785525925419103,0.0,1.0
negative,6,0.0,0.0,0.5,0.3,0.38385073691531574,0.38385073691531574,0.38385073691531574,0.0,1.0
negative,7,0.0,0.0,0.5,0.3,0.3870650042530307,0.3870650042530307,0.3870650042530307,0.0,1.0
negative,8,0.0,0.0,0.5,0.3,0.3886577925065444,0.3886577925065444,0.3886577925065444,0.0,1.0
negative,9,0.0,0.0,0.5,0.3,0.38169769094930256,0.38169769094930256,0.38169769094930256,0.0,1.0
negative,10,0.0,0.0,0.5,0.3,0.37817176491112314,0.37817176491112314,0.37817176491112314,0.0,1.0
negative,11,0.0,0.0,0.5,0.3,0.3726475073519281,0.3726475073519281,0.3726475073519281,0.0,1.0
