seed,strategy,length_factor,rho,noise_ratio,inner_weighted_mse
100,estimated_witness,4.0,0.75,0.1,0.13777230458833753
100,estimated_witness,2.0,0.75,0.1,0.13960775016528607
100,estimated_witness,4.0,0.9,0.03,0.14175565208181437
100,estimated_witness,2.0,0.75,0.03,0.14245494890331162
100,estimated_witness,1.0,0.5,0.1,0.14261256065264388
100,estimated_witness,4.0,0.75,0.03,0.14278000354287204
100,estimated_witness,2.0,0.5,0.1,0.14294206792241734
100,estimated_witness,4.0,0.9,0.1,0.14343462934998905
100,estimated_witness,1.0,0.75,0.03,0.14495958635388714
100,estimated_witness,1.0,0.75,0.1,0.14499741470266114
100,estimated_witness,4.0,0.5,0.1,0.14521575100378425
100,estimated_witness,1.0,0.5,0.03,0.1460007747350283
100,estimated_witness,0.5,0.5,0.1,0.1460593694961186
100,estimated_witness,0.5,0.5,0.03,0.14638787295494424
100,estimated_witness,2.0,0.9,0.03,0.14766766766148265
100,estimated_witness,2.0,0.9,0.1,0.14862498656950932
100,estimated_witness,2.0,0.5,0.3,0.14897219547222407
100,estimated_witness,1.0,0.5,0.3,0.14927938931548765
100,estimated_witness,2.0,0.5,0.03,0.1507516047303936
100,estimated_witness,4.0,0.5,0.3,0.15151468404930316
100,estimated_witness,2.0,0.75,0.3,0.1518404339117241
100,estimated_witness,4.0,0.75,0.3,0.15205861001567164
100,estimated_witness,0.25,0.5,0.03,0.1526890137791063
100,estimated_witness,0.5,0.5,0.3,0.15316805611696727
100,estimated_witness,0.5,0.75,0.03,0.15332149975854445
100,estimated_witness,0.25,0.5,0.1,0.15340306344224205
100,estimated_witness,0.5,0.25,0.1,0.15414163450249915
100,estimated_witness,1.0,0.25,0.1,0.15423146397170384
100,estimated_witness,0.5,0.75,0.1,0.1549332839409494
100,estimated_witness,4.0,0.5,0.03,0.15594751386260022
100,estimated_witness,1.0,0.75,0.3,0.15604686023860373
100,estimated_witness,1.0,0.25,0.3,0.1562177420800662
100,estimated_witness,0.5,0.25,0.03,0.15708139867253168
100,estimated_witness,0.5,0.25,0.3,0.15710100029875831
100,estimated_witness,2.0,0.25,0.1,0.15718658942170913
100,estimated_witness,1.0,0.9,0.03,0.15732794482180426
100,estimated_witness,2.0,0.25,0.3,0.15789892998472296
100,estimated_witness,0.25,0.25,0.1,0.15825637527253952
