seed,strategy,residual_mse,residual_nmse,residual_cosine,full_effect_mse,full_effect_nmse,full_effect_cosine,selected_length_factor,selected_rho,selected_noise_ratio,covariance_scale,estimated_K_diagonal,estimated_noise_variance
100,estimated_witness,0.11289279653425184,0.6100402755945578,0.6042737585191001,0.11289279650723516,0.12646910557431282,0.9245857184480121,4.0,0.75,0.1,0.404776956941121,0.3035827177058407,0.0404776956941121
100,geometry_only,0.10709436386343713,0.5787072094192763,0.5596167953165729,0.10709436383506095,0.11997336256438794,0.9248936432798851,0.25,0.0,1.0,0.10249194519005986,0.0,0.10249194519005986
100,empirical_oracle,0.04499977220548914,0.24316585540158922,0.7893660998098213,0.04499977219550888,0.050411373592371814,0.962194542696684,,,,1.0,,2.2627368549295047e-11
101,estimated_witness,0.12715000253818384,0.372087448188289,0.6946886131015028,0.12715000252320452,0.13570045569920014,0.8854087685958388,4.0,0.9,0.03,0.8047500709310902,0.7242750638379812,0.024142502127932706
101,geometry_only,0.16548364011489217,0.48426570301300836,0.5711701625564414,0.16548364012564987,0.17661191451187688,0.8557748076690829,0.25,0.0,1.0,0.0965876125250827,0.0,0.0965876125250827
101,empirical_oracle,0.049638221429341864,0.14525960499845436,0.8600221803055891,0.04963822143406066,0.05297624172261064,0.9534598737343287,,,,1.0,,2.002457288584563e-11
102,estimated_witness,0.12763264423117282,0.4255713206909441,0.6568000896169899,0.12763264421803996,0.1643216070883227,0.9051222356770737,4.0,0.9,0.03,0.7807622763430109,0.7026860487087098,0.023422868290290326
102,geometry_only,0.137238166524278,0.4575994498018559,0.6685244088996236,0.13723816647129078,0.17668830890859044,0.9080444962219024,0.25,0.0,1.0,0.10028904729333436,0.0,0.10028904729333436
102,empirical_oracle,0.05063840918537248,0.16884594693246976,0.8370571559778986,0.05063840918493638,0.06519480050456178,0.9559707916536995,,,,1.0,,2.0756563922582737e-11
103,estimated_witness,0.20119696381734073,0.949433494329694,0.44672810208872554,0.20119696379549715,0.1449612074203088,0.9508931972384793,4.0,0.75,0.1,0.3812694529712099,0.2859520897284074,0.03812694529712099
103,geometry_only,0.20057881325457919,0.9465164878416769,0.43445801383928795,0.20057881323986565,0.14451583364715903,0.9563029590263975,0.25,0.0,1.0,0.09637704739239362,0.0,0.09637704739239362
103,empirical_oracle,0.052308696832023924,0.24684084627712793,0.7851397691102379,0.052308696824657296,0.037688102778690634,0.977142050986088,,,,1.0,,2.2549796144532865e-11
