seed,strategy,length_factor,rho,noise_ratio,inner_weighted_mse
0,estimated_witness,4.0,0.9,0.03,0.13487171875945603
0,estimated_witness,4.0,0.75,0.1,0.13578537489773798
0,estimated_witness,4.0,0.75,0.03,0.13655742869580398
0,estimated_witness,4.0,0.9,0.1,0.14132115905715933
0,estimated_witness,2.0,0.75,0.03,0.14249777586874834
0,estimated_witness,2.0,0.75,0.1,0.14260002822507936
0,estimated_witness,2.0,0.5,0.1,0.14586010091396148
0,estimated_witness,4.0,0.5,0.1,0.14893892832931785
0,estimated_witness,2.0,0.9,0.03,0.15001966317190985
0,estimated_witness,2.0,0.5,0.03,0.1503583711597929
0,estimated_witness,1.0,0.5,0.1,0.1533428996203511
0,estimated_witness,2.0,0.9,0.1,0.15495083189657569
0,estimated_witness,2.0,0.5,0.3,0.155439048097613
0,estimated_witness,4.0,0.5,0.03,0.15585592303146156
0,estimated_witness,1.0,0.5,0.03,0.15587148909048743
0,estimated_witness,4.0,0.75,0.3,0.1568948846161429
0,estimated_witness,4.0,0.5,0.3,0.15728304013318029
0,estimated_witness,2.0,0.75,0.3,0.1607061739706016
0,estimated_witness,1.0,0.75,0.03,0.16122254871533584
0,estimated_witness,1.0,0.75,0.1,0.16205542542825338
0,estimated_witness,1.0,0.5,0.3,0.1628116390389943
0,estimated_witness,1.0,0.25,0.1,0.165520601526743
0,estimated_witness,2.0,0.25,0.3,0.16641558395241193
0,estimated_witness,1.0,0.25,0.3,0.16667302689844873
0,estimated_witness,0.5,0.5,0.1,0.16745926165671113
0,estimated_witness,2.0,0.25,0.1,0.1677911008713323
0,estimated_witness,0.5,0.5,0.03,0.16848981071249014
0,estimated_witness,0.5,0.25,0.1,0.17073961404074792
0,estimated_witness,4.0,0.9,0.3,0.17127260427300048
0,estimated_witness,4.0,0.25,0.3,0.17148147130937105
0,estimated_witness,0.5,0.25,0.3,0.1721812123212796
0,estimated_witness,1.0,0.25,0.03,0.17230338841273
0,estimated_witness,0.5,0.25,0.03,0.176117937126976
0,estimated_witness,0.5,0.5,0.3,0.17636673386747304
0,estimated_witness,2.0,0.25,0.03,0.1771300054593756
0,estimated_witness,1.0,0.75,0.3,0.17748859487537647
0,estimated_witness,2.0,0.9,0.3,0.1781217736979701
0,estimated_witness,0.25,0.25,0.1,0.17822533990065922
0,estimated_witness,4.0,0.25,0.1,0.17836346430709216
0,estimated_witness,0.25,0.5,0.03,0.1784134996463439
0,estimated_witness,0.25,0.25,0.3,0.17887644783208345
0,estimated_witness,0.25,0.5,0.1,0.17945101837958033
0,estimated_witness,1.0,0.9,0.03,0.1798193495490996
0,estimated_witness,1.0,0.1,0.3,0.18038788556466454
0,estimated_witness,4.0,1.0,0.1,0.18167738570191408
0,estimated_witness,0.5,0.1,0.3,0.1819552740627449
0,estimated_witness,2.0,0.1,0.3,0.18213390445353764
0,estimated_witness,0.25,0.25,0.03,0.1824997433540377
0,estimated_witness,1.0,0.9,0.1,0.18314745495702975
0,estimated_witness,0.25,0.1,0.3,0.1853780127528464
0,estimated_witness,4.0,1.0,0.03,0.18560121511257896
0,estimated_witness,4.0,0.1,0.3,0.1860023553313298
0,estimated_witness,0.5,0.75,0.03,0.18707695424582782
0,estimated_witness,0.25,0.5,0.3,0.18843871014493463
0,estimated_witness,0.5,0.75,0.1,0.18875002406203648
