seed,strategy,residual_mse,residual_nmse,residual_cosine,full_effect_mse,full_effect_nmse,full_effect_cosine,selected_length_factor,selected_rho,selected_noise_ratio,covariance_scale,estimated_K_diagonal,estimated_noise_variance
0,estimated_witness,0.1662657047307882,1.0290041426064673,0.3594790805444544,0.16626570476313351,0.19195870631987424,0.9075478066494915,4.0,0.9,0.03,0.74363764775229,0.669273882977061,0.0223091294325687
0,geometry_only,0.16451210191406768,1.0181512456376456,0.4692051920855088,0.16451210194554003,0.18993411965755752,0.9097180810378371,0.25,0.0,1.0,0.0961785568648852,0.0,0.0961785568648852
0,empirical_oracle,0.047036073010658264,0.29110220931175046,0.7936031328401438,0.047036073028953365,0.054304546700523385,0.9519700208734984,,,,1.0,,2.2641713824761787e-11
1,estimated_witness,0.19493684742421283,0.5714580476782362,0.5848824434959256,0.19493684742620415,0.21925255712691905,0.9210037973517867,1.0,0.75,0.1,0.2587267978035393,0.1940450983526545,0.02587267978035393
1,geometry_only,0.22685487843560692,0.6650258668387256,0.47103297117754933,0.22685487843261676,0.25515192663560815,0.906814153784298,0.25,0.0,1.0,0.08952467118592138,0.0,0.08952467118592138
1,empirical_oracle,0.051431209483383776,0.1507707698644884,0.8311339797377265,0.051431209484178494,0.057846550533783625,0.953628011788093,,,,1.0,,2.0004657580631526e-11
2,estimated_witness,0.10247215727794695,0.44229803642899795,0.6262860087737896,0.10247215726674341,0.12992678542937997,0.9088593926991009,1.0,0.75,0.1,0.27755200292090143,0.20816400219067607,0.027755200292090144
2,geometry_only,0.16268025193438504,0.7021727453359494,0.4994979517398691,0.16268025189115592,0.20626600185687125,0.8928241187674838,0.25,0.0,3.0,0.045836113353885405,0.0,0.13750834006165621
2,empirical_oracle,0.044087725578289,0.19029475880951627,0.822767862667016,0.04408772557712689,0.055899832831837824,0.9381454933936373,,,,1.0,,2.169100223615116e-11
3,estimated_witness,0.1085829396683908,0.5780338073493704,0.5553640246793248,0.10858293968751663,0.1594507764952615,0.9204057273821705,1.0,0.75,0.1,0.2670947657705787,0.20032107432793406,0.026709476577057873
3,geometry_only,0.1303571743944447,0.6939474475515773,0.5363031293607826,0.13035717440861566,0.19142558435974666,0.9162856387144203,0.25,0.0,3.0,0.046400871062865334,0.0,0.139202613188596
3,empirical_oracle,0.037569286016361766,0.19999750883293513,0.8216646825896986,0.03756928602628993,0.055169364971182536,0.9501892092964629,,,,1.0,,2.2372722557942597e-11
4,estimated_witness,0.1548052700257234,0.5581933440919795,0.5424202121808596,0.15480527004072664,0.20632338942312697,0.9019431910374274,0.5,0.75,0.1,0.22238978000149198,0.16679233500111898,0.0222389780001492
4,geometry_only,0.1789821767289295,0.6453698878893576,0.46174140350092047,0.17898217673129937,0.23854620285094708,0.8879025212451663,0.25,0.0,3.0,0.04377525648004228,0.0,0.13132576944012686
4,empirical_oracle,0.046773750782532555,0.16865573349465618,0.8212255168653579,0.04677375080976759,0.062339730427556445,0.9538811948536386,,,,1.0,,2.025476304821763e-11
